"enrichment_context","database","family","comparison","direction","plot_label","DEG_set","term_id","term_name","term_description","ontology_or_theme","pathway_scope","GeneRatio","BgRatio","FoldEnrichment","p.adjust","qvalue","Count","n_listed_genes","DEG_gene_IDs","DEG_gene_names"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0005576","extracellular region","extracellular region","CC",NA,"101/783","307/6095",2.56091371614229,1.63989748351792e-17,1.63989748351792e-17,101,101,"LOC126266752; LOC126266830; LOC126267253; LOC126267391; LOC126267439; LOC126267477; LOC126267773; LOC126267876; LOC126267997; LOC126268712; LOC126271872; LOC126271928; LOC126271975; LOC126272041; LOC126272046; LOC126272263; LOC126272361; LOC126272362; LOC126272477; LOC126272787; LOC126272905; LOC126273010; LOC126274364; LOC126275497; LOC126277899; LOC126278287; LOC126278307; LOC126278442; LOC126278524; LOC126278743; LOC126280991; LOC126281165; LOC126282193; LOC126283987; LOC126284086; LOC126284250; LOC126284333; LOC126284425; LOC126284491; LOC126284577; LOC126284629; LOC126284630; LOC126284756; LOC126284845; LOC126285462; LOC126293178; LOC126293181; LOC126293557; LOC126295284; LOC126295285; LOC126297427; LOC126298316; LOC126298389; LOC126298412; LOC126298490; LOC126298594; LOC126298648; LOC126298861; LOC126298901; LOC126299206; LOC126299332; LOC126304998; LOC126323429; LOC126331446; LOC126331832; LOC126333165; LOC126334779; LOC126334780; LOC126334947; LOC126335335; LOC126335382; LOC126335544; LOC126335545; LOC126335546; LOC126335547; LOC126336325; LOC126336597; LOC126336602; LOC126336809; LOC126336838; LOC126336893; LOC126337018; LOC126337058; LOC126337059; LOC126343426; LOC126344479; LOC126344496; LOC126346021; LOC126346580; LOC126346606; LOC126346622; LOC126353822; LOC126354358; LOC126354439; LOC126355485; LOC126355922; LOC126355938; LOC126356100; LOC126356176; LOC126357498; LOC126365865","CCAP; Cda5; Cht6; ck; CSP6; dpp; Gld; gpa2; gpb5; hig; Hsc70-3; ITP; LanB2; LYSC6; PebIII; Pvf1; sca; scra; shf; sli; Sod; spz; spz2; spz4; spz6; SRPN12; ST6Gal; Tbh; Tk; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0005887","GO:0005887","GO:0005887",NA,NA,"99/783","334/6095",2.30728198774864,8.10265792709336e-14,8.10265792709336e-14,99,99,"LOC126266590; LOC126266656; LOC126266677; LOC126266988; LOC126267060; LOC126267061; LOC126267133; LOC126267163; LOC126267215; LOC126267216; LOC126267217; LOC126267315; LOC126267343; LOC126267652; LOC126267806; LOC126267877; LOC126267939; LOC126268068; LOC126271434; LOC126271496; LOC126271869; LOC126272930; LOC126272934; LOC126273193; LOC126278037; LOC126278048; LOC126278105; LOC126278393; LOC126278940; LOC126279309; LOC126281351; LOC126281447; LOC126281483; LOC126281509; LOC126281676; LOC126281695; LOC126284182; LOC126284897; LOC126285413; LOC126292020; LOC126293524; LOC126295251; LOC126297555; LOC126297629; LOC126297964; LOC126298067; LOC126298404; LOC126298602; LOC126298679; LOC126298972; LOC126298991; LOC126298992; LOC126299097; LOC126299155; LOC126299447; LOC126299506; LOC126302399; LOC126310439; LOC126334943; LOC126334996; LOC126334997; LOC126335775; LOC126335918; LOC126336038; LOC126336041; LOC126336082; LOC126336238; LOC126336638; LOC126336688; LOC126336864; LOC126336931; LOC126338336; LOC126341744; LOC126353850; LOC126353927; LOC126353931; LOC126353956; LOC126354034; LOC126354279; LOC126354348; LOC126354525; LOC126354816; LOC126354819; LOC126355544; LOC126355545; LOC126355582; LOC126355684; LOC126355933; LOC126356065; LOC126356154; LOC126356271; LOC126356354; LOC126356631; LOC126356808; LOC126357744; LOC126361237; LOC126361668; LOC126365747; LOC126365918","Akhr; boss; CCE-I1; Dscam; ft; GPRGBB2; GPRGRP1; GPRNNA21; if; Mvl; nAChRa2; nAChRa4; nAChRa8; NLG-1; Nmdar1; Nmdar2; Orct; Osi17; para; PGRPLA; Ptc; Shaw; Sur; tor; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0031226","GO:0031226","GO:0031226",NA,NA,"100/783","343/6095",2.26943541510748,1.28957382567033e-13,1.28957382567033e-13,100,100,"LOC126266590; LOC126266656; LOC126266677; LOC126266988; LOC126267060; LOC126267061; LOC126267133; LOC126267163; LOC126267215; LOC126267216; LOC126267217; LOC126267315; LOC126267343; LOC126267652; LOC126267806; LOC126267877; LOC126267939; LOC126268068; LOC126271434; LOC126271496; LOC126271869; LOC126272930; LOC126272934; LOC126273193; LOC126278037; LOC126278048; LOC126278105; LOC126278393; LOC126278940; LOC126279309; LOC126281351; LOC126281447; LOC126281483; LOC126281509; LOC126281676; LOC126281695; LOC126284182; LOC126284897; LOC126285413; LOC126292020; LOC126293524; LOC126295251; LOC126297555; LOC126297629; LOC126297964; LOC126298067; LOC126298404; LOC126298556; LOC126298602; LOC126298679; LOC126298972; LOC126298991; LOC126298992; LOC126299097; LOC126299155; LOC126299447; LOC126299506; LOC126302399; LOC126310439; LOC126334943; LOC126334996; LOC126334997; LOC126335775; LOC126335918; LOC126336038; LOC126336041; LOC126336082; LOC126336238; LOC126336638; LOC126336688; LOC126336864; LOC126336931; LOC126338336; LOC126341744; LOC126353850; LOC126353927; LOC126353931; LOC126353956; LOC126354034; LOC126354279; LOC126354348; LOC126354525; LOC126354816; LOC126354819; LOC126355544; LOC126355545; LOC126355582; LOC126355684; LOC126355933; LOC126356065; LOC126356154; LOC126356271; LOC126356354; LOC126356631; LOC126356808; LOC126357744; LOC126361237; LOC126361668; LOC126365747; LOC126365918","Akhr; boss; CCE-I1; Dscam; ft; GPRGBB2; GPRGRP1; GPRNNA21; if; Mvl; nAChRa2; nAChRa4; nAChRa8; NLG-1; Nmdar1; Nmdar2; Orct; Osi17; para; PGRPLA; Ptc; Shaw; Sur; tor; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0044421","GO:0044421","GO:0044421",NA,NA,"74/783","229/6095",2.51540653739118,3.45902822730783e-12,3.45902822730783e-12,74,74,"LOC126266752; LOC126267253; LOC126267391; LOC126267477; LOC126267773; LOC126267876; LOC126267997; LOC126271928; LOC126271975; LOC126272041; LOC126272046; LOC126272361; LOC126272362; LOC126272477; LOC126273010; LOC126275497; LOC126277899; LOC126278287; LOC126278307; LOC126278442; LOC126278524; LOC126280991; LOC126281165; LOC126282193; LOC126283987; LOC126284086; LOC126284250; LOC126284425; LOC126284491; LOC126284577; LOC126284629; LOC126284630; LOC126284845; LOC126293557; LOC126295284; LOC126295285; LOC126298316; LOC126298412; LOC126298490; LOC126298594; LOC126298861; LOC126298901; LOC126299206; LOC126299332; LOC126304998; LOC126323429; LOC126331446; LOC126331832; LOC126333165; LOC126334779; LOC126334947; LOC126335335; LOC126335382; LOC126335544; LOC126335545; LOC126335546; LOC126335547; LOC126336597; LOC126336602; LOC126336809; LOC126337018; LOC126337058; LOC126337059; LOC126343426; LOC126344479; LOC126344496; LOC126346021; LOC126353822; LOC126354358; LOC126354439; LOC126355485; LOC126356100; LOC126356176; LOC126357498","CCAP; ck; CSP6; dpp; gpa2; gpb5; Hsc70-3; ITP; LanB2; LYSC6; Pvf1; scra; shf; Sod; SRPN12; Tbh; Tk; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0022857","transmembrane transporter activity","transmembrane transporter activity","MF",NA,"107/783","426/6095",1.95517721056008,4.30052931413457e-10,4.30052931413457e-10,107,107,"LOC126266590; LOC126267118; LOC126267806; LOC126267939; LOC126269352; LOC126271869; LOC126272139; LOC126272251; LOC126272275; LOC126272360; LOC126272465; LOC126272718; LOC126272767; LOC126272934; LOC126273220; LOC126278191; LOC126278232; LOC126278467; LOC126278568; LOC126278890; LOC126278946; LOC126278971; LOC126278974; LOC126279309; LOC126281351; LOC126281447; LOC126281676; LOC126281695; LOC126282259; LOC126282638; LOC126283953; LOC126284897; LOC126285413; LOC126291821; LOC126292020; LOC126293524; LOC126295251; LOC126295311; LOC126297555; LOC126297822; LOC126297964; LOC126298058; LOC126298067; LOC126298679; LOC126298972; LOC126299447; LOC126324336; LOC126334835; LOC126334943; LOC126334955; LOC126334996; LOC126334997; LOC126335259; LOC126335294; LOC126335355; LOC126336038; LOC126336082; LOC126336375; LOC126336484; LOC126336638; LOC126336682; LOC126336688; LOC126336864; LOC126338336; LOC126341660; LOC126341744; LOC126353927; LOC126353931; LOC126354017; LOC126354018; LOC126354034; LOC126354039; LOC126354163; LOC126354186; LOC126354241; LOC126354344; LOC126354478; LOC126354562; LOC126354570; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354780; LOC126354785; LOC126354788; LOC126354789; LOC126354816; LOC126354827; LOC126355303; LOC126355391; LOC126355392; LOC126355582; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356137; LOC126356287; LOC126356316; LOC126356631; LOC126357744; LOC126358740; LOC126361668; LOC126365875; LOC126366011","cac; Csat; Ent3; Inx2; Mct1; mfrn; Mvl; nAChRa2; nAChRa4; nAChRa8; NaPi-T; Nhe2; Nmdar1; Nmdar2; Orct; Pain; para; Rdl; sesB; Shaw; st; Sur; unannotated; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006811","monoatomic ion transport","monoatomic ion transport","BP",NA,"102/783","408/6095",1.94604086845466,1.83523520929233e-09,1.83523520929233e-09,102,102,"LOC126266590; LOC126267118; LOC126267806; LOC126267939; LOC126269352; LOC126271869; LOC126272139; LOC126272251; LOC126272275; LOC126272360; LOC126272465; LOC126272718; LOC126272767; LOC126272934; LOC126273067; LOC126273220; LOC126278232; LOC126278467; LOC126278568; LOC126278890; LOC126278974; LOC126279309; LOC126281351; LOC126281447; LOC126281676; LOC126281695; LOC126282259; LOC126282638; LOC126283953; LOC126284897; LOC126285413; LOC126291650; LOC126292020; LOC126293524; LOC126295251; LOC126295311; LOC126297555; LOC126297822; LOC126297964; LOC126298058; LOC126298067; LOC126298679; LOC126298972; LOC126299447; LOC126324336; LOC126334835; LOC126334943; LOC126334955; LOC126334996; LOC126334997; LOC126335259; LOC126335355; LOC126336038; LOC126336082; LOC126336375; LOC126336484; LOC126336638; LOC126336682; LOC126336688; LOC126336864; LOC126336931; LOC126337983; LOC126338336; LOC126341660; LOC126341744; LOC126353927; LOC126353931; LOC126354034; LOC126354039; LOC126354110; LOC126354163; LOC126354186; LOC126354241; LOC126354344; LOC126354478; LOC126354562; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354780; LOC126354785; LOC126354788; LOC126354816; LOC126354827; LOC126355303; LOC126355391; LOC126355392; LOC126355582; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356137; LOC126356287; LOC126356316; LOC126356631; LOC126358740; LOC126361668; LOC126365875; LOC126366011","cac; Csat; Mct1; mfrn; Mvl; nAChRa2; nAChRa4; nAChRa8; NaPi-T; Nhe2; Nmdar1; Nmdar2; Orct; Pain; para; Rdl; sesB; Shaw; unannotated; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0005615","extracellular space","extracellular space","CC",NA,"51/783","147/6095",2.7006281439779,2.21678723158389e-09,2.21678723158389e-09,51,51,"LOC126267253; LOC126267477; LOC126267876; LOC126271975; LOC126272041; LOC126272361; LOC126272362; LOC126272477; LOC126273010; LOC126275497; LOC126277899; LOC126278287; LOC126278307; LOC126278442; LOC126280991; LOC126281165; LOC126282193; LOC126283987; LOC126284629; LOC126284630; LOC126293557; LOC126295284; LOC126295285; LOC126298316; LOC126298412; LOC126298490; LOC126298594; LOC126298901; LOC126299332; LOC126304998; LOC126331446; LOC126331832; LOC126333165; LOC126334779; LOC126334947; LOC126335335; LOC126335382; LOC126335544; LOC126335545; LOC126335546; LOC126335547; LOC126337058; LOC126337059; LOC126343426; LOC126344479; LOC126344496; LOC126346021; LOC126353822; LOC126354358; LOC126354439; LOC126356176","CCAP; CSP6; dpp; gpa2; gpb5; Hsc70-3; ITP; LYSC6; Pvf1; Sod; SRPN12; Tbh; Tk; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0055085","transmembrane transport","transmembrane transport","BP",NA,"111/783","464/6095",1.86215979653851,2.90753814659611e-09,2.90753814659611e-09,111,111,"LOC126266590; LOC126267118; LOC126267806; LOC126267939; LOC126269352; LOC126271869; LOC126272139; LOC126272251; LOC126272275; LOC126272360; LOC126272465; LOC126272718; LOC126272767; LOC126272934; LOC126273220; LOC126278191; LOC126278232; LOC126278467; LOC126278568; LOC126278890; LOC126278946; LOC126278971; LOC126278974; LOC126279309; LOC126281351; LOC126281447; LOC126281676; LOC126281695; LOC126282259; LOC126282638; LOC126283953; LOC126284897; LOC126285413; LOC126291650; LOC126291821; LOC126292020; LOC126293524; LOC126295251; LOC126295311; LOC126297555; LOC126297822; LOC126297964; LOC126298058; LOC126298067; LOC126298679; LOC126298824; LOC126298972; LOC126299447; LOC126324336; LOC126334835; LOC126334943; LOC126334955; LOC126334996; LOC126334997; LOC126335259; LOC126335294; LOC126335355; LOC126336038; LOC126336082; LOC126336375; LOC126336484; LOC126336638; LOC126336682; LOC126336688; LOC126336864; LOC126337983; LOC126338336; LOC126341660; LOC126341744; LOC126353927; LOC126353931; LOC126354017; LOC126354018; LOC126354034; LOC126354039; LOC126354110; LOC126354163; LOC126354186; LOC126354241; LOC126354344; LOC126354478; LOC126354562; LOC126354570; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354780; LOC126354785; LOC126354788; LOC126354789; LOC126354816; LOC126354827; LOC126355303; LOC126355391; LOC126355392; LOC126355582; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356137; LOC126356287; LOC126356316; LOC126356631; LOC126357744; LOC126358740; LOC126361668; LOC126365875; LOC126366011","cac; Csat; Ent3; Inx2; Mct1; mfrn; Mvl; nAChRa2; nAChRa4; nAChRa8; NaPi-T; Nhe2; Nmdar1; Nmdar2; Orct; Pain; para; Rdl; sesB; Shaw; st; Sur; unannotated; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006022","aminoglycan metabolic process","aminoglycan metabolic process","BP",NA,"25/783","48/6095",4.05425180928054,2.27049375501422e-08,2.27049375501422e-08,25,25,"LOC126266657; LOC126267061; LOC126267215; LOC126267216; LOC126267217; LOC126267343; LOC126267652; LOC126268068; LOC126271949; LOC126274364; LOC126278279; LOC126281994; LOC126284041; LOC126285462; LOC126297427; LOC126299078; LOC126317480; LOC126335001; LOC126335966; LOC126336345; LOC126346580; LOC126346606; LOC126346622; LOC126354720; LOC126365918","Cda4; Cda5; Cht6; GlcAT-P; mmy; PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0034220","monoatomic ion transmembrane transport","monoatomic ion transmembrane transport","BP",NA,"86/783","340/6095",1.96893546690707,3.5175540545866e-08,3.5175540545866e-08,86,86,"LOC126266590; LOC126267118; LOC126267806; LOC126267939; LOC126269352; LOC126271869; LOC126272139; LOC126272251; LOC126272275; LOC126272360; LOC126272718; LOC126272767; LOC126272934; LOC126273220; LOC126278232; LOC126278568; LOC126278890; LOC126278974; LOC126279309; LOC126281351; LOC126281447; LOC126281676; LOC126281695; LOC126282259; LOC126282638; LOC126283953; LOC126284897; LOC126285413; LOC126291650; LOC126292020; LOC126293524; LOC126295251; LOC126295311; LOC126297555; LOC126297822; LOC126297964; LOC126298058; LOC126298067; LOC126298679; LOC126298972; LOC126299447; LOC126324336; LOC126334943; LOC126334996; LOC126334997; LOC126336038; LOC126336082; LOC126336638; LOC126336682; LOC126336688; LOC126336864; LOC126337983; LOC126338336; LOC126341660; LOC126341744; LOC126353927; LOC126353931; LOC126354034; LOC126354110; LOC126354186; LOC126354344; LOC126354478; LOC126354562; LOC126354582; LOC126354750; LOC126354751; LOC126354753; LOC126354785; LOC126354788; LOC126354816; LOC126354827; LOC126355303; LOC126355582; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356137; LOC126356287; LOC126356316; LOC126356631; LOC126358740; LOC126361668; LOC126365875; LOC126366011","cac; Csat; Mct1; mfrn; Mvl; nAChRa2; nAChRa4; nAChRa8; Nhe2; Nmdar1; Nmdar2; Orct; Pain; para; Rdl; sesB; Shaw; unannotated; w"
