sample_id,file_name,tissue,species,phase,rearing_condition,timepoint,phase_transition,replicate,reference_role
GREG_G_CCT_11_FAT,GREG_G_CCT_11_FAT_featurecounts.txt,FAT,gregaria,Gregarious,Crowded,Crowded_Control,Solitarization_Baseline,11,Gregarious crowded control
GREG_S_ICT_9_FAT,GREG_S_ICT_9_FAT_featurecounts.txt,FAT,gregaria,Solitarious,Isolated,Isolated_Control,Gregarization_Baseline,9,Solitarious isolated control
