"source_direction","n_genes"
"all_infection_within_diet_results__UP",1456
"all_model_coefficients__UP",1246
"DESeq2_infected_vs_control_diet_50__UP",1177
"all_infection_within_diet_results__DOWN",918
"DESeq2_infected_vs_control_diet_33__UP",646
"DESeq2_infected_vs_control_diet_50__DOWN",558
"all_model_coefficients__DOWN",505
"DESeq2_infected_vs_control_diet_33__DOWN",478
"DESeq2_infected_vs_control_diet_83__UP",442
"all_diet_pairwise_results__DOWN",336
"DESeq2_33_vs_83__DOWN",277
"DESeq2_infected_vs_control_diet_83__DOWN",215
"interaction_coefficients__DOWN",83
"DESeq2_33_vs_50__DOWN",56
"all_diet_pairwise_results__UP",44
"DESeq2_33_vs_83__UP",36
"DESeq2_50_vs_83__DOWN",35
"DESeq2_50_vs_83__UP",8
"DESeq2_33_vs_50__UP",6
"interaction_coefficients__UP",4
