"foreground_set","pathway_scope","n_significant_pathways","n_displayed_insect_focused","n_displayed_eukaryote_inclusive"
"Expression cluster 1","Core metabolism or cross-domain",17,1,17
"Expression cluster 1","Broad KEGG reference map",5,0,3
"Expression cluster 1","Eukaryote/metazoan-compatible",1,0,1
"Expression cluster 1","Reference disease pathway",1,0,0
"Expression cluster 2","Eukaryote/metazoan-compatible",4,2,4
"Expression cluster 2","Core metabolism or cross-domain",1,0,1
