"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1,"LOC126334884","juvenile hormone esterase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.80528845407363,0.0257120945083355,2.90115561201665,"1037","Higher than gene mean"
2,"LOC126335010","amine oxidase [flavin-containing]-like","protein_coding","Diet in infected","Not evaluated in this chromosome-only figure",1,"infected_diet33_vs50","Infected diet 50",6.1803799958528,0.0284402407316152,3.07298220747233,"1037","Higher than gene mean"
3,"LOC126273233","venom carboxylesterase-6-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",3,"infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",2.83881388687041,0.00906521886194402,3.0029149540799,"1037","Higher than gene mean"
4,"LOC126322933","uncharacterized LOC126322933","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.01049943960349,0.0392563356704193,3.03603071675262,"1037","Higher than gene mean"
5,"LOC126268174","sodium-coupled monocarboxylate transporter 1-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",2,"infected_diet33_vs50; infection_average_all_diets","Average control; Infected diet 50",4.37736402672394,0.0188876028130617,2.80645235150206,"1007","Higher than gene mean"
6,"LOC126268172","sodium-coupled monocarboxylate transporter 2-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",3,"infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",5.56534515491202,0.00139053735387521,3.19275458620053,"1007","Higher than gene mean"
7,"LOC126268173","sodium-coupled monocarboxylate transporter 1-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",5.34691730551301,0.0127573566261294,2.50895473768841,"1007","Higher than gene mean"
8,"LOC126284566","sodium-coupled monocarboxylate transporter 1-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",5.87930051164036,0.0280076327764939,2.54037394538123,"1007","Higher than gene mean"
9,"LOC126293755","synaptic vesicle glycoprotein 2B-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",6.70858247703973,0.0071313866435593,2.86041547868089,"1007","Higher than gene mean"
10,"LOC126335461","sodium-independent sulfate anion transporter","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.40533465386555,0.0151382052670633,3.14899035392543,"1037","Higher than gene mean"
11,"LOC126281438","sorbitol dehydrogenase-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",3,"infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",6.4816748026813,0.00963599879586685,3.61568191315628,"1007","Higher than gene mean"
12,"LOC126354705","juvenile hormone esterase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",2.57187696617817,0.0117577394326975,3.24882664744362,"1007","Higher than gene mean"
13,"LOC126291795","luciferin sulfotransferase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",5.16821811579941,0.0484526498592338,2.93817199001007,"1007","Higher than gene mean"
14,"LOC126336149","uncharacterized LOC126336149","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",5.31192717211069,0.0227843113054227,3.05294609449736,"1037","Higher than gene mean"
15,"LOC126266841","FAD-dependent oxidoreductase domain-containing protein 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.62945804386277,0.0464167300902252,3.04051341035845,"1007","Higher than gene mean"
16,"LOC126281049","retinal dehydrogenase 2-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",7.72518296280546,0.0115535967347969,3.07370297044316,"1007","Higher than gene mean"
17,"LOC126285310","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",6.01071458709509,0.00957738140196123,3.69971269559784,"1007","Higher than gene mean"
18,"LOC126272706","probable salivary secreted peptide","protein_coding","Diet in infected","Not evaluated in this chromosome-only figure",1,"infected_diet33_vs50","Infected diet 50",5.06783639744786,0.0181705328655284,2.38126951477607,"1037","Higher than gene mean"
19,"LOC126278585","dipeptidase 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",4.61132732249668,0.0118829185760315,3.55927655409898,"1037","Higher than gene mean"
20,"LOC126298104","aminoacylase-1A-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.06226329551259,0.0180617015262272,3.02422399609352,"1037","Higher than gene mean"
21,"LOC126334647","ATP-binding cassette sub-family C member 4-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",5.08427198981432,0.0333425244487727,2.74444913986077,"1007","Higher than gene mean"
22,"LOC126354828","monocarboxylate transporter 13-like","protein_coding","Diet in infected","Not evaluated in this chromosome-only figure",1,"infected_diet33_vs50","Infected diet 50",6.31201349128003,0.0300773740357552,2.75619137005527,"1007","Higher than gene mean"
23,"LOC126266862","UNC93-like protein","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",4,"infected_diet33_vs50; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50; Infected diet 50",2.24825444510051,0.00426023389544947,3.06320800177247,"1037","Higher than gene mean"
24,"LOC126278499","facilitated trehalose transporter Tret1-2 homolog","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",6,"infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33","Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83",22.7298939327996,3.10851550626942e-27,2.96206061724664,"1007","Higher than gene mean"
25,"LOC126303359","uncharacterized LOC126303359","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",2.40935434585715,0.0486420049772103,3.46797386283463,"1007","Higher than gene mean"
26,"LOC126324213","uncharacterized LOC126324213","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.74216947626565,0.0275337213551887,3.07245255655148,"1007","Higher than gene mean"
27,"LOC126272232","synaptic vesicle glycoprotein 2B-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.89738390782299,0.0328553541052657,2.97790619255311,"1007","Higher than gene mean"
28,"LOC126354102","uncharacterized LOC126354102","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",2,"infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",6.42971969118206,0.00684173181088619,3.12922139828261,"1007","Higher than gene mean"
29,"LOC126281974","sorbitol dehydrogenase-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",4,"infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50; Infected diet 83",8.01913973602313,0.00256376071178423,2.72375789019223,"1007","Higher than gene mean"
30,"LOC126266840","alpha-aminoadipic semialdehyde dehydrogenase-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",3,"infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",4.98329605267363,0.00605159809351458,2.81241682656325,"1007","Higher than gene mean"
31,"LOC126269651","synaptic vesicle glycoprotein 2A-like","protein_coding","Diet in infected","Not evaluated in this chromosome-only figure",1,"infected_diet33_vs50","Infected diet 50",5.3882525568062,0.0479904034671796,2.86502701685202,"1007","Higher than gene mean"
32,"LOC126358260","ATP-sensitive inward rectifier potassium channel 12-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.31036858337252,0.0144043535724835,3.01808119490551,"1007","Higher than gene mean"
33,"LOC126293620","corticotropin-releasing factor-binding protein","protein_coding","Diet in infected","Not evaluated in this chromosome-only figure",1,"infected_diet33_vs50","Infected diet 50",5.1759527496725,0.0212602450912259,3.63410159933563,"1016","Higher than gene mean"
34,"LOC126333043","neuromodulin","protein_coding","Diet in infected","Not evaluated in this chromosome-only figure",1,"infected_diet33_vs50","Infected diet 50",1.63801219153767,0.0417744517261248,2.73306149281123,"1016","Higher than gene mean"
35,"LOC126355265","lazarillo protein","protein_coding","Diet in infected","Not evaluated in this chromosome-only figure",1,"infected_diet33_vs50","Infected diet 50",2.28477837215683,0.0205191472462862,3.17318806933316,"1037","Higher than gene mean"
36,"LOC126336109","dehydrogenase/reductase SDR family member 11-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",3.9119810015021,0.0174700895999204,3.05487886654129,"1037","Higher than gene mean"
37,"LOC126272088","facilitated trehalose transporter Tret1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",2.14925884569223,0.0362415002259161,3.10449516514547,"1007","Higher than gene mean"
38,"LOC126278546","uncharacterized LOC126278546","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.30158997056269,0.00371127832017206,3.61500897358626,"1007","Higher than gene mean"
39,"LOC126336585","uncharacterized LOC126336585","protein_coding","Diet in controls","Not evaluated in this chromosome-only figure",1,"control_diet83_vs50","Control diet 50",4.79778827295422,0.041901197060279,3.31039092829408,"1037","Higher than gene mean"
40,"LOC126278041","cholinesterase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",3.44349238773837,0.00905368217855896,4.20103537663785,"1037","Higher than gene mean"
41,"LOC126278507","dipeptidase 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.35156854655352,0.0320781552565479,3.29584818766727,"1037","Higher than gene mean"
42,"LOC126267485","uncharacterized LOC126267485","protein_coding","Diet in controls","Not evaluated in this chromosome-only figure",1,"control_diet83_vs50","Control diet 50",4.82296332535763,0.0433745667394701,3.44792073737128,"1037","Higher than gene mean"
43,"LOC126335312","solute carrier family 46 member 3-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",4.03042037494424,0.0188236009662759,3.44000941747385,"1037","Higher than gene mean"
44,"LOC126334918","acyl-CoA Delta-9 desaturase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.57586127881626,0.0201791638363123,3.42418407319352,"1007","Higher than gene mean"
45,"LOC126354722","ketohexokinase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",2.64858967755073,0.0193001147838108,3.90426959122254,"1007","Higher than gene mean"
46,"LOC126272928","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.25705843217751,0.0122121280453716,3.436952000348,"1037","Higher than gene mean"
47,"LOC126325327","uncharacterized LOC126325327","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.22256731486254,0.0347228180573917,2.63077593953029,"1007","Higher than gene mean"
48,"LOC126354780","sialin-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",3.48052374565183,0.0364587870009299,3.85890684458567,"1007","Higher than gene mean"
49,"LOC126266939","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.96172010083739,0.0318642825516157,3.48874036092122,"1007","Higher than gene mean"
50,"LOC126355944","juvenile hormone esterase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.00337310079268,0.00333030738304309,3.27339428754812,"1037","Higher than gene mean"
51,"LOC126334992","sodium-independent sulfate anion transporter-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.04952601664254,0.00184420859084288,3.66464316773872,"1007","Higher than gene mean"
52,"LOC126354529","uncharacterized LOC126354529","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",6,"infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33","Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83",21.2159842063178,3.52289645311651e-23,3.50485427095558,"1007","Higher than gene mean"
53,"LOC126355391","sialin-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",5.41775534929684,0.0393300152414244,3.15705947542717,"1007","Higher than gene mean"
54,"LOC126273244","venom carboxylesterase-6-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",2.87957692184263,0.0321639857842798,2.77373869485381,"1037","Higher than gene mean"
55,"LOC126293272","uncharacterized LOC126293272","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.66656203565027,0.00319718748157455,3.20846510752686,"1007","Higher than gene mean"
56,"LOC126267290","aldehyde dehydrogenase 1A1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.95389616035518,0.0131883031761564,3.88987960877384,"1007","Higher than gene mean"
57,"LOC126334596","probable aconitate hydratase, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",2.12578961193669,0.0135632998535692,3.08429586794008,"1007","Higher than gene mean"
58,"LOC126336724","glutathione S-transferase 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.46225258436274,0.0142453289475936,3.34071901095646,"1037","Higher than gene mean"
59,"LOC126291804","uncharacterized LOC126291804","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",2.01477362001208,0.035545473141839,2.53889615535925,"1037","Higher than gene mean"
60,"LOC126354599","myrosinase 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.87614111017232,0.0163900677392979,3.05819856161717,"1037","Higher than gene mean"
61,"LOC126334984","ATP-binding cassette sub-family C member 4-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.04757691408071,0.018854446852794,3.28018408640391,"1037","Higher than gene mean"
62,"LOC126335141","solute carrier family 23 member 2","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.76434330841376,0.016923465458474,3.36858514955133,"1037","Higher than gene mean"
63,"LOC126335259","sialin-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",5,"control_diet83_vs33; control_diet83_vs50; infection_diet83; interaction_diet83_vs33; interaction_diet83_vs50","Control diet 33; Control diet 50; Infected diet 83; Infection response diet 83",24.3028179468028,2.32354796439944e-09,3.51332921781172,"1037","Higher than gene mean"
64,"LOC126365810","alpha-tocopherol transfer protein-like","protein_coding","Diet in controls","Not evaluated in this chromosome-only figure",1,"control_diet83_vs33","Control diet 83",2.3203775654495,0.00898892812049811,2.55151155024439,"1005","Higher than gene mean"
65,"LOC126352026","uncharacterized LOC126352026","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.28318948104389,5.08348404398903e-06,2.24961348620382,"1004","Higher than gene mean"
66,"LOC126335106","sodium-coupled monocarboxylate transporter 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.39159780754634,0.00124214487685649,2.96103251706793,"1023","Lower than gene mean"
67,"LOC126336511","uncharacterized LOC126336511","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.2346413261846,0.0117708362788614,2.4075364059405,"1002","Higher than gene mean"
68,"LOC126271986","mitochondrial uncoupling protein 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.0223160157638,0.0158565603064273,1.9249686884021,"1051","Lower than gene mean"
69,"LOC126284811","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.39357497208033,7.95851805589176e-09,2.07219651970104,"1042","Lower than gene mean"
70,"LOC126268199","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.67236435944611,7.15121864535861e-10,1.76529519711113,"1036","Higher than gene mean"
71,"LOC126292163","uncharacterized LOC126292163","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.40676779519586,8.10113641447991e-06,2.06716697486966,"1004","Higher than gene mean"
72,"LOC126284973","uncharacterized LOC126284973","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.19960074683717,0.00888288003265985,2.37469696288335,"1002","Higher than gene mean"
73,"LOC126335063","uncharacterized LOC126335063","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.11998396444328,0.00635888986656934,2.53876173370702,"1014","Lower than gene mean"
74,"LOC126298049","uncharacterized LOC126298049","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.19187749925356,0.0460075586523804,2.77359877470925,"1006","Higher than gene mean"
75,"LOC126267230","atrial natriuretic peptide receptor 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.01105552795686,0.019222268057369,1.91247747700736,"1020","Lower than gene mean"
76,"LOC126272129","peroxiredoxin-6-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.49294947906738,0.0184947768485133,2.86198600309758,"1006","Higher than gene mean"
77,"LOC126282456","uncharacterized LOC126282456","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.11033428692273,2.88149111980988e-06,2.26345877330057,"1006","Higher than gene mean"
78,"LOC126282209","prostaglandin reductase 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.15028106375421,0.00326190878356552,2.25432358219138,"1023","Lower than gene mean"
79,"LOC126272126","peroxiredoxin-6-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.85898144562199,5.05428741827185e-08,2.23768421187747,"1023","Lower than gene mean"
80,"LOC126278567","xylulose kinase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.19329504106269,5.50245184413185e-06,2.24127539901385,"1002","Higher than gene mean"
81,"LOC126335352","2-hydroxyacyl-CoA lyase 1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.34726817810294,7.95681766366112e-11,2.96403942281855,"1002","Higher than gene mean"
82,"LOC126334779","defensin-1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.45322720937772,0.0042303519413321,2.26488265104463,"1049","Lower than gene mean"
83,"LOC126334780","defensin-1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.5539832158602,0.00511312904166755,1.82504839755279,"1057","Lower than gene mean"
84,"LOC126337896","protein couch potato-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.20103641957283,0.0404929015038651,2.40388632374454,"1057","Lower than gene mean"
85,"LOC126363166","neuronal calcium sensor 2","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.0344469568451,0.0304111775801373,2.25713807461388,"1058","Lower than gene mean"
86,"LOC126272931","beta-hexosaminidase subunit beta-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.40912475065424,2.86427733546301e-06,2.31443635614007,"1002","Higher than gene mean"
87,"LOC126334657","bcl-2-related ovarian killer protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.68207488182876,4.56159139413212e-05,2.59624214103083,"1002","Higher than gene mean"
88,"LOC126299093","homeobox protein engrailed-1-B-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.53352556901205,2.21213734337882e-05,2.73721209324474,"1050","Lower than gene mean"
89,"LOC126268728","trypsin-1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.33661959350024,2.60262123313255e-07,2.4462905716312,"1050","Lower than gene mean"
90,"LOC126272556","irregular chiasm C-roughest protein","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.83265509467548,4.06998667073478e-06,2.52731977586512,"1050","Lower than gene mean"
91,"LOC126278501","fork head domain transcription factor slp2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.87499522302748,2.48503596983254e-06,2.41753514789203,"1023","Lower than gene mean"
92,"LOC126353181","uncharacterized LOC126353181","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.40190684827092,0.000526184605930948,2.17479415698566,"1042","Lower than gene mean"
93,"LOC126271532","CD63 antigen-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.71370737908155,9.78322115973214e-05,2.04737092473932,"1042","Lower than gene mean"
94,"LOC126297692","ras-related protein Rab-3","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.55659640449538,0.000390839362684237,2.01170667117875,"1042","Lower than gene mean"
95,"LOC126336454","neuropeptide SIFamide receptor-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.06741272019993,0.0160247292464873,2.39525965305527,"1023","Lower than gene mean"
96,"LOC126295342","uncharacterized LOC126295342","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.18972187709022,0.00024932849291283,2.45350489520408,"1042","Lower than gene mean"
97,"LOC126354260","dopamine receptor 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.07531114213391,0.0203297080615769,2.44722794378827,"1002","Higher than gene mean"
98,"LOC126272678","zinc transporter ZIP3-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.31554017797839,5.698672849944e-06,2.5403153366151,"1006","Higher than gene mean"
99,"LOC126291785","insulin receptor-related protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.15519437232834,4.01488064836045e-05,2.53037521201735,"1006","Higher than gene mean"
100,"LOC126266913","serine/arginine repetitive matrix protein 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.72537363878817,5.91909528973037e-05,2.13249195063047,"1006","Higher than gene mean"
101,"LOC126292020","open rectifier potassium channel protein 1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.90314659699901,2.55558450916824e-05,2.2927875205544,"1023","Lower than gene mean"
102,"LOC126277966","rhophilin-2","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.24625958945804,0.0101564722727194,2.56969867831553,"1002","Higher than gene mean"
103,"LOC126267042","beta-3 adrenergic receptor-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.31083206264482,0.00137315431948039,2.34672906993594,"1023","Lower than gene mean"
104,"LOC126299004","circadian locomoter output cycles protein kaput","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.1596944443909,0.00338664603360691,2.38754616902464,"1006","Higher than gene mean"
105,"LOC126354288","uncharacterized LOC126354288","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.0008790428139,0.037881122407073,2.68498081765684,"1023","Lower than gene mean"
106,"LOC126361620","helix-loop-helix protein 3","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.18288950362901,0.00437246457980036,2.66485609679956,"1050","Lower than gene mean"
107,"LOC126281275","uncharacterized LOC126281275","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.80603164596562,0.000665941894829599,2.3367978267476,"1023","Lower than gene mean"
108,"LOC126281276","uncharacterized LOC126281276","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.8987946781946,0.00587241322417211,2.33069007544279,"1002","Higher than gene mean"
109,"LOC126284778","EF-hand calcium-binding domain-containing protein 4B-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.46695750021428,0.00316676045471928,2.34168059879174,"1002","Higher than gene mean"
110,"LOC126285297","synaptotagmin-5-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.63099729919257,0.00475553244786883,2.6524806422539,"1016","Lower than gene mean"
