"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
524,"LOC126281404","glutathione S-transferase D7-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.1416165008825,0.000415861251378175,2.69057208637687,"1007","Higher than gene mean"
525,"LOC126293679","juvenile hormone epoxide hydrolase 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.74546001416418,1.87408534579398e-05,2.65091966359927,"1007","Higher than gene mean"
526,"LOC126281860","uncharacterized LOC126281860","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.50975825684317,0.000515116983239496,2.93370301802261,"1007","Higher than gene mean"
527,"LOC126291811","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.53906480341411,0.0051176973334751,2.31239894550735,"1007","Higher than gene mean"
528,"LOC126354281","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.73234350681868,0.00740295570606554,2.31589444262694,"1046","Higher than gene mean"
529,"LOC126355941","juvenile hormone esterase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",2.52220960188752,0.000108959760998817,2.47953258977877,"1007","Higher than gene mean"
530,"LOC126282119","cytochrome P450 4C1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",3.95100734148765,2.10450525732141e-05,2.85915306625249,"1038","Higher than gene mean"
531,"LOC126298275","trimethyllysine dioxygenase, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.85459056586611,2.29345613478942e-08,2.6721133098837,"1023","Lower than gene mean"
532,"LOC126267350","glycine cleavage system H protein, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.06367326368541,0.0192423308843258,2.10729245358204,"1020","Lower than gene mean"
533,"LOC126335428","retinaldehyde-binding protein 1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.29238719726553,0.000217784670298389,2.22041312871575,"1023","Lower than gene mean"
534,"LOC126336251","enoyl-CoA hydratase, mitochondrial-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.68270517033863,3.74621147984462e-07,2.1570158268864,"1030","Higher than gene mean"
535,"LOC126331335","microsomal glutathione S-transferase 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.43964828930487,1.47294560817109e-07,2.13161729185845,"1030","Higher than gene mean"
536,"LOC126343748","juvenile hormone epoxide hydrolase 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.62176754256424,3.82943529968347e-06,2.61228894508572,"1020","Lower than gene mean"
537,"LOC126354727","alanine--glyoxylate aminotransferase 2, mitochondrial-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.62715954368852,5.30577079290177e-05,1.86978211046045,"1045","Lower than gene mean"
538,"LOC126360985","probable pterin-4-alpha-carbinolamine dehydratase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.00871329571664,0.0317553161143056,2.46237945908663,"1023","Lower than gene mean"
539,"LOC126267263","N-acetylneuraminate lyase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.3388311803034,3.50857867308092e-12,2.17816118920973,"1038","Higher than gene mean"
540,"LOC126354701","venom carboxylesterase-6-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.85391211250687,3.28402554640959e-07,2.05202644588038,"1049","Lower than gene mean"
541,"LOC126275659","short/branched chain specific acyl-CoA dehydrogenase, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.02752240211718,0.0441415346865257,2.06203870968976,"1016","Lower than gene mean"
542,"LOC126281399","sorbitol dehydrogenase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.4690155740824,0.000125395264872002,2.16683941667182,"1023","Lower than gene mean"
543,"LOC126276533","catalase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_diet33; infection_diet83","Control diet 33; Control diet 83",1.24810511269388,0.0135463251322416,2.34550667500642,"1016","Lower than gene mean"
544,"LOC126335523","L-xylulose reductase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.30193381205088,0.000429898077824099,3.5037125591295,"1016","Lower than gene mean"
545,"LOC126356215","cholinesterase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.90228214687464,4.70440182751628e-09,2.07538729161276,"1016","Lower than gene mean"
546,"LOC126284231","uncharacterized LOC126284231","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.08683297591717,8.65369580551857e-16,2.44135524557708,"1023","Lower than gene mean"
547,"LOC126336399","androgen-induced gene 1 protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.38609664180617,9.90179274135869e-17,1.99399188226669,"1023","Lower than gene mean"
548,"LOC126335256","probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.88658055846766,3.2877561656341e-17,2.0305896205396,"1023","Lower than gene mean"
