"k","mean_silhouette","median_silhouette","smallest_branch","largest_branch","branch_sizes"
2,0.293706231407329,0.319895487280366,989,996,"996; 989"
3,0.188672726345938,0.206010455686729,45,989,"989; 951; 45"
4,0.154505343282421,0.170953547095685,45,951,"951; 918; 71; 45"
5,0.100159613421266,0.0926577118124972,45,918,"918; 693; 258; 71; 45"
6,0.12213999977487,0.114411140148743,45,918,"918; 601; 258; 92; 71; 45"
7,0.103868218210468,0.0962111598234804,27,918,"918; 601; 258; 92; 45; 44; 27"
8,0.104956153240776,0.0939563748158042,27,638,"638; 601; 280; 258; 92; 45; 44; 27"
9,0.098951695840573,0.086034831450656,27,638,"638; 601; 280; 160; 98; 92; 45; 44; 27"
10,0.0980495264047325,0.0858007767774513,16,638,"638; 601; 280; 144; 98; 92; 45; 44; 27; 16"
