"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1,"LOC126281396","Single-stranded DNA binding. It is involved in the biological process described with DNA replication","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.02837000361329,0.00277091740868991,3.92072124509587,"1014","Lower than gene average"
2,"LOC126355561","Sox developmental protein N terminal","DEG in 2 diets",2,"33; 50","Higher in control","Diet 33; Diet 50: infected vs control",1.81589837780816,0.0127525088639794,2.33580638721519,"1006","Higher than gene average"
3,"LOC126334948","U6 snRNA-associated Sm-like protein","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.44169682177963,9.37015692213204e-05,3.45853795579702,"1027","Lower than gene average"
4,"LOC126293302","-","DEG in 1 diet",1,"83","Higher in control","Diet 83: infected vs control",1.00558425788709,0.00776085962994056,3.27593299496625,"1027","Lower than gene average"
5,"LOC126292205","Belongs to the type-B carboxylesterase lipase family","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",1.11969149949891,0.0416583240801281,3.02081922464893,"1027","Lower than gene average"
6,"LOC126355126","no description","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",4.96602334092097,0.0302488621940463,3.00189908356115,"1006","Higher than gene average"
7,"LOC126295211","PEHE","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",1.43775286586016,0.0038795612491128,2.45305305304543,"1057","Lower than gene average"
8,"LOC126354818","beta-N-acetylhexosaminidase activity. It is involved in the biological process described with carbohydrate metabolic process","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",1.67871278594546,0.0187672569142797,2.14643827194734,"1040","Higher than gene average"
9,"LOC126330717","Kazal-type serine protease inhibitor domain","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",1.8150701226309,0.0453712918625949,1.90575130294764,"1040","Higher than gene average"
10,"LOC126334969","cAMP-dependent protein kinase inhibitor","DEG in 3 diets",3,"33; 50; 83","Higher in control","Diet 33; Diet 50; Diet 83: infected vs control",1.24305235599334,0.00579583262716724,3.10239071693539,"1023","Lower than gene average"
11,"LOC126281582","Transmembrane and TPR repeat-containing protein","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",1.3346398903809,0.0355879197147761,2.9447165861356,"1023","Lower than gene average"
12,"LOC126281835","no description","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",2.81215417162134,0.00975266243682507,2.3289804199617,"1006","Higher than gene average"
13,"LOC126292034","Hydrolase activity, hydrolyzing O-glycosyl compounds. It is involved in the biological process described with carbohydrate metabolic process","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.43452972955017,0.0259498137972442,3.23852110512366,"1023","Lower than gene average"
