"label","PC1","PC2","Diet","Treatment"
"1004",-39.5037896915745,4.40653264997024,"50","Control"
"1007",-40.821204261049,4.05494834652041,"50","Control"
"1016",37.7825992875021,42.6454465247416,"50","Infected"
"1025",27.4277887083973,-4.2263033268611,"50","Infected"
"1028",18.9203844879268,-14.7828491178244,"50","Infected"
"1031",-31.8067091807331,-6.77649258421393,"50","Control"
"1034",-41.5873190294093,3.60967868088097,"50","Control"
"1037",-32.3256900614434,-4.09872157281733,"50","Control"
"1040",-42.3936823356469,10.0167558111407,"50","Control"
"1043",-1.45921273905451,-6.84735709774861,"50","Infected"
"1046",31.426875362943,-8.48596019990173,"50","Infected"
"1049",35.831448599272,0.414143137982358,"50","Infected"
"1052",21.6391194407064,-7.70924192916844,"50","Infected"
"1055",19.9428229755803,-12.4021883836941,"50","Infected"
"1058",36.926568436583,0.181609060993403,"50","Infected"
