gene_id,description,gene_biotype,sequence_class,seqid,contrast_family,contrast_id,numerator,denominator,log2FoldChange,padj,higher_in
LOC126278962,uncharacterized LOC126278962,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,3.144623091802246,3.6247320521908525e-41,Average infected
LOC126335966,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase P-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,6.295216922191269,3.7942767760303746e-41,Average infected
LOC126335463,serpin B8-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,5.89210599852952,9.026481661274491e-38,Average infected
LOC126279309,calcium release-activated calcium channel protein 1-like,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.420241415007269,6.199832744604808e-37,Average infected
LOC126279018,uncharacterized LOC126279018,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.437807899520968,5.422554139655702e-34,Average infected
LOC126332140,uncharacterized LOC126332140,lncRNA,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,7.17560646098113,1.1891854126339925e-33,Average infected
LOC126335828,toll-like receptor 2,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.9405571396853154,1.0494169973888757e-29,Average infected
LOC126332302,uncharacterized LOC126332302,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,7.821187857947255,1.1595910309552309e-29,Average infected
LOC126282034,vascular endothelial growth factor receptor kdr-like,protein_coding,Nuclear chromosome,NC_064926.1,Average infection response,infection_average_all_diets,Average infected,Average control,3.1207289468084136,1.2894714828126403e-29,Average infected
LOC126282995,uncharacterized LOC126282995,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,4.121783733537725,4.782334924123245e-29,Average infected
LOC126284548,spermine synthase-like,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,3.973574132477929,4.782334924123245e-29,Average infected
LOC126355939,proton-coupled amino acid transporter-like protein pathetic,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,5.566050285723706,4.782334924123245e-29,Average infected
LOC126292043,uncharacterized LOC126292043,protein_coding,Nuclear chromosome,NC_064928.1,Average infection response,infection_average_all_diets,Average infected,Average control,3.2568447527238957,6.044164958502094e-28,Average infected
LOC126345497,syndecan,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.5062920113735982,6.104107824552367e-28,Average infected
LOC126356135,Kazal peptide Pr13a-like,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,4.813512082589915,7.033078919741382e-28,Average infected
LOC126278127,uncharacterized LOC126278127,lncRNA,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,6.476627319495911,1.77554912400654e-27,Average infected
LOC126335700,uncharacterized LOC126335700,lncRNA,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,7.739905524511815,4.832025076309887e-27,Average infected
LOC126267215,peptidoglycan recognition protein 1-like,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,4.97545864595173,5.536444653914592e-27,Average infected
LOC126335115,esterase E4-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,6.085487472081101,6.107470493681933e-27,Average infected
LOC126293672,protein CREG1,protein_coding,Nuclear chromosome,NC_064929.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.4533180807236663,6.955639441612821e-27,Average infected
