"label","total_counts","files","Sex","Treatment","Diet","Hour_Group_Post_Innoculation","Var.8"
"1002",5937916,"mehreen_1002_MERGE_counts.txt","Female","Control","83",96,NA
"1003",7411306,"mehreen_1003_MERGE_counts.txt","Female","Control","33",96,NA
"1004",11086824,"mehreen_1004_MERGE_counts.txt","Female","Control","50",96,NA
"1005",8411325,"mehreen_1005_MERGE_counts.txt","Female","Control","83",96,NA
"1006",5188007,"mehreen_1006_MERGE_counts.txt","Female","Control","33",96,NA
"1007",9247588,"mehreen_1007_MERGE_counts.txt","Female","Control","50",96,NA
"1009",11688148,"mehreen_1009_MERGE_counts.txt","Female","Control","33",96,NA
"1011",7646152,"mehreen_1011_MERGE_counts.txt","Female","Control","83",96,NA
"1014",4356263,"mehreen_1014_MERGE_counts.txt","Female","Infected","83",96,NA
"1015",8608305,"mehreen_1015_MERGE_counts.txt","Female","Infected","33",96,NA
"1016",2133758,"mehreen_1016_MERGE_counts.txt","Female","Infected","50",96,NA
"1018",18585295,"mehreen_1018_MERGE_counts.txt","Female","Infected","33",96,NA
"1020",8217094,"mehreen_1020_MERGE_counts.txt","Female","Infected","83",96,NA
"1021",12154810,"mehreen_1021_MERGE_counts.txt","Female","Infected","33",96,NA
"1023",4492147,"mehreen_1023_MERGE_counts.txt","Female","Infected","83",96,NA
"1024",5089522,"mehreen_1024_MERGE_counts.txt","Female","Infected","83",96,NA
"1025",13080468,"mehreen_1025_MERGE_counts.txt","Female","Infected","50",96,NA
"1027",5661978,"mehreen_1027_MERGE_counts.txt","Female","Infected","33",96,NA
"1028",11772026,"mehreen_1028_MERGE_counts.txt","Female","Infected","50",96,NA
"1029",12725469,"mehreen_1029_MERGE_counts.txt","Female","Infected","83",96,NA
"1030",20500862,"mehreen_1030_MERGE_counts.txt","Female","Control","33",96,NA
"1031",12176499,"mehreen_1031_MERGE_counts.txt","Female","Control","50",96,NA
"1032",13406414,"mehreen_1032_MERGE_counts.txt","Female","Control","83",96,NA
"1033",17511571,"mehreen_1033_MERGE_counts.txt","Female","Control","33",96,NA
"1034",12015013,"mehreen_1034_MERGE_counts.txt","Female","Control","50",96,NA
"1035",13252545,"mehreen_1035_MERGE_counts.txt","Female","Control","83",96,NA
"1036",12927285,"mehreen_1036_MERGE_counts.txt","Female","Control","33",96,NA
"1037",13250229,"mehreen_1037_MERGE_counts.txt","Female","Control","50",96,NA
"1038",9635492,"mehreen_1038_MERGE_counts.txt","Female","Control","83",96,NA
"1039",15728172,"mehreen_1039_MERGE_counts.txt","Female","Control","33",96,NA
"1040",13122844,"mehreen_1040_MERGE_counts.txt","Female","Control","50",96,NA
"1041",7973728,"mehreen_1041_MERGE_counts.txt","Female","Control","83",96,NA
"1042",11731742,"mehreen_1042_MERGE_counts.txt","Female","Infected","33",96,NA
"1043",13136203,"mehreen_1043_MERGE_counts.txt","Female","Infected","50",96,NA
"1045",12238177,"mehreen_1045_MERGE_counts.txt","Female","Infected","33",96,NA
"1046",8517973,"mehreen_1046_MERGE_counts.txt","Female","Infected","50",96,NA
"1049",10809671,"mehreen_1049_MERGE_counts.txt","Female","Infected","50",96,NA
"1050",10894243,"mehreen_1050_MERGE_counts.txt","Female","Infected","83",96,NA
"1051",11191211,"mehreen_1051_MERGE_counts.txt","Female","Infected","33",96,NA
"1052",8867625,"mehreen_1052_MERGE_counts.txt","Female","Infected","50",96,NA
"1054",10188923,"mehreen_1054_MERGE_counts.txt","Female","Infected","33",96,NA
"1055",10574506,"mehreen_1055_MERGE_counts.txt","Female","Infected","50",96,NA
"1057",13034731,"mehreen_1057_MERGE_counts.txt","Female","Infected","33",96,NA
"1058",3891347,"mehreen_1058_MERGE_counts.txt","Female","Infected","50",96,NA
