"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","treatment_subset","contrast","significant","direction"
46.6561820607262,0.889628060792032,1.02965111267355,0.864009225884347,0.387582822434318,0.999820569116617,"LOC126266590","Control","33_vs_50",FALSE,"Higher in diet 33"
289.468358433756,0.112927024490049,0.232033006526929,0.486685175442671,0.62648145241348,0.999820569116617,"LOC126266591","Control","33_vs_50",FALSE,"Higher in diet 33"
62.760172690584,-0.184710147178097,0.19969860075953,-0.924944623926127,0.354994713033981,0.999820569116617,"LOC126266592","Control","33_vs_50",FALSE,"Higher in diet 50"
1350.93162701723,0.199981785878209,0.143118589115559,1.39731524125589,0.162318794554008,0.999820569116617,"LOC126266593","Control","33_vs_50",FALSE,"Higher in diet 33"
162.520240871423,-0.0193884230380547,0.109382761987414,-0.177253002994069,0.859309664357712,0.999820569116617,"LOC126266594","Control","33_vs_50",FALSE,"Higher in diet 50"
206.754558040143,0.0280830734871243,0.106224100845466,0.264375723245512,0.791490416274504,0.999820569116617,"LOC126266595","Control","33_vs_50",FALSE,"Higher in diet 33"
2478.07154277653,0.00301783013285253,0.412069667518308,0.00732359203002595,0.99415667122416,0.999820569116617,"LOC126266596","Control","33_vs_50",FALSE,"Higher in diet 33"
17.2455558106736,-0.523645564512487,0.563728124148608,-0.928897356865676,0.352942282909699,0.999820569116617,"LOC126266597","Control","33_vs_50",FALSE,"Higher in diet 50"
210.615164257745,0.103239366969611,0.15987598587806,0.645746554134486,0.518443505757213,0.999820569116617,"LOC126266598","Control","33_vs_50",FALSE,"Higher in diet 33"
612.143520976688,-0.334820500178319,0.362383633582296,-0.923939353630555,0.355517892148741,0.999820569116617,"LOC126266599","Control","33_vs_50",FALSE,"Higher in diet 50"
678.413008762445,-0.0227168545451625,0.0839189282024946,-0.270700008111963,0.786621770570183,0.999820569116617,"LOC126266600","Control","33_vs_50",FALSE,"Higher in diet 50"
120.590847206227,0.0848648680610387,0.115993560873867,0.73163430298792,0.464391805139885,0.999820569116617,"LOC126266601","Control","33_vs_50",FALSE,"Higher in diet 33"
128.594623822016,-0.0939741780030597,0.129770559249969,-0.72415637680996,0.468969736571256,0.999820569116617,"LOC126266602","Control","33_vs_50",FALSE,"Higher in diet 50"
11.8458806119177,-0.360565699380423,0.475475399012104,-0.758326719173213,0.448255415580833,0.999820569116617,"LOC126266603","Control","33_vs_50",FALSE,"Higher in diet 50"
216.967799492115,0.516697268928505,0.348799216880964,1.48136017491358,0.13851062118817,0.999820569116617,"LOC126266604","Control","33_vs_50",FALSE,"Higher in diet 33"
795.720798680494,-0.0672555727352859,0.0777600492093983,-0.864911653465842,0.387087280907694,0.999820569116617,"LOC126266605","Control","33_vs_50",FALSE,"Higher in diet 50"
22.4227354632489,0.380512054576378,0.300463880383991,1.26641529787237,0.205364436828955,0.999820569116617,"LOC126266606","Control","33_vs_50",FALSE,"Higher in diet 33"
2669.56257190548,0.0268519449850251,0.135822125595064,0.197699342926503,0.843280303836908,0.999820569116617,"LOC126266607","Control","33_vs_50",FALSE,"Higher in diet 33"
865.222810606388,0.20584540661502,0.27808743893766,0.740218283146423,0.459167555492414,0.999820569116617,"LOC126266608","Control","33_vs_50",FALSE,"Higher in diet 33"
378.90376838906,-0.0485487046628884,0.281087371831681,-0.172717487614349,0.862873497248756,0.999820569116617,"LOC126266610","Control","33_vs_50",FALSE,"Higher in diet 50"
106.64370147487,0.101039441555272,0.109064468719761,0.926419417261279,0.354228057049431,0.999820569116617,"LOC126266611","Control","33_vs_50",FALSE,"Higher in diet 33"
438.399712246792,-0.0207903310413341,0.0639056114750801,-0.325328724058001,0.744932293581731,0.999820569116617,"LOC126266612","Control","33_vs_50",FALSE,"Higher in diet 50"
266.550072281631,0.0943824743637153,0.294592142007305,0.320383543568433,0.748677598961079,0.999820569116617,"LOC126266613","Control","33_vs_50",FALSE,"Higher in diet 33"
737.630319074723,0.079090224310919,0.156617131241922,0.504990888823972,0.613565235352161,0.999820569116617,"LOC126266614","Control","33_vs_50",FALSE,"Higher in diet 33"
222.756765544404,0.00415539974733085,0.115549450887013,0.0359620899574339,0.971312587219535,0.999820569116617,"LOC126266615","Control","33_vs_50",FALSE,"Higher in diet 33"
128.585015286875,0.0819696133590344,0.113571125844826,0.721746947116036,0.470450072523976,0.999820569116617,"LOC126266616","Control","33_vs_50",FALSE,"Higher in diet 33"
357.498712354088,-0.199727192889361,0.122609608186285,-1.62896852737599,0.103319681697267,0.999820569116617,"LOC126266618","Control","33_vs_50",FALSE,"Higher in diet 50"
581.768309691745,-0.513339215164682,0.511410141361169,-1.00377206794996,0.315488490704817,0.999820569116617,"LOC126266619","Control","33_vs_50",FALSE,"Higher in diet 50"
132.94571150708,-0.0290826172892766,0.124600819377495,-0.233406308518461,0.81544591495801,0.999820569116617,"LOC126266620","Control","33_vs_50",FALSE,"Higher in diet 50"
18.8833178574038,-0.256003657151601,0.266471168259881,-0.960718034988043,0.336693960604883,0.999820569116617,"LOC126266622","Control","33_vs_50",FALSE,"Higher in diet 50"
26.4920314223477,0.668523628020729,0.667149647867083,1.00205947819659,0.316314867306304,0.999820569116617,"LOC126266623","Control","33_vs_50",FALSE,"Higher in diet 33"
372.21352311164,-0.17197975621765,0.169027473750616,-1.01746628758938,0.308931661897326,0.999820569116617,"LOC126266624","Control","33_vs_50",FALSE,"Higher in diet 50"
191.312728748864,-0.148783414966782,0.0999264712349466,-1.48892894073046,0.136506081676455,0.999820569116617,"LOC126266625","Control","33_vs_50",FALSE,"Higher in diet 50"
135.17967733196,0.0477656528289159,0.513620712556584,0.0929979100553771,0.925905221562649,0.999820569116617,"LOC126266626","Control","33_vs_50",FALSE,"Higher in diet 33"
162.827118413629,-0.260324190724687,0.246520510539954,-1.05599404347532,0.290970936220508,0.999820569116617,"LOC126266627","Control","33_vs_50",FALSE,"Higher in diet 50"
80.9607495907638,0.0726870407105556,0.142844722440908,0.508853526182074,0.610854897416105,0.999820569116617,"LOC126266628","Control","33_vs_50",FALSE,"Higher in diet 33"
184.247845773434,0.254929636430612,0.547111296183204,0.465955717253637,0.641247197999532,0.999820569116617,"LOC126266629","Control","33_vs_50",FALSE,"Higher in diet 33"
241.907589558286,0.0433239709052262,0.121910198146189,0.355376101130393,0.722307850450014,0.999820569116617,"LOC126266630","Control","33_vs_50",FALSE,"Higher in diet 33"
185.832143793501,0.0980250314358454,0.156005541150618,0.628343267251035,0.529779093443196,0.999820569116617,"LOC126266631","Control","33_vs_50",FALSE,"Higher in diet 33"
960.368120491212,-0.202013957756146,0.142764352567463,-1.4150168030264,0.157063569462781,0.999820569116617,"LOC126266632","Control","33_vs_50",FALSE,"Higher in diet 50"
1189.50207686889,0.104831648974749,0.110275845738188,0.95063110396483,0.341791673393612,0.999820569116617,"LOC126266633","Control","33_vs_50",FALSE,"Higher in diet 33"
6225.44302163867,-0.0475343020901749,0.131303865680272,-0.362017537289587,0.717338925191058,0.999820569116617,"LOC126266634","Control","33_vs_50",FALSE,"Higher in diet 50"
63.6488154925254,-0.309725807917224,0.199510263785035,-1.55243044664079,0.120559263050693,0.999820569116617,"LOC126266635","Control","33_vs_50",FALSE,"Higher in diet 50"
165.151005904327,-0.221814661906818,0.220600273790901,-1.00550492569682,0.314653778838258,0.999820569116617,"LOC126266637","Control","33_vs_50",FALSE,"Higher in diet 50"
2054.07858980434,-0.0140666082735029,0.0773824992131132,-0.181780227009251,0.855755202538369,0.999820569116617,"LOC126266638","Control","33_vs_50",FALSE,"Higher in diet 50"
316.481545146617,-0.060123588600706,0.141518492518672,-0.42484616342824,0.670948822765336,0.999820569116617,"LOC126266639","Control","33_vs_50",FALSE,"Higher in diet 50"
260.342187466675,0.0223097915890845,0.127165639971215,0.175438833903046,0.860734828699746,0.999820569116617,"LOC126266640","Control","33_vs_50",FALSE,"Higher in diet 33"
12.6315367264429,0.221419208991091,0.377027865154354,0.587275449522657,0.557018726721001,0.999820569116617,"LOC126266641","Control","33_vs_50",FALSE,"Higher in diet 33"
399.741569678224,0.0953968778077032,0.232717548446965,0.409925587667677,0.6818605345352,0.999820569116617,"LOC126266642","Control","33_vs_50",FALSE,"Higher in diet 33"
379.093740083509,-0.101993008674763,0.093977512982398,-1.08529163454098,0.277792509807046,0.999820569116617,"LOC126266644","Control","33_vs_50",FALSE,"Higher in diet 50"
14.9907437562937,0.476332764157316,0.418404402483813,1.13845065044636,0.254932354410891,0.999820569116617,"LOC126266645","Control","33_vs_50",FALSE,"Higher in diet 33"
581.78130411906,0.0148247043078618,0.125366434657879,0.118250984390822,0.905868793604101,0.999820569116617,"LOC126266647","Control","33_vs_50",FALSE,"Higher in diet 33"
376.27217304476,-0.200653977358678,0.245456671220891,-0.817472087275665,0.413658694355623,0.999820569116617,"LOC126266649","Control","33_vs_50",FALSE,"Higher in diet 50"
117.965778308362,-0.32289183484361,0.205321450006327,-1.57261618225304,0.115807718363111,0.999820569116617,"LOC126266650","Control","33_vs_50",FALSE,"Higher in diet 50"
243.948951465531,-0.0704908196725613,0.164084409128654,-0.429600959938195,0.667485938683315,0.999820569116617,"LOC126266651","Control","33_vs_50",FALSE,"Higher in diet 50"
64.8546519907345,0.045080639379408,0.343072695418016,0.131402586045152,0.895456843034534,0.999820569116617,"LOC126266652","Control","33_vs_50",FALSE,"Higher in diet 33"
197.99037105692,0.160223662193149,0.121349869023949,1.32034474764474,0.186719941870953,0.999820569116617,"LOC126266653","Control","33_vs_50",FALSE,"Higher in diet 33"
59.4208854994365,-0.138060909984822,0.243622743573589,-0.566699594461789,0.570918296430664,0.999820569116617,"LOC126266654","Control","33_vs_50",FALSE,"Higher in diet 50"
106.349666085766,0.0306837758247855,0.15886260038025,0.193146629548688,0.846844135040286,0.999820569116617,"LOC126266655","Control","33_vs_50",FALSE,"Higher in diet 33"
2736.29255255503,0.43555593500553,0.326856915194294,1.33255842161584,0.182676757443635,0.999820569116617,"LOC126266656","Control","33_vs_50",FALSE,"Higher in diet 33"
1212.09910554011,1.09592284225378,0.514919101049288,2.12833984993088,0.0333089163515962,0.799698486040584,"LOC126266657","Control","33_vs_50",FALSE,"Higher in diet 33"
20.5151087296397,0.124465418539964,0.527947826460988,0.235753254965169,0.813624142887825,0.999820569116617,"LOC126266658","Control","33_vs_50",FALSE,"Higher in diet 33"
369.968504135407,-0.0763974988124378,0.19954755064582,-0.382853603390186,0.70182831415599,0.999820569116617,"LOC126266660","Control","33_vs_50",FALSE,"Higher in diet 50"
26.1266768086625,0.0037357915229629,0.288126919669726,0.0129657844093331,0.989655090651724,0.999820569116617,"LOC126266661","Control","33_vs_50",FALSE,"Higher in diet 33"
230.855800555112,-0.122072515932032,0.50454645254538,-0.241945048500865,0.808822743212516,0.999820569116617,"LOC126266662","Control","33_vs_50",FALSE,"Higher in diet 50"
15.5167049538937,0.123504510974265,0.390040183345944,0.316645607933999,0.751512524994666,0.999820569116617,"LOC126266663","Control","33_vs_50",FALSE,"Higher in diet 33"
1149.11966376668,0.358308999532758,0.497036113615345,0.720891278757367,0.470976409091847,0.999820569116617,"LOC126266665","Control","33_vs_50",FALSE,"Higher in diet 33"
303.384355898961,-0.0271577440865357,0.0901927299473951,-0.301107906395288,0.763332212220805,0.999820569116617,"LOC126266666","Control","33_vs_50",FALSE,"Higher in diet 50"
46.8846553242836,-0.833389842488878,0.599665029211837,-1.38975895190059,0.164602086670339,0.999820569116617,"LOC126266667","Control","33_vs_50",FALSE,"Higher in diet 50"
143.905772181845,-0.0345991248785969,0.173381961874266,-0.199554351009638,0.841829132206688,0.999820569116617,"LOC126266669","Control","33_vs_50",FALSE,"Higher in diet 50"
25.0419614636354,1.58985191862015,0.65873906590519,2.41347750711505,0.0158011031404494,0.632044125617974,"LOC126266671","Control","33_vs_50",FALSE,"Higher in diet 33"
693.791106905033,0.149213484871846,0.245337493556013,0.608196825968546,0.543056939502775,0.999820569116617,"LOC126266672","Control","33_vs_50",FALSE,"Higher in diet 33"
8.42530382746442,0.33996361978393,0.591084164672056,0.57515264340155,0.565188067279049,0.999820569116617,"LOC126266674","Control","33_vs_50",FALSE,"Higher in diet 33"
7.06351471142507,-0.382697125003584,0.432181511484443,-0.885500917633215,0.375886524911347,0.999820569116617,"LOC126266675","Control","33_vs_50",FALSE,"Higher in diet 50"
270.713815866464,-0.0558897354480835,0.086568725716859,-0.645611160211397,0.518531207917512,0.999820569116617,"LOC126266676","Control","33_vs_50",FALSE,"Higher in diet 50"
276.580863435291,0.210562035429477,0.797528768161767,0.26401810672586,0.791765966488125,0.999820569116617,"LOC126266677","Control","33_vs_50",FALSE,"Higher in diet 33"
