"intersection","n_genes","n_sets","intersection_id"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50",965,3,"I01"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_83 + DESeq2_infected_vs_control_diet_33",453,5,"I02"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_83",277,2,"I03"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33",262,4,"I04"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33",194,2,"I05"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_83",177,4,"I06"
"all_diet_pairwise_results + DESeq2_33_vs_50",79,2,"I07"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + all_diet_pairwise_results + DESeq2_33_vs_50",52,5,"I08"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_83 + DESeq2_infected_vs_control_diet_33",52,3,"I09"
"all_diet_pairwise_results + DESeq2_33_vs_83",20,2,"I10"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + all_diet_pairwise_results + DESeq2_33_vs_50 + interaction_coefficients",17,6,"I11"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_83 + interaction_coefficients",14,4,"I12"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + all_diet_pairwise_results + DESeq2_33_vs_83",12,5,"I13"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + all_diet_pairwise_results + DESeq2_33_vs_50 + DESeq2_33_vs_83",10,6,"I14"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_50",10,4,"I15"
"all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_50_vs_83",10,3,"I16"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + interaction_coefficients",9,4,"I17"
"all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_50",9,3,"I18"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_83 + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",8,7,"I19"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",8,6,"I20"
