"coefficient","direction","n_significant_genes"
"Diet_33_vs_50","Positive coefficient",11
"Diet_83_vs_50","Positive coefficient",25
"Treatment_Infected_vs_Control","Positive coefficient",1213
"Diet33.TreatmentInfected","Positive coefficient",1
"Diet83.TreatmentInfected","Positive coefficient",2
"Diet_33_vs_50","Negative coefficient",3
"Diet_83_vs_50","Negative coefficient",29
"Treatment_Infected_vs_Control","Negative coefficient",694
"Diet33.TreatmentInfected","Negative coefficient",121
"Diet83.TreatmentInfected","Negative coefficient",1
