"intersection","n_genes"
"Infection within diets",2243
"Thorax phase DEGs",458
"Head phase DEGs",274
"Infection within diets + Thorax phase DEGs",259
"Head phase DEGs + Thorax phase DEGs",231
"Infection within diets + Head phase DEGs + Thorax phase DEGs",126
"Infection within diets + Head phase DEGs",86
