"intersection","n_genes"
"Diet 50",888
"Diet 83",644
"Diet 33 + Diet 50 + Diet 83",480
"Diet 33 + Diet 50",239
"Diet 50 + Diet 83",214
"Diet 33",196
"Diet 33 + Diet 83",53
