source_sheet,umbrella,figure_scope,x_label,x_order,status,n_genes,percentage,n_targets,p_value,p_label
Immune,Total Immune,Diet comparison among infected,"50
vs
33",1,Downregulated,1,1.3888888888888888,72,4.999750012499375e-5,p < 0.0001
Immune,Total Immune,Diet comparison among infected,"50
vs
33",1,N.S.,61,84.72222222222223,72,4.999750012499375e-5,p < 0.0001
Immune,Total Immune,Diet comparison among infected,"50
vs
33",1,Upregulated,10,13.88888888888889,72,4.999750012499375e-5,p < 0.0001
Immune,Total Immune,Diet comparison among infected,"83
vs
33",2,N.S.,72,100,72,4.999750012499375e-5,p < 0.0001
Immune,Total Immune,Diet comparison among infected,"83
vs
50",3,N.S.,72,100,72,4.999750012499375e-5,p < 0.0001
Immune,Total Immune,Within-diet infection response,33,1,Downregulated,6,8.333333333333334,72,0.038148092595370234,p = 0.038
Immune,Total Immune,Within-diet infection response,33,1,N.S.,33,45.833333333333336,72,0.038148092595370234,p = 0.038
Immune,Total Immune,Within-diet infection response,33,1,Upregulated,33,45.833333333333336,72,0.038148092595370234,p = 0.038
Immune,Total Immune,Within-diet infection response,50,2,Downregulated,6,8.333333333333334,72,0.038148092595370234,p = 0.038
Immune,Total Immune,Within-diet infection response,50,2,N.S.,23,31.944444444444443,72,0.038148092595370234,p = 0.038
Immune,Total Immune,Within-diet infection response,50,2,Upregulated,43,59.72222222222222,72,0.038148092595370234,p = 0.038
Immune,Total Immune,Within-diet infection response,83,3,Downregulated,1,1.3888888888888888,72,0.038148092595370234,p = 0.038
Immune,Total Immune,Within-diet infection response,83,3,N.S.,39,54.166666666666664,72,0.038148092595370234,p = 0.038
Immune,Total Immune,Within-diet infection response,83,3,Upregulated,32,44.44444444444444,72,0.038148092595370234,p = 0.038
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"50
vs
33",1,N.S.,33,36.26373626373626,91,4.999750012499375e-5,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"50
vs
33",1,Upregulated,58,63.73626373626374,91,4.999750012499375e-5,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
33",2,N.S.,86,94.50549450549451,91,4.999750012499375e-5,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
33",2,Upregulated,5,5.4945054945054945,91,4.999750012499375e-5,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
50",3,N.S.,90,98.9010989010989,91,4.999750012499375e-5,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
50",3,Upregulated,1,1.098901098901099,91,4.999750012499375e-5,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,33,1,Downregulated,30,32.967032967032964,91,1.948948099281993e-6,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,33,1,N.S.,54,59.34065934065934,91,1.948948099281993e-6,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,33,1,Upregulated,7,7.6923076923076925,91,1.948948099281993e-6,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,50,2,Downregulated,9,9.89010989010989,91,1.948948099281993e-6,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,50,2,N.S.,69,75.82417582417582,91,1.948948099281993e-6,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,50,2,Upregulated,13,14.285714285714286,91,1.948948099281993e-6,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,83,3,Downregulated,5,5.4945054945054945,91,1.948948099281993e-6,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,83,3,N.S.,79,86.81318681318682,91,1.948948099281993e-6,p < 0.0001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,83,3,Upregulated,7,7.6923076923076925,91,1.948948099281993e-6,p < 0.0001
