"label","PC1","PC2","Diet","Treatment","Condition"
"1002",-14.2042136848507,40.4484535402704,"83","Control","83 Control"
"1003",-43.0588236251285,13.241265298225,"33","Control","33 Control"
"1004",-42.3973172553381,9.11635886887629,"50","Control","50 Control"
"1005",-32.6490334311261,19.5956126107242,"83","Control","83 Control"
"1006",-41.3790177213995,-11.9602695529812,"33","Control","33 Control"
"1007",-41.9769184911213,-0.406896222580214,"50","Control","50 Control"
"1009",-51.3501684520737,-9.65681564042784,"33","Control","33 Control"
"1011",-32.9311964466546,-21.4783189675043,"83","Control","83 Control"
"1014",12.0909811179137,-22.5963484632131,"83","Infected","83 Infected"
"1015",53.1868695831144,21.4753129996424,"33","Infected","33 Infected"
"1016",65.6303503903009,-30.0910416365483,"50","Infected","50 Infected"
"1018",8.22471537664052,25.358337693475,"33","Infected","33 Infected"
"1020",30.4065294319772,45.0445044648489,"83","Infected","83 Infected"
"1021",-4.1739521683577,22.497529119377,"33","Infected","33 Infected"
"1023",76.3263709215173,-6.38442243859139,"83","Infected","83 Infected"
"1024",23.401260503718,18.8693896657614,"33","Infected","33 Infected"
"1025",48.5800457743462,29.7503195871646,"50","Infected","50 Infected"
"1027",71.1489215803852,20.3303649012364,"33","Infected","33 Infected"
"1028",16.7147421155694,11.4585662304003,"50","Infected","50 Infected"
"1029",69.7289374883007,37.0368701102877,"83","Infected","83 Infected"
"1030",-57.9656459979706,0.155009629816159,"33","Control","33 Control"
"1031",-47.7068359416008,0.604865858457431,"50","Control","50 Control"
"1032",-48.8408517631739,-20.3677322126775,"83","Control","83 Control"
"1033",-33.8484024091272,15.4919465925942,"33","Control","33 Control"
"1034",-50.2612322417915,9.29662920469962,"50","Control","50 Control"
"1035",-18.8692964356764,15.4770034573579,"83","Control","83 Control"
"1036",-52.3576474270319,-3.31042994544099,"33","Control","33 Control"
"1037",-37.2399999936803,-5.48304331886851,"50","Control","50 Control"
"1038",-49.4625377192211,-11.6931764384957,"83","Control","83 Control"
"1039",-39.518410556987,-25.6844810597677,"33","Control","33 Control"
"1040",-53.8589608061105,-26.0347378476199,"50","Control","50 Control"
"1041",-53.1900871011713,-12.9284643781809,"83","Control","83 Control"
"1042",-9.71480908063926,-22.6098793536658,"33","Infected","33 Infected"
"1043",-13.9996607426187,-11.4421521061283,"50","Infected","50 Infected"
"1045",-5.97871175930323,-10.9925072787456,"33","Infected","33 Infected"
"1046",52.4364415333041,8.87384477103905,"50","Infected","50 Infected"
"1049",58.1415159842725,14.833626622666,"50","Infected","50 Infected"
"1050",-8.52693317920497,-31.6346995299417,"83","Infected","83 Infected"
"1051",-27.6208081043603,-17.2291477808137,"33","Infected","33 Infected"
"1052",35.6035798687115,21.0864767025074,"50","Infected","50 Infected"
"1054",54.134572810327,29.8068472941234,"33","Infected","33 Infected"
"1055",26.6186200850806,7.57822250575643,"50","Infected","50 Infected"
"1057",55.8387380964504,26.4791598271055,"33","Infected","33 Infected"
"1058",61.2544346049493,21.0807051079239,"50","Infected","50 Infected"
"1044",93.6138452688409,-183.002658492143,"83","Infected","83 Infected"
