"DEG_context","coordinate_class","n_degs","proportion"
"Infection within diets","Named chromosomes 1-11/X",2714,1
"Diet DEGs in controls","Named chromosomes 1-11/X",92,1
"Diet DEGs in infected","Named chromosomes 1-11/X",748,1
"Infection vs control","Named chromosomes 1-11/X",1830,1
