"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","treatment_subset","contrast","significant","direction"
46.6426882318008,-1.57217577007949,1.01609558725961,-1.54727152621498,0.121797784761675,0.865072610394429,"LOC126266590","Control","33_vs_83",FALSE,"Higher in diet 83"
289.415520689422,-0.0377692868500555,0.223940667308202,-0.168657561415921,0.866066001564562,0.994960370430618,"LOC126266591","Control","33_vs_83",FALSE,"Higher in diet 83"
62.750887895385,-0.0389436825049102,0.198149143039448,-0.196537223969508,0.844189700242826,0.994960370430618,"LOC126266592","Control","33_vs_83",FALSE,"Higher in diet 83"
1350.77279092122,0.0927129856621445,0.135221693981347,0.685636919139126,0.492942094373502,0.994960370430618,"LOC126266593","Control","33_vs_83",FALSE,"Higher in diet 33"
162.501946262178,0.0818868736058192,0.105612734126177,0.775350380646215,0.438132646816876,0.994960370430618,"LOC126266594","Control","33_vs_83",FALSE,"Higher in diet 33"
206.722868897981,0.0222660952727373,0.101566682072505,0.219226372451964,0.826473712869415,0.994960370430618,"LOC126266595","Control","33_vs_83",FALSE,"Higher in diet 33"
2477.4231155718,-0.148717189453197,0.39811327434665,-0.373554962961883,0.708735446280848,0.994960370430618,"LOC126266596","Control","33_vs_83",FALSE,"Higher in diet 83"
17.2468603065813,0.260633299537154,0.574289289903081,0.453836253121035,0.649946688226218,0.994960370430618,"LOC126266597","Control","33_vs_83",FALSE,"Higher in diet 33"
210.581765764506,0.104250864353701,0.153975573687892,0.677061054924321,0.498367217284318,0.994960370430618,"LOC126266598","Control","33_vs_83",FALSE,"Higher in diet 33"
612.023751522696,-1.62197403176239,0.350752342572382,-4.6242714157431,3.75917376014032e-06,0.00136428329805513,"LOC126266599","Control","33_vs_83",TRUE,"Higher in diet 83"
678.318012312195,0.0755342622903685,0.078788941298906,0.958691169663138,0.337714348247254,0.994960370430618,"LOC126266600","Control","33_vs_83",FALSE,"Higher in diet 33"
120.570192166777,0.126552825042837,0.111832035938788,1.13163302429821,0.257788750034577,0.994960370430618,"LOC126266601","Control","33_vs_83",FALSE,"Higher in diet 33"
128.57507497785,0.0408366206675374,0.126427746351312,0.32300362733717,0.746692494973369,0.994960370430618,"LOC126266602","Control","33_vs_83",FALSE,"Higher in diet 33"
11.8443620919267,-0.261690444411363,0.480956782613711,-0.544103865193943,0.5863700008137,NA,"LOC126266603","Control","33_vs_83",FALSE,"Higher in diet 83"
216.953125262528,0.443155582574971,0.34088510689673,1.300014502274,0.193595998749522,0.96073960687943,"LOC126266604","Control","33_vs_83",FALSE,"Higher in diet 33"
