"foreground_set","n_genes","n_GO_annotated_genes","GO_annotation_percent"
"All main-chromosome DEGs",2949,885,30.0101729399797
"Expression cluster 1",1086,334,30.7550644567219
"Expression cluster 2",1863,551,29.5759527643586
