"expression_cluster","database","background","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","Description","gene_biotype"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126266746","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.34118240574418,8.23825317556049e-06,"uncharacterized LOC126266746","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126266832","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.63545855005181,6.36938912785152e-05,"protein jagged-1b","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126267081","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.21327321460465,2.62076461135251e-11,"DNA polymerase epsilon catalytic subunit 1","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126267242","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.31712244198984,9.30976688958937e-06,"chromosome-associated kinesin KIF4","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126267997","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.57315570715167,0.000139521357059533,"myosin heavy chain 95F","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272178","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.57143159165446,8.15763543232621e-05,"uncharacterized LOC126272178","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272312","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.01914154969847,0.0419354677180231,"myosin-11","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272375","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.18601866361145,0.0131096712857854,"DNA repair protein XRCC2-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272470","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.29156870078669,2.06580777250547e-05,"mitotic checkpoint serine/threonine-protein kinase BUB1-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272743","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.0190981509258,0.00881958365740284,"G2/mitotic-specific cyclin-B-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126273149","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.58123370835358,9.48308379312021e-06,"kinesin-like protein KIF22","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126278346","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.51029785141249,7.64709225312508e-07,"baculoviral IAP repeat-containing protein 5.2-B","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126278524","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.3714089281249,4.47126409557008e-05,"anillin-like","protein_coding"
