"GeneID","Description","Pattern","log2FC_50","padj_50","Direction_50","log2FC_83","padj_83","Direction_83","GeneType"
"LOC126344004","keratinocyte proline-rich protein-like","Neutral_Up",1.23679549870925,0.243424942530773,"Neutral",2.03000008891916,0.0212155046444107,"Up","protein_coding"
"LOC126344047","uncharacterized LOC126344047","Neutral_Up",2.16837141166173,0.253624873479575,"Neutral",3.86851320415597,0.0442287827787719,"Up","protein_coding"
"LOC126306122","uncharacterized LOC126306122","Neutral_Up",0.30721793288012,0.747555029102318,"Neutral",1.22961267623811,0.00153099622690688,"Up","protein_coding"
"LOC126307739","uncharacterized LOC126307739","Neutral_Up",0.9826777615365,0.359374642042559,"Neutral",1.95192179036016,0.0171507025687648,"Up","protein_coding"
"LOC126347864","uncharacterized LOC126347864","Neutral_Down",-0.260171718234563,0.90079106382545,"Neutral",-1.81341749480058,0.00458583567130255,"Down","protein_coding"
"LOC126349907","phosphoserine phosphatase","Neutral_Down",-0.0115104669668212,0.994273358325483,"Neutral",-1.49435550659141,9.06531191879074e-07,"Down","protein_coding"
"LOC126351672","lipoyltransferase 1%2C mitochondrial-like","Neutral_Up",0.593901538876586,0.435443199570299,"Neutral",1.80337159546171,1.15431153275948e-05,"Up","protein_coding"
"LOC126352958","ornithine aminotransferase%2C mitochondrial","Neutral_Down",-0.687305891516584,0.424749492043354,"Neutral",-3.34536538848732,1.49306596503834e-16,"Down","protein_coding"
"LOC126353857","uncharacterized LOC126353857","Neutral_Up",0.948840358141423,0.178132846092718,"Neutral",1.7955061041733,0.000820126378018955,"Up","lncRNA"
"LOC126354620","putative fatty acyl-CoA reductase CG5065","Neutral_Up",1.15109535704947,0.0608212064589021,"Neutral",1.60716960393278,0.00563261190293526,"Up","protein_coding"
"LOC126355485","phosphatidate phosphatase LPIN2","Neutral_Down",-0.342177834463557,0.78915543682585,"Neutral",-1.5460090927108,0.000875082783674969,"Down","protein_coding"
"LOC126361173","uncharacterized LOC126361173","Neutral_Up",1.17195232626513,0.0531917064748862,"Neutral",1.58476495347296,0.00602584468717153,"Up","protein_coding"
"LOC126267711","hairy/enhancer-of-split related with YRPW motif protein","Neutral_Down",-0.48754721272909,0.791103002881535,"Neutral",-2.20281600740905,0.000941378594532655,"Down","protein_coding"
"LOC126266788","trifunctional purine biosynthetic protein adenosine-3-like","Neutral_Down",-0.844823547096924,0.459361844074126,"Neutral",-2.66144376460417,7.01733937648086e-06,"Down","protein_coding"
"LOC126267671","peptidoglycan-recognition protein SD-like","Up_Up",1.18122366189863,0.0132949880394128,"Up",1.24437364088085,0.0104409034889606,"Up","protein_coding"
"LOC126269845","protein henna","Neutral_Down",-0.263705507546873,0.862891379478925,"Neutral",-1.85858262382224,3.52324527351212e-05,"Down","protein_coding"
"LOC126271434","23 kDa integral membrane protein-like","Up_Neutral",5.21781637592139,0.0250756080108261,"Up",0.0658097458544507,0.99961327719589,"Neutral","protein_coding"
"LOC126272354","uncharacterized LOC126272354","Neutral_Up",0.726997021002812,0.498656214241838,"Neutral",1.93833987561359,0.00217562197935642,"Up","protein_coding"
"LOC126272587","facilitated trehalose transporter Tret1-2 homolog","Up_Up",1.19887247661626,0.00552350829020729,"Up",1.10787466289689,0.014134688075109,"Up","protein_coding"
"LOC126273306","uncharacterized LOC126273306","Neutral_Down",-0.00336022593138977,0.997293537908196,"Neutral",-1.24493612910054,2.12435825132023e-06,"Down","protein_coding"
"LOC126275659","short/branched chain specific acyl-CoA dehydrogenase%2C mitochondrial","Neutral_Down",-0.0914874046241577,0.936935986576662,"Neutral",-1.10473632182043,0.000182291492324217,"Down","protein_coding"
"LOC126336535","proline-rich protein 2-like","Neutral_Up",1.53933464255161,0.427245600606105,"Neutral",3.63178830552418,0.00261544977438035,"Up","protein_coding"
"LOC126336534","proline-rich protein HaeIII subfamily 1-like","Neutral_Up",1.81987654506208,0.193189672784298,"Neutral",4.46368822678441,1.49119761616285e-06,"Up","protein_coding"
