"GeneID","INFECT_baseMean","INFECT_log2FoldChange","INFECT_lfcSE","INFECT_stat","INFECT_pvalue","INFECT_padj","DIET33_baseMean","DIET33_log2FoldChange","DIET33_lfcSE","DIET33_stat","DIET33_pvalue","DIET33_padj","DIET83_baseMean","DIET83_log2FoldChange","DIET83_lfcSE","DIET83_stat","DIET83_pvalue","DIET83_padj","INT33_baseMean","INT33_log2FoldChange","INT33_lfcSE","INT33_stat","INT33_pvalue","INT33_padj","INT83_baseMean","INT83_log2FoldChange","INT83_lfcSE","INT83_stat","INT83_pvalue","INT83_padj","GeneType.x","Description.x","Species","NumSig","GeneType.y","Description.y"
"LOC126266665",8.89272525078472,1.65447135128246,0.544094015712453,3.04078211394413,0.00235964519570966,0.0166378239013684,8.89272525078472,1.40732681635439,0.572281597819456,2.45915091751452,0.0139266060769684,0.439763163762559,8.89272525078472,1.81909768065022,0.574001978859845,3.16914879677512,0.00152886103251184,0.037745559642297,8.89272525078472,-1.96754916766338,0.726226622569077,-2.70927711339339,0.00674299941265161,0.187259548250917,8.89272525078472,-2.88378756038366,0.796070562271878,-3.62252757111596,0.000291738354131983,0.0700686192263227,NA,NA,"Schistocerca_gregaria",2,"protein_coding","uncharacterized LOC126266665"
"LOC126266677",34.4270072637635,3.18019376628154,1.18995299283604,2.67253730645454,0.00752800034193515,0.036288313306159,34.4270072637635,1.38632550151638,1.28292034266626,1.08060138686025,0.279874465366106,0.986352197722606,34.4270072637635,4.16451373834153,1.27999018231165,3.25355131304245,0.00113972139360071,0.0313963251268744,34.4270072637635,-4.56628049197937,1.65287720528621,-2.76262536465234,0.00573385375215273,0.177679314734701,34.4270072637635,-4.32805658383947,1.71949280853403,-2.51705419316606,0.0118340625272618,0.2392545049277,NA,NA,"Schistocerca_gregaria",2,"protein_coding","lachesin-like"
"LOC126267114",81.6993582473067,24.7780349559201,2.52310775689886,9.82044262206809,9.19389700672829e-23,3.78259907599319e-19,81.6993582473067,12.0457150970154,2.79984929858221,4.30227266271621,1.69055091475177e-05,0.00948680821661533,81.6993582473067,12.965288200894,2.80912348065298,4.61542124801156,3.92298780983436e-06,0.00131626884581533,81.6993582473067,-18.1470243646032,3.49060009412513,-5.19882652703345,2.00550578702614e-07,0.000486970230186398,81.6993582473067,-15.1686967220547,3.65230988487845,-4.15317900183039,3.27888048879713e-05,0.0289915008575299,NA,NA,"Schistocerca_gregaria",5,"protein_coding","juvenile hormone acid O-methyltransferase-like"
"LOC126267171",3.91404182380768,1.55726564524754,0.614590954612904,2.53382454388444,0.0112825208359801,0.0482652574467699,3.91404182380768,1.21071040464791,0.628182459821588,1.92732284341681,0.053939408482225,0.652270410773903,3.91404182380768,1.96463393212993,0.617825601384615,3.17991667507298,0.00147317406149947,0.0367754834875433,3.91404182380768,-1.19961381359942,0.766268210448179,-1.56552731438223,0.117459317976413,NA,3.91404182380768,-1.84147295313751,0.807775234983812,-2.27968483482217,0.0226263873793022,0.305314132842486,NA,NA,"Schistocerca_gregaria",2,"protein_coding","LETM1 domain-containing protein 1-like"
"LOC126267545",75.1417365394728,7.27108631124269,1.18585380875713,6.13151997113653,8.70434056679634e-10,1.8365042654842e-07,75.1417365394728,1.20244294737209,1.2948552277054,0.928631187212273,0.35308025356374,0.99670955020771,75.1417365394728,5.18063421782265,1.26617606128043,4.09155912534286,4.28482667612381e-05,0.00494708444621294,75.1417365394728,-3.35556609890444,1.61100238498357,-2.0829057301108,0.0372598172146474,0.384446371813171,75.1417365394728,-5.69123156490614,1.65561858136721,-3.43752578580408,0.000587054820833625,0.0864981144359414,NA,NA,"Schistocerca_gregaria",2,"protein_coding","serine protease Hayan-like"
"LOC126268174",49.5741641485875,3.07555330307558,0.986121443380385,3.11883827668599,0.00181565588726323,0.013923694751487,49.5741641485875,-0.223831524937013,1.11340954906953,-0.201032517750605,0.840673147591535,0.997493170622168,49.5741641485875,3.67789513719081,1.06662832282321,3.44815064300556,0.00056443913419775,0.0200516363917943,49.5741641485875,-2.9681754333624,1.41579715030384,-2.09646942199693,0.0360405696952905,0.377281113291314,49.5741641485875,-5.72986240214274,1.4239584345725,-4.02389723114563,5.72429041015407e-05,0.0322207030593786,NA,NA,"Schistocerca_gregaria",3,"protein_coding","sodium-coupled monocarboxylate transporter 1-like"
"LOC126270657",127.540437397822,2.93335951290641,0.632239608965734,4.63963261919801,3.49029094978407e-06,0.000151555984592603,127.540437397822,1.62318184420077,0.679603206953433,2.388425816113,0.0169207240120395,0.462680259490933,127.540437397822,2.47105249789808,0.681068777212863,3.62819817994061,0.000285406148003633,0.0137890687260093,127.540437397822,-2.34168769287226,0.87210742411347,-2.6850908822989,0.00725100863789724,0.191376711676676,127.540437397822,-2.01203099595814,0.916027113755541,-2.19647537255659,0.0280579360058534,0.335086685666421,NA,NA,"Schistocerca_gregaria",2,"protein_coding","cytochrome P450 18a1"
"LOC126271434",6.03125071005079,5.84956693044609,1.33936468277535,4.36741912465914,1.25723326872123e-05,0.000421390792328823,6.03125071005079,5.56663422287327,1.40294447089507,3.96782220419729,7.25324126448983e-05,0.0321337675493911,6.03125071005079,5.3099348916727,1.41416662231518,3.75481559802312,0.000173469144046594,0.010396230915342,6.03125071005079,-6.48685287022982,1.6868436710609,-3.84555663427309,0.000120279078451882,0.0385993980368062,6.03125071005079,-5.53196803370777,1.76616733962549,-3.1321879357597,0.00173508770611479,0.126346629997925,NA,NA,"Schistocerca_gregaria",4,"protein_coding","23 kDa integral membrane protein-like"
"LOC126271894",33.0588290451764,-0.796770865890006,0.227412082581683,-3.5036435040949,0.000458939301644901,0.00550894535898624,33.0588290451764,-0.452615659927587,0.233190779824057,-1.94096722121297,0.0522622533922869,0.649915774355406,33.0588290451764,-0.741130899265707,0.243153966208858,-3.04799017191071,0.00230377461852053,0.0499639075414495,33.0588290451764,0.767005753510392,0.312006087019347,2.45830381335744,0.0139595024473285,0.248304666855725,33.0588290451764,1.07532544729501,0.344118757145554,3.12486728772002,0.00177885294608927,0.126802971725059,NA,NA,"Schistocerca_gregaria",2,"protein_coding","metallophosphoesterase 1"
"LOC126273038",11.0197028958486,-23.6504720488925,5.10826186733113,-4.62984722849554,3.65935613716812e-06,0.000157237660442234,11.0197028958486,-25.5428774818182,5.4822904980506,-4.65916162065851,3.17499849865515e-06,0.00242959544203906,11.0197028958486,-9.31130119684598,5.50114484867102,-1.69261152959741,0.090529435015303,0.442970766160887,11.0197028958486,-3.6056387648132,7.1136060661321,-0.506865116130011,0.612249463520534,0.939269924929514,11.0197028958486,-1.71997008541843,7.48134531837546,-0.22990117582113,0.818168562625417,0.977254787696082,NA,NA,"Schistocerca_gregaria",2,"protein_coding","uncharacterized LOC126273038"
