"GeneID","Description","Pattern","log2FC_50","padj_50","Direction_50","log2FC_83","padj_83","Direction_83","GeneType"
"LOC126361173","uncharacterized LOC126361173","Up_Up",1.18020907239593,0.0471502605240094,"Up",1.56613269180266,0.00625078561031175,"Up","protein_coding"
"LOC126267671","peptidoglycan-recognition protein SD-like","Up_Up",1.18547683530485,0.0104779646830032,"Up",1.22028720670078,0.0109658470033653,"Up","protein_coding"
"LOC126271434","23 kDa integral membrane protein-like","Up_NA",5.20880753360942,0.0205509965519271,"Up",NA,NA,NA,"protein_coding"
"LOC126272587","facilitated trehalose transporter Tret1-2 homolog","Up_Up",1.20721661498136,0.00394427557241033,"Up",1.09261785946798,0.0134747165302905,"Up","protein_coding"
"LOC126336531","proline-rich protein 2-like","Up_Up",2.23244160006305,0.0169174594953311,"Up",3.43443199319816,4.89382078143106e-06,"Up","protein_coding"
"LOC126336537","proline-rich protein 2-like","Up_Up",1.99561181740223,0.00916547876100285,"Up",3.07807136066702,5.90350495763428e-07,"Up","protein_coding"
"LOC126336910","protein charybde-like","Down_Down",-1.61827638185984,0.03025676735179,"Down",-2.68836204482038,7.78592622210618e-06,"Down","protein_coding"
"LOC126337058","protein takeout","Up_NA",1.67854831809088,0.0286832005946208,"Up",NA,NA,NA,"protein_coding"
"LOC126334905","probable imidazolonepropionase","Up_NA",2.56137417174108,0.00621816077516657,"Up",NA,NA,NA,"protein_coding"
"LOC126335044","cytochrome P450 6k1-like","Up_NA",1.16385389612768,0.0328253430809116,"Up",NA,NA,NA,"protein_coding"
"LOC126356147","luciferin sulfotransferase-like","Up_NA",1.07724327226709,0.0121444183984718,"Up",NA,NA,NA,"protein_coding"
"LOC126356047","allantoicase-like","Up_Up",3.60925177789599,0.00331133396106363,"Up",7.07614098425827,1.44155026047074e-11,"Up","protein_coding"
"LOC126354206","cytochrome P450 4g15","Up_NA",2.77975891215315,0.030423961350229,"Up",NA,NA,NA,"protein_coding"
"LOC126354577","uncharacterized LOC126354577","Up_NA",5.4062072006185,0.00407671096282477,"Up",NA,NA,NA,"protein_coding"
"LOC126355654","neural-cadherin-like","Down_NA",-3.1308811109312,0.0493482566527499,"Down",NA,NA,NA,"protein_coding"
"LOC126365810","alpha-tocopherol transfer protein-like","Down_Down",-1.83201279368895,0.00624286474991313,"Down",-1.8355907461821,0.00563360877896282,"Down","protein_coding"
"LOC126267144","uncharacterized LOC126267144","Down_NA",-1.7460745487392,0.0397473921055603,"Down",NA,NA,NA,"protein_coding"
"LOC126267541","uncharacterized LOC126267541","Up_NA",1.93237167750556,0.0277356600553899,"Up",NA,NA,NA,"lncRNA"
"LOC126267328","uncharacterized LOC126267328","Up_NA",1.60493249638245,0.0251833833089554,"Up",NA,NA,NA,"lncRNA"
"LOC126272477","uncharacterized LOC126272477","Up_Up",2.01546762828048,0.00810258607536853,"Up",1.80226960964854,0.0337954758991629,"Up","protein_coding"
"LOC126273038","uncharacterized LOC126273038","Down_Down",-28.9994392903702,4.75010901816042e-10,"Down",-26.3544430433028,4.50296016337278e-10,"Down","protein_coding"
"LOC126272465","vesicular glutamate transporter 1-like","Up_Up",4.25335812781691,2.24599298103269e-07,"Up",6.1450607830358,7.33660704926172e-12,"Up","protein_coding"
"LOC126278809","neural-cadherin-like","Up_NA",3.69766294838565,0.0045341536198015,"Up",NA,NA,NA,"protein_coding"
"LOC126278052","phosphoenolpyruvate carboxykinase [GTP]-like","Down_Down",-1.67075208395922,0.0265881847884999,"Down",-6.84476371997924,7.80244501155207e-43,"Down","protein_coding"
"LOC126278531","uncharacterized LOC126278531","Down_NA",-1.60008801603754,0.0184486851804745,"Down",NA,NA,NA,"lncRNA"
"LOC126282424","uncharacterized LOC126282424","Down_NA",-1.25414120776622,0.00319281710869638,"Down",NA,NA,NA,"protein_coding"
"LOC126281302","uncharacterized LOC126281302","Down_NA",-2.30411674298901,0.0176675016237664,"Down",NA,NA,NA,"lncRNA"
"LOC126284988","uncharacterized LOC126284988","Neutral_Up",0.78773321664241,0.0047420159981659,"Neutral",1.2794063849942,4.07763440456343e-09,"Up","protein_coding"
"LOC126284736","protein TonB-like","Down_NA",-1.31215975211443,0.000333852680058503,"Down",NA,NA,NA,"protein_coding"
"LOC126284662","putative fatty acyl-CoA reductase CG5065","Up_NA",4.96537204881728,0.0283444038179339,"Up",NA,NA,NA,"protein_coding"
"LOC126284312","uncharacterized LOC126284312","Up_NA",2.50327581148557,0.0247927412880503,"Up",NA,NA,NA,"protein_coding"
"LOC126292211","uncharacterized LOC126292211","Down_NA",-2.33894507638704,0.0340030980460851,"Down",NA,NA,NA,"protein_coding"
"LOC126295189","uncharacterized LOC126295189","Up_NA",1.80732303281119,0.0176675016237664,"Up",NA,NA,NA,"lncRNA"
"LOC126297489","collagen alpha-1(I) chain-like","Down_Down",-19.5449862788112,0.000333852680058503,"Down",-18.1279869869958,0.000152694167978859,"Down","protein_coding"
"LOC126299155","tachykinin-like peptides receptor 99D","Up_NA",2.90333742530461,0.0377232437596218,"Up",NA,NA,NA,"protein_coding"
"LOC126298173","uncharacterized LOC126298173","Up_NA",1.00479785288786,0.0336227441973065,"Up",NA,NA,NA,"protein_coding"
"LOC126304687","S-adenosylmethionine decarboxylase proenzyme-like","Up_NA",2.35329818994927,0.0372405911015298,"Up",NA,NA,NA,"protein_coding"
"LOC126304753","uncharacterized LOC126304753","Up_NA",2.49589295221439,0.0472962346132767,"Up",NA,NA,NA,"protein_coding"
"LOC126304746","protein aubergine-like","Up_NA",3.40295183649901,0.0013731408902629,"Up",NA,NA,NA,"protein_coding"
"LOC126304743","uncharacterized LOC126304743","Up_NA",2.77838752064482,0.00564723212577234,"Up",NA,NA,NA,"protein_coding"
"LOC126304754","LIM domain-containing protein B-like","Up_NA",2.77272032579851,0.022837969385687,"Up",NA,NA,NA,"protein_coding"
"LOC126304762","branchpoint-bridging protein-like","Up_NA",2.52501431685484,0.0405285627311257,"Up",NA,NA,NA,"protein_coding"
"LOC126304766","actin-related protein 2/3 complex subunit 5-like","Up_NA",2.95058381674363,0.0141568517178185,"Up",NA,NA,NA,"protein_coding"
"LOC126304718","protein phosphatase 2A scaffold subunit-like","Up_NA",2.36507634803381,0.0229925814242662,"Up",NA,NA,NA,"protein_coding"
"LOC126304696","cysteinylglycine-S-conjugate dipeptidase-like","Up_NA",2.24228636298387,0.0367536693794253,"Up",NA,NA,NA,"protein_coding"
"LOC126304695","uncharacterized LOC126304695","Up_NA",3.34577453099249,0.00265242904263533,"Up",NA,NA,NA,"protein_coding"
"LOC126304732","phosphatidate phosphatase LPIN3-like","Up_NA",2.38388933576501,0.0333538587987908,"Up",NA,NA,NA,"protein_coding"
"LOC126304706","uncharacterized LOC126304706","Up_NA",2.95945810318619,0.00568389034742576,"Up",NA,NA,NA,"protein_coding"
"LOC126304660","tetratricopeptide repeat protein 1-like","Up_NA",2.67463763870583,0.0393080248632908,"Up",NA,NA,NA,"protein_coding"
"LOC126304653","cyclic GMP-binding protein C-like","Up_NA",3.73383226664594,1.38884965260192e-05,"Up",NA,NA,NA,"protein_coding"
"LOC126304709","phosphatidylinositol-glycan biosynthesis class W protein-like","Up_NA",2.68137354769911,0.013534790677526,"Up",NA,NA,NA,"protein_coding"
"LOC126304714","BCAS3 microtubule associated cell migration factor-like","Up_NA",2.93659394844058,0.00621816077516657,"Up",NA,NA,NA,"protein_coding"
"LOC126304737","nuclear pore complex protein Nup205-like","Up_NA",3.00176687621407,0.00624286474991313,"Up",NA,NA,NA,"protein_coding"
"LOC126304666","uncharacterized LOC126304666","Up_NA",2.6216020538901,0.00630055387263013,"Up",NA,NA,NA,"protein_coding"
"LOC126304715","chromodomain-helicase-DNA-binding protein 8-like","Up_NA",2.79711642672446,0.0198005801236597,"Up",NA,NA,NA,"protein_coding"
"LOC126304652","rho-related protein racB-like","Up_NA",3.28468941566463,0.00277238865053272,"Up",NA,NA,NA,"protein_coding"
"LOC126304702","60S ribosomal protein L34-like","Up_NA",2.67213564240589,0.00606128419865988,"Up",NA,NA,NA,"protein_coding"
"LOC126304739","uncharacterized LOC126304739","Up_NA",2.69550621315261,0.0251833833089554,"Up",NA,NA,NA,"protein_coding"
"LOC126305013","SNW domain-containing protein 1-like","Up_NA",2.87400890472185,0.00507984584264322,"Up",NA,NA,NA,"protein_coding"
"LOC126305010","RNA-binding protein 5-like","Up_NA",3.33612034940699,0.00380630492278933,"Up",NA,NA,NA,"protein_coding"
