"GeneID","Description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneType"
"LOC126344004","keratinocyte proline-rich protein-like",464.721282312255,2.03000008891916,0.539490010614463,3.76281311790564,0.000168012752380829,0.0212155046444107,"protein_coding"
"LOC126344047","uncharacterized LOC126344047",5.63234196501615,3.86851320415597,1.1018884366412,3.51080297743031,0.000446755381603756,0.0442287827787719,"protein_coding"
"LOC126306122","uncharacterized LOC126306122",1467.5518436862,1.22961267623811,0.272842139495496,4.5066816970126,6.58493000820164e-06,0.00153099622690688,"protein_coding"
"LOC126307739","uncharacterized LOC126307739",32.5386968888274,1.95192179036016,0.509453581178229,3.83140262915788,0.000127414799142338,0.0171507025687648,"protein_coding"
"LOC126347864","uncharacterized LOC126347864",42.0046438139891,-1.81341749480058,0.430618101577517,-4.2111966221516,2.5402152626961e-05,0.00458583567130255,"protein_coding"
"LOC126349907","phosphoserine phosphatase",87.5963106908275,-1.49435550659141,0.24567184988858,-6.08272989872119,1.18153299690984e-09,9.06531191879074e-07,"protein_coding"
"LOC126351672","lipoyltransferase 1%2C mitochondrial-like",3935.83694017185,1.80337159546171,0.324099731201959,5.56424896982701,2.63283829563908e-08,1.15431153275948e-05,"protein_coding"
"LOC126352958","ornithine aminotransferase%2C mitochondrial",63.2930802093491,-3.34536538848732,0.363982668848805,-9.19100186574254,3.89199339208429e-20,1.49306596503834e-16,"protein_coding"
"LOC126353857","uncharacterized LOC126353857",109.074445965363,1.7955061041733,0.384963871661032,4.66408989608844,3.09985858097748e-06,0.000820126378018955,"lncRNA"
"LOC126354620","putative fatty acyl-CoA reductase CG5065",22.4177602905196,1.60716960393278,0.386654754604931,4.15660116626505,3.23017170060803e-05,0.00563261190293526,"protein_coding"
"LOC126355485","phosphatidate phosphatase LPIN2",406.077067002548,-1.5460090927108,0.332888615118915,-4.64422339033291,3.41358053683894e-06,0.000875082783674969,"protein_coding"
"LOC126361173","uncharacterized LOC126361173",34.2673180189658,1.58476495347296,0.382926816011402,4.13855830202754,3.49495064945107e-05,0.00602584468717153,"protein_coding"
"LOC126267711","hairy/enhancer-of-split related with YRPW motif protein",16.2456767812852,-2.20281600740905,0.476952958676307,-4.61851838286642,3.86489745555929e-06,0.000941378594532655,"protein_coding"
"LOC126266788","trifunctional purine biosynthetic protein adenosine-3-like",22.3056742736572,-2.66144376460417,0.469287484122445,-5.67124386362231,1.41764431848098e-08,7.01733937648086e-06,"protein_coding"
"LOC126267671","peptidoglycan-recognition protein SD-like",35.8229386526808,1.24437364088085,0.311852474437079,3.99026380382921,6.59998461016081e-05,0.0104409034889606,"protein_coding"
"LOC126269845","protein henna",250.420012027645,-1.85858262382224,0.348485083624674,-5.33332045231519,9.64329107119642e-08,3.52324527351212e-05,"protein_coding"
