"GeneID","INFECT_baseMean","INFECT_log2FoldChange","INFECT_lfcSE","INFECT_stat","INFECT_pvalue","INFECT_padj","DIET33_baseMean","DIET33_log2FoldChange","DIET33_lfcSE","DIET33_stat","DIET33_pvalue","DIET33_padj","DIET83_baseMean","DIET83_log2FoldChange","DIET83_lfcSE","DIET83_stat","DIET83_pvalue","DIET83_padj","INT33_baseMean","INT33_log2FoldChange","INT33_lfcSE","INT33_stat","INT33_pvalue","INT33_padj","INT83_baseMean","INT83_log2FoldChange","INT83_lfcSE","INT83_stat","INT83_pvalue","INT83_padj","Description.x","GeneType.y","Description.y"
"LOC126266665",8.90217336825527,1.69659027417356,0.541897907717136,3.1308300881264,0.00174312981284856,0.01403314234659,8.90217336825527,1.42376060158039,0.570382088213546,2.49615237049195,0.0125548659473051,0.485241074020982,8.90217336825527,1.85073460216216,0.571974751094726,3.23569283193002,0.00121347890649542,0.0314356684634402,8.90217336825527,-1.9919124050757,0.72293332753788,-2.75531965286429,0.00586348196570149,0.18659255498586,8.90217336825527,-2.9010993658497,0.794093899007643,-3.65334549160385,0.00025884557144797,0.0911256804785899,NA,"protein_coding","uncharacterized LOC126266665"
"LOC126266674",1.26740937227825,21.1160891966594,5.15227674331748,4.09839964905748,4.16016530117022e-05,0.00101523111377651,1.26740937227825,-29.7128206366222,5.54160873183081,-5.36176804868102,8.24113185668804e-08,0.000690730466568308,1.26740937227825,27.1385243954823,5.52344307607257,4.91333467580136,8.95402383826619e-07,NA,1.26740937227825,-19.1520626706919,7.1434480336252,-2.68106698341479,0.00733878244510653,NA,1.26740937227825,-21.0395537697172,7.46054968521169,-2.82010772093936,0.0048007530691016,0.182479559936336,NA,"protein_coding","activator of 90 kDa heat shock protein ATPase homolog 1-like"
"LOC126266677",35.228054095524,3.14515801095581,1.22375107571013,2.57009621759124,0.010167027235645,0.0480695131556536,35.228054095524,1.49548206157871,1.3201233576266,1.13283508918998,0.257283512954384,0.99963106982354,35.228054095524,4.26610797290581,1.31687965373216,3.23955796629955,0.00119715130264265,0.0314118554419614,35.228054095524,-4.56657790121445,1.69919340012885,-2.6874974331163,0.0071989655597378,0.193746013944319,35.228054095524,-4.32305249683362,1.76956526500523,-2.44300257375409,0.0145656334052485,0.26268739828398,NA,"protein_coding","lachesin-like"
"LOC126267114",81.3556382613465,25.0439694583719,2.52288512551831,9.9267181073997,3.18568365576692e-23,4.71895319928753e-19,81.3556382613465,12.2690726311216,2.80151927855841,4.37943537459252,1.18987200664383e-05,0.0307674849109339,81.3556382613465,13.2393507330726,2.80948826104284,4.71237090279151,2.44851197336821e-06,0.0016849521858588,81.3556382613465,-18.3560426226081,3.49036974319093,-5.25905390350616,1.44798443854637e-07,0.00200372086606047,81.3556382613465,-15.5054849673488,3.65370372301647,-4.24377183888012,2.1979382988984e-05,0.0431267695091755,NA,"protein_coding","juvenile hormone acid O-methyltransferase-like"
"LOC126267171",3.93539951701862,1.59288845161124,0.616581581587067,2.58341880325258,0.00978264911206992,0.0466700100795787,3.93539951701862,1.21827416009917,0.630304771987785,1.932833470794,0.0532567156627878,0.701740787222794,3.93539951701862,2.00001226211597,0.620085405892935,3.22538192821344,0.00125804715967057,0.0320754552238271,3.93539951701862,-1.21860831805578,0.768742752345866,-1.58519649692582,0.112921696192848,0.614233660344588,3.93539951701862,-1.84596208218054,0.81087561934282,-2.27650460581934,0.0228158252520019,0.310319822699735,NA,"protein_coding","LETM1 domain-containing protein 1-like"
"LOC126267545",74.8634474181111,7.32497910083517,1.18110519776638,6.2018007495756,5.58207229358892e-10,1.11739509303963e-07,74.8634474181111,1.19286440645631,1.29187166429017,0.923361382890726,0.355818909192875,0.99963106982354,74.8634474181111,5.22349993273664,1.26137175053002,4.14112646057101,3.45604341541327e-05,0.00457857986985093,74.8634474181111,-3.35657050092625,1.60508354204349,-2.09121233443892,0.0365090341315022,0.381408543392615,74.8634474181111,-5.80216515388092,1.64901696881716,-3.51856000489965,0.000433895678905235,0.0995198907161736,NA,"protein_coding","serine protease Hayan-like"
"LOC126268174",48.6864319417049,3.11179741287023,0.984576840788787,3.16054297029497,0.00157475375197381,0.0130463240089418,48.6864319417049,-0.135523948747949,1.11138076396358,-0.121941960075521,0.902944984239777,0.99963106982354,48.6864319417049,3.7239327910283,1.06544006124828,3.49520627811319,0.000473695505254177,0.0176824512776235,48.6864319417049,-3.06416549595678,1.41204324437625,-2.1700224183363,0.0300051476716116,0.35217237784543,48.6864319417049,-5.77362401850568,1.42294333146336,-4.05752210284304,4.95961247351674e-05,0.0625655113534137,NA,"protein_coding","sodium-coupled monocarboxylate transporter 1-like"
"LOC126270657",129.248126045581,2.98559370098025,0.630943813960279,4.73194860607383,2.22374722760285e-06,0.000101982562484461,129.248126045581,1.65286854763902,0.678835426438,2.43485900008488,0.0148975935837696,0.499713756720443,129.248126045581,2.50920341793806,0.67991101662882,3.69048795587893,0.000223824286884889,0.0116024015874716,129.248126045581,-2.38288996679042,0.870376203435044,-2.73777012444281,0.00618572968392184,0.189796291277407,129.248126045581,-2.01482576517585,0.914544133823838,-2.20309298442666,0.0275881955711248,0.334106904334254,NA,"protein_coding","cytochrome P450 18a1"
"LOC126271434",6.07865419808415,5.90809669473253,1.33795956659252,4.4157512994052,1.00659762899039e-05,0.000350017152071236,6.07865419808415,5.606249831572,1.40235136499825,3.99774975908337,6.39475024478819e-05,0.0893293319611538,6.07865419808415,5.36819453103099,1.41296694699839,3.79923574463991,0.000145142980424553,0.00930871235627469,6.07865419808415,-6.52175564910307,1.68491928162881,-3.87066355059959,0.000108539508385348,0.0596821295241569,6.07865419808415,-5.53389235237896,1.76464725357615,-3.13597651947959,0.0017128291660413,0.14091743432355,NA,"protein_coding","23 kDa integral membrane protein-like"
"LOC126273038",10.6229814088621,-23.2798267672163,5.10754982897088,-4.55792455223232,5.16615876716045e-06,0.000201604566570747,10.6229814088621,-25.3326546597037,5.48560496688544,-4.61802386657943,3.87411704151656e-06,0.0129883647933884,10.6229814088621,-9.22821272868796,5.50185736950055,-1.67729043283535,0.0934857024820832,0.483827000245266,10.6229814088621,-3.15635148984474,7.11259859859188,-0.443769101558693,0.65720952982119,0.966133265948887,10.6229814088621,-1.64966434685574,7.4832427356276,-0.220447793174169,0.825522427202462,0.978064360605567,NA,"protein_coding","uncharacterized LOC126273038"
"LOC126273306",447.70398677079,1.77203407489076,0.321233393824301,5.5163445300459,3.46123402139252e-08,3.46427429451942e-06,447.70398677079,0.0529827485333199,0.346084901633505,0.153091765295867,0.878325909671367,0.99963106982354,447.70398677079,1.3100347189569,0.346051577226406,3.785663193495,0.00015329919050776,0.0094563251821795,447.70398677079,-0.147793790948583,0.444994619031699,-0.332124894611489,0.739794952877388,0.978171440639393,447.70398677079,-1.00427431647969,0.467410869047001,-2.14858999433901,0.0316669155358162,0.348724661782072,NA,"protein_coding","uncharacterized LOC126273306"
"LOC126277228",54.1010022022101,-1.37229917849759,0.267370376959054,-5.13257749084054,2.85800997284935e-07,1.98759163041397e-05,54.1010022022101,-0.401298097877804,0.278136881626227,-1.44280792799384,0.149074585237146,0.94714390225113,54.1010022022101,-0.867013423271146,0.28402216815567,-3.05262588797626,0.00226848557614651,0.0474652373985821,54.1010022022101,0.626014278436158,0.368947410273481,1.69675748088902,0.089742520401647,0.562586030512815,54.1010022022101,0.85599015668478,0.402298190719248,2.12775045086432,0.0333577795294621,0.355612722899294,NA,"protein_coding","major facilitator superfamily domain-containing protein 6"
