"gene_id","n_deg_contrasts","has_infection_deg","comparison_types","comparisons","directions","max_abs_log2FC","min_padj","deg_priority_score","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class","label"
"LOC126279018",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 50; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.22265614012578,4.93566117690777e-25,72.5293108015094,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126279018 | unannotated | no description"
"LOC126299510",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",5.30903586576594,1.28231970642746e-13,63.2010395492982,"unannotated","Trypsin-like serine protease",NA,"ko:K01312","ko04080,ko04972,ko04974,ko05164,map04080,map04972,map04974,map05164","Trypsin",2,"Head + Thorax","Gregarious-up",1.52910129010426,1.90667013779666,1.15153244241187,1.90667013779666,0.0187359829127384,0.00259028624176625,"Gregarious-up","Shared head/thorax phase DEG","LOC126299510 | unannotated | Trypsin-like serine protease"
"LOC126336866",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",3.29855544239807,2.26565840895666e-13,60.9433610100781,"Men","Malic enzyme, NAD binding domain","GO:0003674,GO:0003824,GO:0004470,GO:0004473,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0006082,GO:0006090,GO:0006108,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008340,GO:0009987,GO:0010259,GO:0010941,GO:0016491,GO:0016614,GO:0016615,GO:0016616,GO:0019752,GO:0030431,GO:0032501,GO:0032502,GO:0032787,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0044237,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0048856,GO:0050789,GO:0050794,GO:0055114,GO:0065007,GO:0071704","ko:K00029","ko00620,ko00710,ko01100,ko01120,ko01200,map00620,map00710,map01100,map01120,map01200","Malic_M,malic",2,"Head + Thorax","Solitarious-up",-1.74176151639898,2.02140548077703,-1.46211755202092,-2.02140548077703,0.000417311168114864,0.000569118966179347,"Solitarious-up","Shared head/thorax phase DEG","LOC126336866 | Men | Malic enzyme, NAD binding domain"
"LOC126294950",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",5.01977701493204,6.01391984696414e-13,62.2406193793706,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126294950 | unannotated | no description"
"LOC126272290",4,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.90714867119163,1.03525399158293e-09,57.892101757524,"unannotated","Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process",NA,"ko:K01435","ko00780,ko01100,ko04977,map00780,map01100,map04977","CN_hydrolase",2,"Head + Thorax","Gregarious-up",1.45828513072184,1.61923976116,1.29733050028369,1.61923976116,0.0320035907219217,2.57378217599457e-06,"Gregarious-up","Shared head/thorax phase DEG","LOC126272290 | unannotated | Hydrolase activity, acting on carbon-nitr..."
"LOC126344004",4,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",2.68441006403255,1.38633623411659e-09,56.5425414896644,"unannotated","no description",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-1.72220981618392,1.9077126328617,-1.53670699950614,-1.9077126328617,5.25465297817638e-06,1.45147608126594e-09,"Solitarious-up","Shared head/thorax phase DEG","LOC126344004 | unannotated | no description"
"LOC126273306",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.77500908501439,7.90107435057094e-08,53.8773229364073,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126273306 | unannotated | no description"
"LOC126295405",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 50: infected vs control; Infected 83 vs 33","Downregulated; Upregulated",2.55963638356242,1.09609781872194e-07,54.5197870700751,"unannotated","Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family",NA,"ko:K00058","ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230","2-Hacid_dh,2-Hacid_dh_C",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126295405 | unannotated | Belongs to the D-isomer specific 2-hydrox..."
"LOC126267263",4,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated",2.30788656095511,1.52475271885416e-06,53.1246871445149,"unannotated","Belongs to the DapA family",NA,"ko:K01639","ko00520,map00520","DHDPS",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126267263 | unannotated | Belongs to the DapA family"
"LOC126293368",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated; Upregulated",1.62749197446602,1.01866351872448e-05,51.6194612213658,"unannotated","O-phospho-L-serine 2-oxoglutarate aminotransferase activity. It is involved in the biological process described with L-serine biosynthetic process","GO:0003674,GO:0003824,GO:0004648,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006563,GO:0006564,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009987,GO:0016053,GO:0016740,GO:0016769,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","ko:K00831","ko00260,ko00680,ko00750,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map00750,map01100,map01120,map01130,map01200,map01230","Aminotran_5",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126293368 | unannotated | O-phospho-L-serine 2-oxoglutarate aminotr..."
