"scenario","comparison_type","comparison","phase_class","phase_shift","direction","n_genes"
"All samples","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Mixed head/thorax phase signal","Upregulated",1
"All samples","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",27
"All samples","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",3
"All samples","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",9
"All samples","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",7
"All samples","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",52
"All samples","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",14
"All samples","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Downregulated",6
"All samples","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",14
"All samples","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more gregarious-like","Downregulated",5
"All samples","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more gregarious-like","Upregulated",18
"All samples","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more solitarious-like","Downregulated",10
"All samples","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more solitarious-like","Upregulated",18
"All samples","Infection within diet","Diet 50: infected vs control","No phase DEG","Not phase-associated","Downregulated",199
"All samples","Infection within diet","Diet 50: infected vs control","No phase DEG","Not phase-associated","Upregulated",277
"All samples","Infection within diet","Diet 50: infected vs control","No phase reference","Not phase-associated","Downregulated",199
"All samples","Infection within diet","Diet 50: infected vs control","No phase reference","Not phase-associated","Upregulated",406
"All samples","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Mixed head/thorax phase signal","Upregulated",2
"All samples","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",29
"All samples","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",16
"All samples","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",7
"All samples","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",10
"All samples","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",59
