"scenario","comparison_type","comparison","phase_class","phase_shift","direction","n_genes"
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","No phase reference","Not phase-associated","Downregulated",153
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","No phase reference","Not phase-associated","Upregulated",2053
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Mixed head/thorax phase signal","Upregulated",2
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",19
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",15
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",5
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",11
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",49
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",21
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Downregulated",14
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",29
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more gregarious-like","Downregulated",3
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more gregarious-like","Upregulated",8
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more solitarious-like","Downregulated",1
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more solitarious-like","Upregulated",11
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","No phase DEG","Not phase-associated","Downregulated",74
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","No phase DEG","Not phase-associated","Upregulated",140
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","No phase reference","Not phase-associated","Downregulated",58
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","No phase reference","Not phase-associated","Upregulated",154
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",14
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",5
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",2
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",4
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",25
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",9
"Expanded outlier set","Infection within diet","Diet 83: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",11
