"gene_id","vst_variance","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class","label"
"LOC126320555",7.32307453492797,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126320555 | unannotated | no description"
"LOC126281303",7.29171152527602,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126281303 | unannotated | no description"
"LOC126284107",7.26709491917971,"unannotated","no description",NA,NA,NA,NA,1,"Head","Gregarious-up",1.14536007540481,1.14536007540481,1.14536007540481,NA,0.0258576023175393,NA,"Gregarious-up","Head phase DEG only","LOC126284107 | unannotated | no description"
"LOC126320380",7.25448693199946,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126320380 | unannotated | no description"
"LOC126284938",7.24647483082168,"unannotated","Converts alpha-aldose to the beta-anomer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126284938 | unannotated | Converts alpha-aldose to the beta-anomer"
"LOC126358175",7.23538907956404,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126358175 | unannotated | no description"
"LOC126335254",7.23425480231177,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126335254 | unannotated | no description"
"LOC126335117",7.13042132176967,"unannotated","Belongs to the type-B carboxylesterase lipase family",NA,NA,NA,"COesterase",2,"Head + Thorax","Solitarious-up",-1.66191123568891,1.68981454258767,-1.63400792879015,-1.68981454258767,4.52574954180546e-15,1.70197650079421e-32,"Solitarious-up","Shared head/thorax phase DEG","LOC126335117 | unannotated | Belongs to the type-B carboxylesterase ..."
"LOC126334999",7.02815764145546,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126334999 | unannotated | no description"
"LOC126272290",7.01799241974472,"unannotated","Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process",NA,"ko:K01435","ko00780,ko01100,ko04977,map00780,map01100,map04977","CN_hydrolase",2,"Head + Thorax","Gregarious-up",1.45828513072184,1.61923976116,1.29733050028369,1.61923976116,0.0320035907219217,2.57378217599457e-06,"Gregarious-up","Shared head/thorax phase DEG","LOC126272290 | unannotated | Hydrolase activity, acting on carbon-ni..."
"LOC126326071",7.01577309708366,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126326071 | unannotated | no description"
"LOC126281915",6.85680570736827,"unannotated","no description",NA,NA,NA,NA,1,"Thorax","Solitarious-up",-2.13924058234921,2.13924058234921,NA,-2.13924058234921,NA,4.20804657570496e-07,"Solitarious-up","Thorax phase DEG only","LOC126281915 | unannotated | no description"
"LOC126295285",6.79021275369229,"unannotated","Lipocalin-like domain","GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006979,GO:0007275,GO:0007568,GO:0008150,GO:0008340,GO:0010259,GO:0032501,GO:0032502,GO:0033500,GO:0042592,GO:0044421,GO:0048856,GO:0048878,GO:0050896,GO:0055088,GO:0055090,GO:0065007,GO:0065008,GO:0070328","ko:K03098",NA,"Lipocalin,Lipocalin_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126295285 | unannotated | Lipocalin-like domain"
