"gene_id","n_deg_contrasts","has_infection_deg","comparison_types","comparisons","directions","max_abs_log2FC","min_padj","deg_priority_score","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class","DEG_context"
"LOC126278485",3,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Infected 33 vs 50","Downregulated",8.30043620367138,2.82084036021354e-16,58.8500576948433,"unannotated","Pyridoxal-dependent decarboxylase, pyridoxal binding domain",NA,"ko:K01581","ko00330,ko00480,ko01100,ko01110,ko01130,map00330,map00480,map01100,map01110,map01130","Orn_Arg_deC_N,Orn_DAP_Arg_deC",2,"Head + Thorax","Solitarious-up",-2.61110903340902,2.76200928087785,-2.46020878594018,-2.76200928087785,0.00303034245446553,0.000138399167360275,"Solitarious-up","Shared head/thorax phase DEG","Infection and diet DEGs"
"LOC126299510",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",5.30903586576594,1.28231970642746e-13,63.2010395492982,"unannotated","Trypsin-like serine protease",NA,"ko:K01312","ko04080,ko04972,ko04974,ko05164,map04080,map04972,map04974,map05164","Trypsin",2,"Head + Thorax","Gregarious-up",1.52910129010426,1.90667013779666,1.15153244241187,1.90667013779666,0.0187359829127384,0.00259028624176625,"Gregarious-up","Shared head/thorax phase DEG","Infection and diet DEGs"
"LOC126336866",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",3.29855544239807,2.26565840895666e-13,60.9433610100781,"Men","Malic enzyme, NAD binding domain","GO:0003674,GO:0003824,GO:0004470,GO:0004473,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0006082,GO:0006090,GO:0006108,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008340,GO:0009987,GO:0010259,GO:0010941,GO:0016491,GO:0016614,GO:0016615,GO:0016616,GO:0019752,GO:0030431,GO:0032501,GO:0032502,GO:0032787,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0044237,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0048856,GO:0050789,GO:0050794,GO:0055114,GO:0065007,GO:0071704","ko:K00029","ko00620,ko00710,ko01100,ko01120,ko01200,map00620,map00710,map01100,map01120,map01200","Malic_M,malic",2,"Head + Thorax","Solitarious-up",-1.74176151639898,2.02140548077703,-1.46211755202092,-2.02140548077703,0.000417311168114864,0.000569118966179347,"Solitarious-up","Shared head/thorax phase DEG","Infection and diet DEGs"
"LOC126272290",4,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.90714867119163,1.03525399158293e-09,57.892101757524,"unannotated","Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process",NA,"ko:K01435","ko00780,ko01100,ko04977,map00780,map01100,map04977","CN_hydrolase",2,"Head + Thorax","Gregarious-up",1.45828513072184,1.61923976116,1.29733050028369,1.61923976116,0.0320035907219217,2.57378217599457e-06,"Gregarious-up","Shared head/thorax phase DEG","Infection and diet DEGs"
"LOC126344004",4,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",2.68441006403255,1.38633623411659e-09,56.5425414896644,"unannotated","no description",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-1.72220981618392,1.9077126328617,-1.53670699950614,-1.9077126328617,5.25465297817638e-06,1.45147608126594e-09,"Solitarious-up","Shared head/thorax phase DEG","Infection and diet DEGs"
"LOC126335467",2,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 50; Diet 50: infected vs control","Upregulated",2.46485905064373,2.85161569225132e-09,36.0097680547026,"unannotated","Belongs to the serpin family",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-1.16231037188387,1.22408506327823,-1.10053568048951,-1.22408506327823,0.0158322485398516,5.84623532277046e-09,"Solitarious-up","Shared head/thorax phase DEG","Infection and diet DEGs"
"LOC126284936",3,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",4.42005065854442,4.99077617121608e-09,47.721882565694,"unannotated","no description",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-1.15504884178501,1.19866508280783,-1.19866508280783,-1.11143260076218,9.26998030788261e-05,0.0312185534826008,"Solitarious-up","Shared head/thorax phase DEG","Infection and diet DEGs"
"LOC126354934",3,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Infected 33 vs 50","Upregulated",3.55534350717999,0.00833001575396601,40.6346976844222,"unannotated","no description",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-1.59922751186293,1.90044097256134,-1.29801405116452,-1.90044097256134,0.00117061699255237,2.52510956435226e-06,"Solitarious-up","Shared head/thorax phase DEG","Infection and diet DEGs"
"LOC126278162",2,TRUE,"Diet contrasts among infected; Infection within diet","Diet 83: infected vs control; Infected 33 vs 50","Downregulated",2.65561924661388,0.012595386220532,29.555407757521,"unannotated","no description",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-2.35024574734997,2.9604226127911,-1.74006888190885,-2.9604226127911,0.00080487723448211,7.84713355284724e-06,"Solitarious-up","Shared head/thorax phase DEG","Infection and diet DEGs"
"LOC126337066",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.36505612431798,1.04488507596896e-05,53.3459875980979,"unannotated","Major Facilitator Superfamily",NA,NA,NA,"MFS_1",1,"Head","Solitarious-up",-1.12344455475575,1.12344455475575,-1.12344455475575,NA,0.00212214076931766,NA,"Solitarious-up","Head phase DEG only","Infection and diet DEGs"
