"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"All samples","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Higher in solitarious/isolated reference",14,133,2,14.2857142857143,1.50375939849624,0.0137931034482759,"LOC126268018;LOC126295405"
"All samples","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Higher in solitarious/isolated reference",10,133,0,0,0,0,""
"All samples","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Higher in gregarious/crowded reference",14,241,0,0,0,0,""
"All samples","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Any large single-pair shift",1,374,1,100,0.267379679144385,0.00267379679144385,"LOC126350918"
"All samples","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Higher in gregarious/crowded reference",1,241,1,100,0.4149377593361,0.004149377593361,"LOC126350918"
"All samples","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Top absolute single-pair shifts",1,500,1,100,0.2,0.002,"LOC126350918"
"All samples","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Higher in solitarious/isolated reference",1,133,0,0,0,0,""
"All samples","Infection within diet","Diet 33: infected vs control","Upregulated","Top absolute single-pair shifts",457,500,50,10.9409190371991,10,0.0551267916207277,"LOC126266748;LOC126267473;LOC126267478;LOC126271895;LOC126272144;LOC126272274;LOC126272290;LOC126272321;LOC126273757;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278521;LOC126278962;LOC126279018;LOC126281635;LOC126281729;LOC126281818;LOC126282035;LOC126284305;LOC126284371;LOC126284880;LOC126285340;LOC126294945;LOC126294994;LOC126295425;LOC126297535;LOC126298455;LOC126305117;LOC126321085;LOC126322901;LOC126323780;LOC126334632;LOC126334999;LOC126335036;LOC126335043;LOC126335117;LOC126336578;LOC126337043;LOC126339239;LOC126349825;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126361845;LOC126365992"
"All samples","Infection within diet","Diet 33: infected vs control","Downregulated","Top absolute single-pair shifts",441,500,44,9.97732426303855,8.8,0.0490523968784838,"LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281398;LOC126281565;LOC126281715;LOC126281862;LOC126281958;LOC126284088;LOC126284898;LOC126291424;LOC126291919;LOC126292317;LOC126293286;LOC126293292;LOC126293507;LOC126293692;LOC126293721;LOC126295285;LOC126297443;LOC126299109;LOC126299150;LOC126299171;LOC126306122;LOC126326589;LOC126327089;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126336535;LOC126336542;LOC126336735;LOC126336866;LOC126337056;LOC126344004;LOC126354081;LOC126354174;LOC126354185;LOC126355184;LOC126355885"
"All samples","Infection within diet","Diet 33: infected vs control","Upregulated","Any large single-pair shift",457,374,37,8.09628008752735,9.89304812834225,0.0465994962216625,"LOC126266748;LOC126267478;LOC126271895;LOC126272144;LOC126272274;LOC126272290;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281635;LOC126282035;LOC126284305;LOC126284371;LOC126284880;LOC126295425;LOC126298455;LOC126305117;LOC126321085;LOC126323780;LOC126334632;LOC126334999;LOC126335043;LOC126335117;LOC126336578;LOC126337043;LOC126339239;LOC126349825;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126361845"
