"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Higher in solitarious/isolated reference",14,133,2,14.2857142857143,1.50375939849624,0.0137931034482759,"LOC126268018;LOC126295405"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Higher in solitarious/isolated reference",10,133,0,0,0,0,""
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Higher in gregarious/crowded reference",14,241,0,0,0,0,""
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Any large single-pair shift",1,374,1,100,0.267379679144385,0.00267379679144385,"LOC126350918"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Higher in gregarious/crowded reference",1,241,1,100,0.4149377593361,0.004149377593361,"LOC126350918"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Top absolute single-pair shifts",1,500,1,100,0.2,0.002,"LOC126350918"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Higher in solitarious/isolated reference",1,133,0,0,0,0,""
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Downregulated","Top absolute single-pair shifts",386,500,45,11.6580310880829,9,0.0535077288941736,"LOC126267253;LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281398;LOC126281485;LOC126281565;LOC126281715;LOC126281862;LOC126281958;LOC126284088;LOC126284898;LOC126291424;LOC126291731;LOC126291919;LOC126291976;LOC126292317;LOC126293286;LOC126293292;LOC126293692;LOC126295285;LOC126295405;LOC126299171;LOC126306122;LOC126326589;LOC126327089;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126336535;LOC126336542;LOC126336735;LOC126336866;LOC126337056;LOC126344004;LOC126354065;LOC126354081;LOC126354174;LOC126354185;LOC126355184;LOC126355885"
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Downregulated","Any large single-pair shift",386,374,37,9.58549222797927,9.89304812834225,0.0511756569847856,"LOC126267253;LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281398;LOC126281485;LOC126281565;LOC126281715;LOC126281958;LOC126284088;LOC126284898;LOC126291424;LOC126291731;LOC126291919;LOC126291976;LOC126292317;LOC126293292;LOC126293692;LOC126295285;LOC126295405;LOC126299171;LOC126326589;LOC126327089;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126336866;LOC126337056;LOC126354065;LOC126354081;LOC126354174;LOC126354185;LOC126355184"
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Upregulated","Top absolute single-pair shifts",417,500,37,8.87290167865707,7.4,0.0420454545454545,"LOC126266748;LOC126267473;LOC126267478;LOC126272144;LOC126272274;LOC126272290;LOC126272321;LOC126273757;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281635;LOC126281818;LOC126282035;LOC126284305;LOC126284880;LOC126285340;LOC126294945;LOC126297535;LOC126321085;LOC126322901;LOC126334632;LOC126334999;LOC126335036;LOC126335117;LOC126336578;LOC126337043;LOC126349825;LOC126354672;LOC126354704;LOC126355597;LOC126356328;LOC126361845;LOC126365992"
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Upregulated","Any large single-pair shift",417,374,27,6.47482014388489,7.2192513368984,0.0353403141361257,"LOC126266748;LOC126267478;LOC126272144;LOC126272274;LOC126272290;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281635;LOC126282035;LOC126284305;LOC126284880;LOC126321085;LOC126334632;LOC126334999;LOC126335117;LOC126336578;LOC126337043;LOC126349825;LOC126354672;LOC126354704;LOC126355597;LOC126356328;LOC126361845"
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Downregulated","Higher in gregarious/crowded reference",386,241,24,6.21761658031088,9.95850622406639,0.0398009950248756,"LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281485;LOC126281565;LOC126281715;LOC126281958;LOC126284898;LOC126291424;LOC126291919;LOC126291976;LOC126292317;LOC126293292;LOC126293692;LOC126295285;LOC126299171;LOC126327089;LOC126336866;LOC126354065;LOC126354174;LOC126355184"
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Upregulated","Higher in solitarious/isolated reference",417,133,14,3.35731414868106,10.5263157894737,0.0261194029850746,"LOC126266748;LOC126267478;LOC126272290;LOC126281635;LOC126282035;LOC126284305;LOC126284880;LOC126321085;LOC126334632;LOC126334999;LOC126335117;LOC126336578;LOC126349825;LOC126355597"
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Downregulated","Higher in solitarious/isolated reference",386,133,13,3.36787564766839,9.77443609022556,0.0256916996047431,"LOC126267253;LOC126281398;LOC126284088;LOC126291731;LOC126295405;LOC126326589;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126337056;LOC126354081;LOC126354185"
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Upregulated","Higher in gregarious/crowded reference",417,241,13,3.11750599520384,5.3941908713693,0.0201550387596899,"LOC126272144;LOC126272274;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126337043;LOC126354672;LOC126354704;LOC126356328;LOC126361845"
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Upregulated","Top absolute single-pair shifts",2453,500,71,2.89441500203832,14.2,0.0246356696738376,"LOC126266665;LOC126266748;LOC126267473;LOC126267936;LOC126271895;LOC126272096;LOC126272290;LOC126272321;LOC126272465;LOC126272716;LOC126272724;LOC126273757;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278180;LOC126278308;LOC126278962;LOC126279018;LOC126281231;LOC126281635;LOC126281729;LOC126281818;LOC126282035;LOC126284221;LOC126284305;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284872;LOC126284880;LOC126285233;LOC126285340;LOC126294945;LOC126295087;LOC126295210;LOC126295425;LOC126297535;LOC126298001;LOC126298220;LOC126298354;LOC126299253;LOC126321085;LOC126322901;LOC126323780;LOC126334632;LOC126334737;LOC126334999;LOC126335036;LOC126335117;LOC126336036;LOC126336415;LOC126336578;LOC126336607;LOC126339239;LOC126339265;LOC126349825;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126355083;LOC126355597;LOC126356065;LOC126356328;LOC126356364;LOC126361845;LOC126365992"
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Upregulated","Any large single-pair shift",2453,374,53,2.16061964940889,14.1711229946524,0.0191059841384283,"LOC126266665;LOC126266748;LOC126271895;LOC126272096;LOC126272290;LOC126272465;LOC126272716;LOC126272724;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278180;LOC126278308;LOC126278962;LOC126279018;LOC126281635;LOC126282035;LOC126284305;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284872;LOC126284880;LOC126285233;LOC126295210;LOC126295425;LOC126298001;LOC126298220;LOC126299253;LOC126321085;LOC126323780;LOC126334632;LOC126334999;LOC126335117;LOC126336415;LOC126336578;LOC126336607;LOC126339239;LOC126339265;LOC126349825;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126355083;LOC126355597;LOC126356065;LOC126356328;LOC126356364;LOC126361845"
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Downregulated","Top absolute single-pair shifts",432,500,40,9.25925925925926,8,0.0448430493273543,"LOC126266713;LOC126268728;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281302;LOC126281715;LOC126281862;LOC126282020;LOC126284187;LOC126285102;LOC126291919;LOC126293286;LOC126295285;LOC126299062;LOC126299150;LOC126299171;LOC126306122;LOC126326589;LOC126327089;LOC126333672;LOC126335883;LOC126336399;LOC126336529;LOC126336534;LOC126336535;LOC126336866;LOC126336910;LOC126337056;LOC126337066;LOC126344004;LOC126353877;LOC126354065;LOC126354185;LOC126355146;LOC126355150;LOC126356321;LOC126356808"
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Upregulated","Higher in gregarious/crowded reference",2453,241,34,1.38605788830004,14.1078838174274,0.012781954887218,"LOC126266665;LOC126271895;LOC126272096;LOC126272465;LOC126272716;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284872;LOC126295425;LOC126298001;LOC126298220;LOC126299253;LOC126323780;LOC126336607;LOC126339239;LOC126339265;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126355083;LOC126356065;LOC126356328;LOC126361845"
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Downregulated","Any large single-pair shift",432,374,30,6.94444444444444,8.02139037433155,0.038659793814433,"LOC126268728;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281302;LOC126281715;LOC126282020;LOC126291919;LOC126295285;LOC126299062;LOC126299150;LOC126299171;LOC126326589;LOC126327089;LOC126333672;LOC126336399;LOC126336529;LOC126336534;LOC126336866;LOC126336910;LOC126337056;LOC126337066;LOC126353877;LOC126354065;LOC126354185;LOC126355146;LOC126355150;LOC126356321"
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Downregulated","Higher in gregarious/crowded reference",432,241,20,4.62962962962963,8.29875518672199,0.0306278713629403,"LOC126268728;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281715;LOC126291919;LOC126295285;LOC126299062;LOC126299150;LOC126299171;LOC126327089;LOC126333672;LOC126336866;LOC126337066;LOC126353877;LOC126354065;LOC126355150;LOC126356321"
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Upregulated","Higher in solitarious/isolated reference",2453,133,19,0.774561761108846,14.2857142857143,0.0074016361511492,"LOC126266748;LOC126272290;LOC126272724;LOC126278180;LOC126281635;LOC126282035;LOC126284305;LOC126284880;LOC126285233;LOC126295210;LOC126321085;LOC126334632;LOC126334999;LOC126335117;LOC126336415;LOC126336578;LOC126349825;LOC126355597;LOC126356364"
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Downregulated","Higher in solitarious/isolated reference",432,133,10,2.31481481481481,7.5187969924812,0.018018018018018,"LOC126281302;LOC126282020;LOC126326589;LOC126336399;LOC126336529;LOC126336534;LOC126336910;LOC126337056;LOC126354185;LOC126355146"
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Upregulated","Top absolute single-pair shifts",342,500,33,9.64912280701754,6.6,0.0407911001236094,"LOC126267936;LOC126271895;LOC126272290;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281729;LOC126284371;LOC126284502;LOC126284857;LOC126284880;LOC126285233;LOC126292260;LOC126293693;LOC126305117;LOC126330722;LOC126334632;LOC126335036;LOC126335117;LOC126336415;LOC126336578;LOC126337066;LOC126339239;LOC126349825;LOC126353997;LOC126354672;LOC126354704;LOC126355597;LOC126356328"
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Upregulated","Any large single-pair shift",342,374,28,8.18713450292398,7.48663101604278,0.0406976744186047,"LOC126271895;LOC126272290;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126284371;LOC126284502;LOC126284880;LOC126285233;LOC126292260;LOC126305117;LOC126330722;LOC126334632;LOC126335117;LOC126336415;LOC126336578;LOC126337066;LOC126339239;LOC126349825;LOC126353997;LOC126354672;LOC126354704;LOC126355597;LOC126356328"
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Downregulated","Top absolute single-pair shifts",177,500,21,11.864406779661,4.2,0.0320121951219512,"LOC126267104;LOC126281302;LOC126281398;LOC126281520;LOC126281958;LOC126284086;LOC126284088;LOC126284552;LOC126284612;LOC126293692;LOC126298779;LOC126335106;LOC126335184;LOC126336399;LOC126336866;LOC126336910;LOC126337056;LOC126344004;LOC126354081;LOC126354185;LOC126365627"
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Downregulated","Any large single-pair shift",177,374,18,10.1694915254237,4.81283422459893,0.0337711069418387,"LOC126267104;LOC126281302;LOC126281398;LOC126281520;LOC126281958;LOC126284086;LOC126284088;LOC126284612;LOC126293692;LOC126298779;LOC126335106;LOC126336399;LOC126336866;LOC126336910;LOC126337056;LOC126354081;LOC126354185;LOC126365627"
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Upregulated","Higher in gregarious/crowded reference",342,241,17,4.97076023391813,7.05394190871369,0.0300353356890459,"LOC126271895;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126284371;LOC126284502;LOC126330722;LOC126337066;LOC126339239;LOC126353997;LOC126354672;LOC126354704;LOC126356328"
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Downregulated","Higher in solitarious/isolated reference",177,133,12,6.77966101694915,9.02255639097744,0.0402684563758389,"LOC126281302;LOC126281398;LOC126281520;LOC126284086;LOC126284088;LOC126298779;LOC126335106;LOC126336399;LOC126336910;LOC126337056;LOC126354081;LOC126354185"
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Upregulated","Higher in solitarious/isolated reference",342,133,11,3.21637426900585,8.27067669172932,0.0237068965517241,"LOC126272290;LOC126284880;LOC126285233;LOC126292260;LOC126305117;LOC126334632;LOC126335117;LOC126336415;LOC126336578;LOC126349825;LOC126355597"
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Downregulated","Higher in gregarious/crowded reference",177,241,6,3.38983050847458,2.4896265560166,0.0145631067961165,"LOC126267104;LOC126281958;LOC126284612;LOC126293692;LOC126336866;LOC126365627"
"Expanded outlier set","Diet contrasts among control","Control 33 vs 50","Upregulated","Any large single-pair shift",6,374,1,16.6666666666667,0.267379679144385,0.00263852242744063,"LOC126272465"
"Expanded outlier set","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in gregarious/crowded reference",6,241,1,16.6666666666667,0.4149377593361,0.0040650406504065,"LOC126272465"
"Expanded outlier set","Diet contrasts among control","Control 33 vs 50","Upregulated","Top absolute single-pair shifts",6,500,1,16.6666666666667,0.2,0.00198019801980198,"LOC126272465"
"Expanded outlier set","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in solitarious/isolated reference",6,133,0,0,0,0,""
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Downregulated","Top absolute single-pair shifts",33,500,12,36.3636363636364,2.4,0.0230326295585413,"LOC126272465;LOC126278199;LOC126281231;LOC126284988;LOC126291424;LOC126336534;LOC126336535;LOC126336866;LOC126337066;LOC126344004;LOC126354934;LOC126355150"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Downregulated","Any large single-pair shift",33,374,9,27.2727272727273,2.40641711229947,0.0226130653266332,"LOC126272465;LOC126278199;LOC126284988;LOC126291424;LOC126336534;LOC126336866;LOC126337066;LOC126354934;LOC126355150"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in gregarious/crowded reference",33,241,8,24.2424242424242,3.3195020746888,0.0300751879699248,"LOC126272465;LOC126278199;LOC126284988;LOC126291424;LOC126336866;LOC126337066;LOC126354934;LOC126355150"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Upregulated","Top absolute single-pair shifts",71,500,6,8.45070422535211,1.2,0.0106194690265487,"LOC126268018;LOC126272511;LOC126278052;LOC126295405;LOC126334600;LOC126336910"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Upregulated","Any large single-pair shift",71,374,5,7.04225352112676,1.33689839572193,0.0113636363636364,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in solitarious/isolated reference",71,133,5,7.04225352112676,3.7593984962406,0.0251256281407035,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in solitarious/isolated reference",33,133,1,3.03030303030303,0.75187969924812,0.00606060606060606,"LOC126336534"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in gregarious/crowded reference",71,241,0,0,0,0,""
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Upregulated","Top absolute single-pair shifts",25,500,6,24,1.2,0.0115606936416185,"LOC126268018;LOC126272511;LOC126278052;LOC126295405;LOC126297583;LOC126356065"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Upregulated","Any large single-pair shift",25,374,5,20,1.33689839572193,0.0126903553299492,"LOC126268018;LOC126272511;LOC126295405;LOC126297583;LOC126356065"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in solitarious/isolated reference",25,133,4,16,3.00751879699248,0.025974025974026,"LOC126268018;LOC126272511;LOC126295405;LOC126297583"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Downregulated","Any large single-pair shift",2,374,1,50,0.267379679144385,0.00266666666666667,"LOC126337066"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Downregulated","Higher in gregarious/crowded reference",2,241,1,50,0.4149377593361,0.00413223140495868,"LOC126337066"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Downregulated","Top absolute single-pair shifts",2,500,1,50,0.2,0.00199600798403194,"LOC126337066"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in gregarious/crowded reference",25,241,1,4,0.4149377593361,0.00377358490566038,"LOC126356065"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Downregulated","Higher in solitarious/isolated reference",2,133,0,0,0,0,""
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Top absolute single-pair shifts",10,500,6,60,1.2,0.0119047619047619,"LOC126272144;LOC126272465;LOC126337066;LOC126344004;LOC126350918;LOC126354934"
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Any large single-pair shift",10,374,5,50,1.33689839572193,0.0131926121372032,"LOC126272144;LOC126272465;LOC126337066;LOC126350918;LOC126354934"
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Higher in gregarious/crowded reference",10,241,5,50,2.0746887966805,0.0203252032520325,"LOC126272144;LOC126272465;LOC126337066;LOC126350918;LOC126354934"
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Top absolute single-pair shifts",1921,500,4,0.208224882873503,0.8,0.00165494414563508,"LOC126268018;LOC126272290;LOC126336409;LOC126352417"
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Any large single-pair shift",1921,374,3,0.156168662155128,0.802139037433155,0.00130890052356021,"LOC126268018;LOC126272290;LOC126336409"
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Higher in solitarious/isolated reference",1921,133,3,0.156168662155128,2.25563909774436,0.00146270112140419,"LOC126268018;LOC126272290;LOC126336409"
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Higher in gregarious/crowded reference",1921,241,0,0,0,0,""
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Higher in solitarious/isolated reference",10,133,0,0,0,0,""
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Top absolute single-pair shifts",14,500,3,21.4285714285714,0.6,0.00587084148727984,"LOC126268018;LOC126278052;LOC126295405"
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Any large single-pair shift",10,374,2,20,0.53475935828877,0.00523560209424084,"LOC126272465;LOC126278199"
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Higher in gregarious/crowded reference",10,241,2,20,0.829875518672199,0.00803212851405622,"LOC126272465;LOC126278199"
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Top absolute single-pair shifts",10,500,2,20,0.4,0.00393700787401575,"LOC126272465;LOC126278199"
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Any large single-pair shift",14,374,2,14.2857142857143,0.53475935828877,0.00518134715025907,"LOC126268018;LOC126295405"
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Higher in solitarious/isolated reference",14,133,2,14.2857142857143,1.50375939849624,0.0137931034482759,"LOC126268018;LOC126295405"
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Higher in solitarious/isolated reference",10,133,0,0,0,0,""
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Higher in gregarious/crowded reference",14,241,0,0,0,0,""
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Any large single-pair shift",1,374,1,100,0.267379679144385,0.00267379679144385,"LOC126350918"
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Higher in gregarious/crowded reference",1,241,1,100,0.4149377593361,0.004149377593361,"LOC126350918"
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Top absolute single-pair shifts",1,500,1,100,0.2,0.002,"LOC126350918"
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Higher in solitarious/isolated reference",1,133,0,0,0,0,""
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Downregulated","Top absolute single-pair shifts",386,500,45,11.6580310880829,9,0.0535077288941736,"LOC126267253;LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281398;LOC126281485;LOC126281565;LOC126281715;LOC126281862;LOC126281958;LOC126284088;LOC126284898;LOC126291424;LOC126291731;LOC126291919;LOC126291976;LOC126292317;LOC126293286;LOC126293292;LOC126293692;LOC126295285;LOC126295405;LOC126299171;LOC126306122;LOC126326589;LOC126327089;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126336535;LOC126336542;LOC126336735;LOC126336866;LOC126337056;LOC126344004;LOC126354065;LOC126354081;LOC126354174;LOC126354185;LOC126355184;LOC126355885"
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Downregulated","Any large single-pair shift",386,374,37,9.58549222797927,9.89304812834225,0.0511756569847856,"LOC126267253;LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281398;LOC126281485;LOC126281565;LOC126281715;LOC126281958;LOC126284088;LOC126284898;LOC126291424;LOC126291731;LOC126291919;LOC126291976;LOC126292317;LOC126293292;LOC126293692;LOC126295285;LOC126295405;LOC126299171;LOC126326589;LOC126327089;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126336866;LOC126337056;LOC126354065;LOC126354081;LOC126354174;LOC126354185;LOC126355184"
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Upregulated","Top absolute single-pair shifts",417,500,37,8.87290167865707,7.4,0.0420454545454545,"LOC126266748;LOC126267473;LOC126267478;LOC126272144;LOC126272274;LOC126272290;LOC126272321;LOC126273757;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281635;LOC126281818;LOC126282035;LOC126284305;LOC126284880;LOC126285340;LOC126294945;LOC126297535;LOC126321085;LOC126322901;LOC126334632;LOC126334999;LOC126335036;LOC126335117;LOC126336578;LOC126337043;LOC126349825;LOC126354672;LOC126354704;LOC126355597;LOC126356328;LOC126361845;LOC126365992"
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Upregulated","Any large single-pair shift",417,374,27,6.47482014388489,7.2192513368984,0.0353403141361257,"LOC126266748;LOC126267478;LOC126272144;LOC126272274;LOC126272290;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281635;LOC126282035;LOC126284305;LOC126284880;LOC126321085;LOC126334632;LOC126334999;LOC126335117;LOC126336578;LOC126337043;LOC126349825;LOC126354672;LOC126354704;LOC126355597;LOC126356328;LOC126361845"
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Downregulated","Higher in gregarious/crowded reference",386,241,24,6.21761658031088,9.95850622406639,0.0398009950248756,"LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281485;LOC126281565;LOC126281715;LOC126281958;LOC126284898;LOC126291424;LOC126291919;LOC126291976;LOC126292317;LOC126293292;LOC126293692;LOC126295285;LOC126299171;LOC126327089;LOC126336866;LOC126354065;LOC126354174;LOC126355184"
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Upregulated","Higher in solitarious/isolated reference",417,133,14,3.35731414868106,10.5263157894737,0.0261194029850746,"LOC126266748;LOC126267478;LOC126272290;LOC126281635;LOC126282035;LOC126284305;LOC126284880;LOC126321085;LOC126334632;LOC126334999;LOC126335117;LOC126336578;LOC126349825;LOC126355597"
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Downregulated","Higher in solitarious/isolated reference",386,133,13,3.36787564766839,9.77443609022556,0.0256916996047431,"LOC126267253;LOC126281398;LOC126284088;LOC126291731;LOC126295405;LOC126326589;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126337056;LOC126354081;LOC126354185"
"Expanded outlier set","Infection within diet","Diet 33: infected vs control","Upregulated","Higher in gregarious/crowded reference",417,241,13,3.11750599520384,5.3941908713693,0.0201550387596899,"LOC126272144;LOC126272274;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126337043;LOC126354672;LOC126354704;LOC126356328;LOC126361845"
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Upregulated","Top absolute single-pair shifts",2453,500,71,2.89441500203832,14.2,0.0246356696738376,"LOC126266665;LOC126266748;LOC126267473;LOC126267936;LOC126271895;LOC126272096;LOC126272290;LOC126272321;LOC126272465;LOC126272716;LOC126272724;LOC126273757;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278180;LOC126278308;LOC126278962;LOC126279018;LOC126281231;LOC126281635;LOC126281729;LOC126281818;LOC126282035;LOC126284221;LOC126284305;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284872;LOC126284880;LOC126285233;LOC126285340;LOC126294945;LOC126295087;LOC126295210;LOC126295425;LOC126297535;LOC126298001;LOC126298220;LOC126298354;LOC126299253;LOC126321085;LOC126322901;LOC126323780;LOC126334632;LOC126334737;LOC126334999;LOC126335036;LOC126335117;LOC126336036;LOC126336415;LOC126336578;LOC126336607;LOC126339239;LOC126339265;LOC126349825;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126355083;LOC126355597;LOC126356065;LOC126356328;LOC126356364;LOC126361845;LOC126365992"
"Expanded outlier set","Infection within diet","Diet 50: infected vs control","Upregulated","Any large single-pair shift",2453,374,53,2.16061964940889,14.1711229946524,0.0191059841384283,"LOC126266665;LOC126266748;LOC126271895;LOC126272096;LOC126272290;LOC126272465;LOC126272716;LOC126272724;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278180;LOC126278308;LOC126278962;LOC126279018;LOC126281635;LOC126282035;LOC126284305;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284872;LOC126284880;LOC126285233;LOC126295210;LOC126295425;LOC126298001;LOC126298220;LOC126299253;LOC126321085;LOC126323780;LOC126334632;LOC126334999;LOC126335117;LOC126336415;LOC126336578;LOC126336607;LOC126339239;LOC126339265;LOC126349825;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126355083;LOC126355597;LOC126356065;LOC126356328;LOC126356364;LOC126361845"
