"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1,"LOC126278545","no description","Infection within diet","No phase DEG",1,"Diet 83: infected vs control","Upregulated",3.43964938049321,2.32190111887108e-05,3.21554437816705,"1007","Higher than gene average"
2,"LOC126279690","DNA- binding","Infection within diet","No phase DEG",1,"Diet 83: infected vs control","Upregulated",2.39244283821601,0.0214908491801157,2.08011457091825,"1003","Higher than gene average"
3,"LOC126333043","IQ calmodulin-binding motif","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",1.59832070527119,0.00514915082534786,2.96569630984668,"1016","Higher than gene average"
4,"LOC126355746","Belongs to the peroxisomal membrane protein PXMP2 4 family","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",2.81710962844766,0.00331827042145917,4.78430172369855,"1016","Higher than gene average"
5,"LOC126278211","Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.0909031885974,0.0104277888594924,3.81797236496662,"1016","Higher than gene average"
6,"LOC126291583","Sulfotransferase domain","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.43104770154859,0.0378221396380741,4.96035079763407,"1007","Higher than gene average"
7,"LOC126293620","Corticotropin-releasing factor binding protein (CRF-BP)","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.17599690085713,0.0109957568407946,3.93804651042349,"1016","Higher than gene average"
8,"LOC126299251","ZIP Zinc transporter","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.21679950098481,0.0191403412978899,2.75584843393969,"1016","Higher than gene average"
9,"LOC126355265","Apolipoprotein","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",2.26211179005626,0.00568934472392954,3.53779799672747,"1037","Higher than gene average"
10,"LOC126284536","7 transmembrane receptor (Secretin family)","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.0080657367697,0.00809407810887069,3.2352842440442,"1007","Higher than gene average"
11,"LOC126273058","cytochrome p450","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.69932126934511,0.0494731843993938,3.22400890899993,"1016","Higher than gene average"
12,"LOC126335232","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.21069887465807,0.00937273457055627,3.34289697847051,"1037","Higher than gene average"
13,"LOC126336307","Choline/ethanolamine kinase","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.9585778626478,0.0131612895919251,2.84063205837165,"1024","Higher than gene average"
14,"LOC126272706","Transcription activator MBF2","Diet in infected","No phase DEG",2,"Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",5.0388844752331,0.000350810764216676,2.81090098285924,"1037","Higher than gene average"
15,"LOC126336985","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.15798688005016,0.00568934472392954,3.73473708867897,"1037","Higher than gene average"
16,"LOC126316835","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.54222384250235,0.0363873867647992,3.19052705896577,"1016","Higher than gene average"
17,"LOC126304689","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.20369406730811,0.00620635382975176,2.38876936563062,"1016","Higher than gene average"
18,"LOC126317459","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.10748827455203,0.02902960057604,2.41776429578256,"1016","Higher than gene average"
19,"LOC126320380","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.10687963836106,0.0329456700917728,2.5187809021616,"1016","Higher than gene average"
