"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means","phase_associated","phase_class","phase_consensus","phase_tissues","phase_mean_log2FC","phase_max_abs_log2FC","diet_infection_associated","infection_associated","diet_associated","n_deg_contrasts","deg_comparison_types","deg_comparisons","deg_directions","max_abs_log2FC","min_padj","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","tissue_associated","source_class","priority_score"
"LOC126284753",3,0.644720240767686,"Fat body","Thorax","Fat body=7.27; Head=6.86; Thorax=6.63",FALSE,"No phase DEG","No phase DEG","None",NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.09853747189628,0.00315521286539877,"unannotated","Selenoprotein S (SelS)",NA,"ko:K14025","ko04141,map04141","Selenoprotein_S",FALSE,"Diet/infection DEG only",13.1456915766647
"LOC126335453",3,1.14733823794048,"Head","Fat body","Fat body=6.88; Head=8.03; Thorax=7.91",FALSE,"No phase DEG","No phase DEG","None",NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.72385543539505,0.010719261035003,"GPRNNB1","Leucine Rich Repeat",NA,"ko:K17256",NA,"LRR_1,LRR_5,LRR_6,LRR_8",FALSE,"Diet/infection DEG only",13.1171733909683
"LOC126273067",3,1.75487057220877,"Head","Fat body","Fat body=6.51; Head=8.26; Thorax=6.99",FALSE,"No phase DEG","No phase DEG","None",NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",3.03714871417822,0.044345307351357,"unannotated","May mediate accelerated ATP-independent bidirectional transbilayer migration of phospholipids upon binding calcium ions that results in a loss of phospholipid asymmetry in the plasma membrane","GO:0003674,GO:0005215,GO:0005319,GO:0005548,GO:0005575,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0007009,GO:0008150,GO:0009987,GO:0010256,GO:0010876,GO:0015711,GO:0015748,GO:0015914,GO:0016020,GO:0016043,GO:0017121,GO:0017128,GO:0033036,GO:0051179,GO:0051234,GO:0061024,GO:0065007,GO:0065008,GO:0071702,GO:0071840,GO:0097035",NA,NA,"Scramblase",FALSE,"Diet/infection DEG only",13.108022902928
"LOC126298556",3,1.09578111568157,"Head","Fat body","Fat body=6.68; Head=7.77; Thorax=7.08",FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",3.01101171691809,0.00975707197500003,"unannotated","GDNF/GAS1 domain","GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0009897,GO:0009986,GO:0016020,GO:0031224,GO:0031225,GO:0031226,GO:0031233,GO:0031362,GO:0044425,GO:0044459,GO:0044464,GO:0046658,GO:0050839,GO:0071944,GO:0098552",NA,NA,"GDNF",FALSE,"Diet/infection DEG only",13.1064616070194
"LOC126278174",3,1.77824552186799,"Head","Fat body","Fat body=6.7; Head=8.48; Thorax=7.25",FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",2.91211004763115,0.0472330357779542,"unannotated","no description",NA,NA,NA,NA,FALSE,"Diet/infection DEG only",13.1039996622696
"LOC126302198",3,0.139274315191667,"Head","Thorax","Fat body=5.69; Head=5.77; Thorax=5.63",FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",4.04689593199996,0.00109215195808747,"unannotated","no description",NA,NA,NA,NA,FALSE,"Diet/infection DEG only",13.1009912464497
"LOC126267985",3,1.07374573332836,"Head","Fat body","Fat body=5.47; Head=6.55; Thorax=6.35",FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",2.14270575967677,0.00954382157141478,"unannotated","no description",NA,NA,NA,NA,FALSE,"Diet/infection DEG only",13.0940234220368
"LOC126284712",3,1.28298201550238,"Thorax","Fat body","Fat body=6.25; Head=7.26; Thorax=7.53",FALSE,"No phase DEG","No phase DEG","None",NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.0427088402114,0.0155353028102418,"unannotated","Found in Pit-Oct-Unc transcription factors","GO:0000902,GO:0000904,GO:0000976,GO:0000977,GO:0000980,GO:0000981,GO:0000982,GO:0001012,GO:0001067,GO:0001077,GO:0001158,GO:0001228,GO:0001709,GO:0002225,GO:0002682,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002759,GO:0002760,GO:0002784,GO:0002805,GO:0002807,GO:0002831,GO:0002833,GO:0002920,GO:0002922,GO:0003002,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006928,GO:0006935,GO:0007275,GO:0007389,GO:0007399,GO:0007409,GO:0007411,GO:0007417,GO:0007420,GO:0007422,GO:0007424,GO:0007425,GO:0008045,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009605,GO:0009653,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010769,GO:0010975,GO:0016043,GO:0016070,GO:0016358,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022008,GO:0022603,GO:0022604,GO:0030030,GO:0030154,GO:0030182,GO:0031175,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0032101,GO:0032103,GO:0032501,GO:0032502,GO:0032774,GO:0032989,GO:0032990,GO:0034248,GO:0034250,GO:0034641,GO:0034645,GO:0034654,GO:0035282,GO:0035283,GO:0035284,GO:0035326,GO:0040011,GO:0042221,GO:0042330,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0043900,GO:0043902,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0045165,GO:0045595,GO:0045664,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0048468,GO:0048513,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048813,GO:0048814,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050773,GO:0050776,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051173,GO:0051239,GO:0051252,GO:0051254,GO:0051960,GO:0060255,GO:0060284,GO:0060322,GO:0060541,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097485,GO:0097659,GO:0120035,GO:0120036,GO:0120039,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000026,GO:2000112,GO:2001141","ko:K09365",NA,"Homeobox,Pou",FALSE,"Diet/infection DEG only",13.0916622926693
"LOC126272599",3,1.29890947168507,"Fat body","Head","Fat body=7.59; Head=6.29; Thorax=6.42",FALSE,"No phase DEG","No phase DEG","None",NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.9874903716285,0.0161790290758731,"unannotated","no description",NA,NA,NA,NA,FALSE,"Diet/infection DEG only",13.0899570161914
"LOC126334787",3,0.524838393615651,"Thorax","Fat body","Fat body=9.57; Head=9.91; Thorax=10.1",FALSE,"No phase DEG","No phase DEG","None",NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 83: infected vs control","Upregulated",1.07835279185754,0.00273520850858445,"unannotated","Prominin",NA,"ko:K06532","ko05202,map05202","Prominin",FALSE,"Diet/infection DEG only",13.087847954838
"LOC126335805",3,1.00548698248408,"Head","Fat body","Fat body=6.05; Head=7.05; Thorax=6.61",FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",2.24665003231409,0.00831259324512232,"unannotated","no description",NA,NA,NA,"Claudin_2",FALSE,"Diet/infection DEG only",13.08575045252
"LOC126333297",3,1.42433429151292,"Thorax","Fat body","Fat body=6.59; Head=7.97; Thorax=8.01",FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.58804123317455,0.0218844663022276,"unannotated","no description",NA,NA,NA,NA,FALSE,"Diet/infection DEG only",13.0841983315998
"LOC126297907",3,1.24350280388227,"Thorax","Fat body","Fat body=6.47; Head=6.82; Thorax=7.71",FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.09339280357211,0.0145113407856588,"unannotated","homeobox protein","GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464","ko:K09319","ko04341,map04341","Engrail_1_C_sig,Homeobox",FALSE,"Diet/infection DEG only",13.0817952626429
"LOC126268030",3,0.646004367993634,"Head","Fat body","Fat body=7.15; Head=7.79; Thorax=7.42",FALSE,"No phase DEG","No phase DEG","None",NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.45845674035404,0.0036665105312703,"unannotated","It is involved in the biological process described with cell adhesion",NA,NA,NA,"FG-GAP,Integrin_alpha2",FALSE,"Diet/infection DEG only",13.0817514312418
"LOC126295125",3,1.42584067712292,"Fat body","Head","Fat body=10.28; Head=8.86; Thorax=8.9",FALSE,"No phase DEG","No phase DEG","None",NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.24711076798465,0.0224197999397037,"unannotated","AhpC/TSA antioxidant enzyme",NA,"ko:K15717","ko00590,ko01100,map00590,map01100","AhpC-TSA_2",FALSE,"Diet/infection DEG only",13.0752089442195
"LOC126269368",3,1.30026248088523,"Head","Fat body","Fat body=6.41; Head=7.71; Thorax=6.97",FALSE,"No phase DEG","No phase DEG","None",NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.82997604546476,0.0169565996331592,"GluCl","Neurotransmitter-gated ion-channel transmembrane region","GO:0003008,GO:0003674,GO:0005215,GO:0005216,GO:0005230,GO:0005231,GO:0005234,GO:0005253,GO:0005254,GO:0005575,GO:0006810,GO:0006811,GO:0006820,GO:0006821,GO:0007154,GO:0007165,GO:0007166,GO:0007267,GO:0007268,GO:0008068,GO:0008150,GO:0008509,GO:0009987,GO:0015075,GO:0015103,GO:0015108,GO:0015267,GO:0015276,GO:0015318,GO:0015698,GO:0016020,GO:0016021,GO:0022803,GO:0022834,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0023052,GO:0031224,GO:0032501,GO:0034220,GO:0042391,GO:0044425,GO:0050789,GO:0050794,GO:0050877,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0060078,GO:0060079,GO:0065007,GO:0065008,GO:0098656,GO:0098660,GO:0098661,GO:0098916,GO:0099095,GO:0099536,GO:0099537,GO:0099565,GO:1902476,GO:1905114","ko:K05273",NA,"Neur_chan_LBD,Neur_chan_memb",FALSE,"Diet/infection DEG only",13.0709237148405
"LOC126335184",3,1.39794042905718,"Fat body","Thorax","Fat body=8.98; Head=7.98; Thorax=7.58",FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.19021380587523,0.0213330086755862,"unannotated","5NUC-like",NA,"ko:K19970","ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110","5_nucleotid_C,Metallophos",FALSE,"Diet/infection DEG only",13.0688883190808
