"sample_id","count_file","tissue","phase","rearing_condition","replicate","source","display_group","reference_role","sample_label","sample_block","infection_status","diet","outlier_status","file_present"
"1039",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1039_C33","Experiment fat body","Control","33","Current outlier flag",TRUE
"1004",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1004_C50","Experiment fat body","Control","50","Retained in current analysis",TRUE
"1007",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1007_C50","Experiment fat body","Control","50","Current outlier flag",TRUE
"1031",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1031_C50","Experiment fat body","Control","50","Retained in current analysis",TRUE
"1034",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1034_C50","Experiment fat body","Control","50","Retained in current analysis",TRUE
"1037",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1037_C50","Experiment fat body","Control","50","Current outlier flag",TRUE
"1040",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1040_C50","Experiment fat body","Control","50","Retained in current analysis",TRUE
"1002",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1002_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1005",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1005_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1011",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1011_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1032",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1032_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1035",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1035_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1038",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1038_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1041",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1041_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"GREG_G_CCT_11_FAT","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/external/timecourse_fatbody_reference/readcounts/GREG_G_CCT_11_FAT_featurecounts.txt","Fat body","Gregarious","Crowded",11,"Time-course fat body phase control","Fat body: gregarious/crowded control","Gregarious crowded control","FAT-G-ctrl","FAT controls","Control","Reference","Reference sample",TRUE
"GREG_S_ICT_9_FAT","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/external/timecourse_fatbody_reference/readcounts/GREG_S_ICT_9_FAT_featurecounts.txt","Fat body","Solitarious","Isolated",9,"Time-course fat body phase control","Fat body: solitarious/isolated control","Solitarious isolated control","FAT-S-ctrl","FAT controls","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-1_MERGE_featurecounts.txt","Head","Gregarious","Crowded",1,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 1","H-CRD-1","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-2_MERGE_featurecounts.txt","Head","Gregarious","Crowded",2,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 2","H-CRD-2","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-3_MERGE_featurecounts.txt","Head","Gregarious","Crowded",3,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 3","H-CRD-3","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-4_MERGE_featurecounts.txt","Head","Gregarious","Crowded",4,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 4","H-CRD-4","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-5_MERGE_featurecounts.txt","Head","Gregarious","Crowded",5,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 5","H-CRD-5","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-CRD-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-CRD-6_MERGE_featurecounts.txt","Head","Gregarious","Crowded",6,"Time-course head/thorax phase reference","Head: crowded/gregarious","Head crowded rep 6","H-CRD-6","Head reference","Control","Reference","Reference sample",TRUE
