"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means","phase_associated","phase_class","phase_consensus","phase_tissues","phase_mean_log2FC","phase_max_abs_log2FC","diet_infection_associated","infection_associated","diet_associated","n_deg_contrasts","deg_comparison_types","deg_comparisons","deg_directions","max_abs_log2FC","min_padj","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","tissue_associated","source_class","priority_score"
"LOC126285438",3,4.08140580007363,"Head","Fat body","Fat body=6.22; Head=10.3; Thorax=8.05",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"SCRB3","CD36 family","GO:0000323,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0006996,GO:0007275,GO:0007591,GO:0007593,GO:0008150,GO:0009987,GO:0016043,GO:0021700,GO:0022404,GO:0030139,GO:0031410,GO:0031982,GO:0032501,GO:0032502,GO:0042303,GO:0042335,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043473,GO:0044424,GO:0044444,GO:0044464,GO:0045335,GO:0048066,GO:0048067,GO:0048085,GO:0048856,GO:0071840,GO:0090382,GO:0097708",NA,NA,"CD36",TRUE,"Tissue reference pattern only",4.08140580007363
"LOC126356279",3,4.05988801990534,"Thorax","Fat body","Fat body=6.49; Head=9.13; Thorax=10.55",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","A Receptor for Ubiquitination Targets","GO:0000151,GO:0005575,GO:0005622,GO:0005623,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010498,GO:0019005,GO:0019538,GO:0019941,GO:0030163,GO:0031146,GO:0031461,GO:0032991,GO:0043161,GO:0043170,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044464,GO:0051603,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1990234",NA,NA,"F-box-like",TRUE,"Tissue reference pattern only",4.05988801990534
"LOC126267267",3,4.04926082603625,"Thorax","Fat body","Fat body=7.45; Head=11.01; Thorax=11.5",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","It is involved in the biological process described with cell redox homeostasis",NA,NA,NA,"Thioredoxin,Thioredoxin_6",TRUE,"Tissue reference pattern only",4.04926082603625
"LOC126268048",3,3.98132486360558,"Head","Fat body","Fat body=6.53; Head=10.51; Thorax=10.23",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","It is involved in the biological process described with","GO:0000323,GO:0003674,GO:0003824,GO:0004601,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0006082,GO:0006520,GO:0006725,GO:0006726,GO:0006727,GO:0006807,GO:0008055,GO:0008150,GO:0008152,GO:0009058,GO:0009636,GO:0009893,GO:0009987,GO:0010468,GO:0010604,GO:0010628,GO:0010941,GO:0010942,GO:0016209,GO:0016491,GO:0016684,GO:0018130,GO:0019222,GO:0019438,GO:0019748,GO:0019752,GO:0033060,GO:0042180,GO:0042221,GO:0042440,GO:0042441,GO:0042537,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043324,GO:0043436,GO:0043473,GO:0043474,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0044550,GO:0046148,GO:0046152,GO:0046158,GO:0046483,GO:0048066,GO:0048069,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055114,GO:0060255,GO:0060966,GO:0060967,GO:0060968,GO:0060969,GO:0065007,GO:0070189,GO:0070887,GO:0071704,GO:0097237,GO:0098754,GO:0098869,GO:1901214,GO:1901216,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:1901605,GO:1990748",NA,NA,"An_peroxidase",TRUE,"Tissue reference pattern only",3.98132486360558
"LOC126284781",3,3.95598181810781,"Thorax","Fat body","Fat body=6.92; Head=10.27; Thorax=10.87",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","Structural constituent of cuticle","GO:0003674,GO:0005198,GO:0005214,GO:0005575,GO:0005576,GO:0007275,GO:0008010,GO:0008150,GO:0031012,GO:0032501,GO:0032502,GO:0040003,GO:0042302,GO:0042335,GO:0044421,GO:0048856",NA,NA,"Chitin_bind_4",TRUE,"Tissue reference pattern only",3.95598181810781
"LOC126284558",3,3.93556726262896,"Thorax","Fat body","Fat body=6.18; Head=9.39; Thorax=10.12",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","Domain of unknown function (DUF4774)",NA,NA,NA,"DUF4774",TRUE,"Tissue reference pattern only",3.93556726262896
"LOC126274082",3,3.93337505580324,"Thorax","Fat body","Fat body=6.55; Head=9.38; Thorax=10.49",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","no description",NA,NA,NA,NA,TRUE,"Tissue reference pattern only",3.93337505580324
"LOC126284829",3,3.93173490780378,"Fat body","Head","Fat body=9.3; Head=5.37; Thorax=8.45",FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","no description",NA,NA,NA,NA,TRUE,"Tissue reference pattern only",3.93173490780378
"LOC126273369",3,3.928363551402,"Thorax","Fat body","Fat body=6.77; Head=8.41; Thorax=10.7",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"unannotated","Domain present in PSD-95, Dlg, and ZO-1/2.","GO:0001654,GO:0005575,GO:0005623,GO:0005886,GO:0005912,GO:0007275,GO:0007423,GO:0008150,GO:0016020,GO:0016324,GO:0030054,GO:0032501,GO:0032502,GO:0044425,GO:0044459,GO:0044464,GO:0045177,GO:0048513,GO:0048731,GO:0048749,GO:0048856,GO:0070161,GO:0071944,GO:0098590",NA,NA,"PDZ",TRUE,"Tissue reference pattern only",3.928363551402
"LOC126281198",3,3.91592451516694,"Head","Fat body","Fat body=9.2; Head=13.12; Thorax=12.53",FALSE,"No phase DEG","No phase DEG","None",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Tm1","Belongs to the tropomyosin family","GO:0000003,GO:0000578,GO:0000902,GO:0000904,GO:0003002,GO:0003006,GO:0003008,GO:0003012,GO:0003674,GO:0003779,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005862,GO:0005865,GO:0006403,GO:0006936,GO:0006950,GO:0006996,GO:0007010,GO:0007015,GO:0007028,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007308,GO:0007309,GO:0007314,GO:0007315,GO:0007316,GO:0007350,GO:0007351,GO:0007389,GO:0007399,GO:0008092,GO:0008150,GO:0008298,GO:0008307,GO:0008358,GO:0008595,GO:0009628,GO:0009653,GO:0009790,GO:0009798,GO:0009880,GO:0009948,GO:0009952,GO:0009987,GO:0009994,GO:0010591,GO:0015629,GO:0016043,GO:0016358,GO:0019094,GO:0019894,GO:0019899,GO:0019900,GO:0019901,GO:0019953,GO:0021700,GO:0022008,GO:0022412,GO:0022414,GO:0022607,GO:0030016,GO:0030017,GO:0030029,GO:0030030,GO:0030036,GO:0030038,GO:0030154,GO:0030182,GO:0031032,GO:0031175,GO:0031344,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032990,GO:0032991,GO:0033036,GO:0035282,GO:0035770,GO:0036296,GO:0036379,GO:0036464,GO:0043149,GO:0043186,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0044085,GO:0044087,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0044703,GO:0044877,GO:0045451,GO:0045495,GO:0048468,GO:0048469,GO:0048477,GO:0048599,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048813,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051015,GO:0051017,GO:0051128,GO:0051179,GO:0051641,GO:0051704,GO:0055093,GO:0060293,GO:0060491,GO:0060810,GO:0060811,GO:0061572,GO:0065007,GO:0070482,GO:0070727,GO:0070864,GO:0070865,GO:0071840,GO:0097435,GO:0099080,GO:0099081,GO:0099512,GO:0120032,GO:0120035,GO:0120036,GO:0120039,GO:1902743,GO:1990904","ko:K10373","ko04260,ko04261,ko05206,ko05410,ko05414,map04260,map04261,map05206,map05410,map05414","Tropomyosin,Tropomyosin_1",TRUE,"Tissue reference pattern only",3.91592451516694
