"sample_id","PC1","PC2","PC3","PC4","sample_id.y","count_file","tissue","phase","rearing_condition","replicate","source","display_group","reference_role","sample_label","sample_block","infection_status","diet","outlier_status","file_present"
"1015",-49.5093235624833,15.4066881829006,37.264479203511,5.82784905761494,"1015",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1015_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1018",-50.9596160501138,32.8264061529577,5.68806362754246,4.0165110021218,"1018",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1018_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1021",-53.6988008805438,33.5354339635121,-2.46658723032185,8.22246790480021,"1021",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1021_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1027",-45.9377427153038,9.98435849625693,57.7483832709334,24.3704544372106,"1027",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1027_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1042",-23.8656028220452,27.3788983046049,14.0302949207493,-37.4789267581221,"1042",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1042_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1045",-34.8579009711217,16.0276448767283,0.241111956414521,-25.5203606120133,"1045",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1045_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1051",-32.4171209540227,19.0661962335303,-7.67288307265048,-31.8852273403337,"1051",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1051_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1054",-55.3821539629112,30.2423025634646,37.8112709405918,10.3149841580752,"1054",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1054_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1057",-43.6354027422831,30.0905557400767,40.6205031789946,-8.28627218326591,"1057",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1057_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1016",-46.5131261536411,-85.6774856718613,54.1821666122301,11.729079896653,"1016",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1016_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1025",-65.9178641778226,-18.0774904096763,29.0533534199764,6.57310291277815,"1025",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1025_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1028",-50.4626861781062,31.3678324959765,13.8592746308966,-4.61655226952495,"1028",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1028_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1043",-46.6486205119173,-5.19290765147172,-0.760155397524399,-16.003475237179,"1043",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1043_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1046",-84.049456157194,-82.1767818763835,25.7992431438391,0.794988665258864,"1046",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1046_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1049",-42.9658827005216,28.0445516150333,42.9124369580744,-9.66728118407843,"1049",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1049_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1052",-49.5651882689181,31.3093974081187,19.9014383157894,1.08263161816501,"1052",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1052_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1055",-64.6691390703112,-25.239193243139,16.8268395658344,-6.0259783108866,"1055",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1055_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1058",-53.804560791787,5.06028222492129,42.7093921439301,-5.98461234248525,"1058",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1058_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
