"gene_id","timecourse_fatbody_gregarious_minus_solitarious","abs_timecourse_delta","tissue_matched_direction","exploratory_shift"
"LOC126267514",0.221742980515942,0.221742980515942,"Higher in gregarious/crowded reference",FALSE
"LOC126267870",0.568311000332432,0.568311000332432,"Higher in gregarious/crowded reference",FALSE
"LOC126267871",0.0685642739576959,0.0685642739576959,"Higher in gregarious/crowded reference",FALSE
"LOC126267453",0.401780823883539,0.401780823883539,"Higher in gregarious/crowded reference",FALSE
"LOC126267483",0.148240830548463,0.148240830548463,"Higher in gregarious/crowded reference",FALSE
"LOC126267485",-0.108235642637821,0.108235642637821,"Higher in solitarious/isolated reference",FALSE
"LOC126267486",0.107909529919547,0.107909529919547,"Higher in gregarious/crowded reference",FALSE
"LOC126267489",0.120544385378174,0.120544385378174,"Higher in gregarious/crowded reference",FALSE
"LOC126267488",-0.0801243433130301,0.0801243433130301,"Higher in solitarious/isolated reference",FALSE
"LOC126267487",-0.0141503041574591,0.0141503041574591,"Higher in solitarious/isolated reference",FALSE
"LOC126268131",0.234653142495915,0.234653142495915,"Higher in gregarious/crowded reference",FALSE
"LOC126268132",-0.241919676426305,0.241919676426305,"Higher in solitarious/isolated reference",FALSE
"LOC126268129",-0.0551617565991123,0.0551617565991123,"Higher in solitarious/isolated reference",FALSE
"LOC126268128",0.735824841625387,0.735824841625387,"Higher in gregarious/crowded reference",FALSE
"LOC126267873",-0.386925603980279,0.386925603980279,"Higher in solitarious/isolated reference",FALSE
"LOC126268204",0.126852687604553,0.126852687604553,"Higher in gregarious/crowded reference",FALSE
"LOC126268203",0.24052631883932,0.24052631883932,"Higher in gregarious/crowded reference",FALSE
"LOC126267875",0.101964322024198,0.101964322024198,"Higher in gregarious/crowded reference",FALSE
"LOC126266976",0.196538837162648,0.196538837162648,"Higher in gregarious/crowded reference",FALSE
"LOC126267207",-0.245669235632607,0.245669235632607,"Higher in solitarious/isolated reference",FALSE
"LOC126267293",0,0,"No difference in single-pair reference",FALSE
"LOC126266683",-0.150143773783181,0.150143773783181,"Higher in solitarious/isolated reference",FALSE
"LOC126266685",0.178324511431751,0.178324511431751,"Higher in gregarious/crowded reference",FALSE
"LOC126266686",0.200979343166132,0.200979343166132,"Higher in gregarious/crowded reference",FALSE
"LOC126268080",0.356515022526869,0.356515022526869,"Higher in gregarious/crowded reference",FALSE
"LOC126267876",0,0,"No difference in single-pair reference",FALSE
"LOC126267877",0.451482670523006,0.451482670523006,"Higher in gregarious/crowded reference",FALSE
"LOC126267448",0.120544385378174,0.120544385378174,"Higher in gregarious/crowded reference",FALSE
"LOC126266659",-0.105530262271903,0.105530262271903,"Higher in solitarious/isolated reference",FALSE
"LOC126266660",-0.284730398451661,0.284730398451661,"Higher in solitarious/isolated reference",FALSE
"LOC126266914",0.0672344936809015,0.0672344936809015,"Higher in gregarious/crowded reference",FALSE
"LOC126266915",0.178561192352362,0.178561192352362,"Higher in gregarious/crowded reference",FALSE
"LOC126266916",-0.241170204472943,0.241170204472943,"Higher in solitarious/isolated reference",FALSE
"LOC126266917",-0.263496598586646,0.263496598586646,"Higher in solitarious/isolated reference",FALSE
"LOC126266918",0.0614402925000839,0.0614402925000839,"Higher in gregarious/crowded reference",FALSE
"LOC126266919",0.0553729348624428,0.0553729348624428,"Higher in gregarious/crowded reference",FALSE
"LOC126266920",-0.0554530189442044,0.0554530189442044,"Higher in solitarious/isolated reference",FALSE
"LOC126267524",0.0235637670162934,0.0235637670162934,"Higher in gregarious/crowded reference",FALSE
"LOC126267525",0,0,"No difference in single-pair reference",FALSE
"LOC126267878",-0.0476704442483618,0.0476704442483618,"Higher in solitarious/isolated reference",FALSE
"LOC126365917",0.0762206700887962,0.0762206700887962,"Higher in gregarious/crowded reference",FALSE
"LOC126267880",0.170425987935321,0.170425987935321,"Higher in gregarious/crowded reference",FALSE
"LOC126365918",0.318097540727633,0.318097540727633,"Higher in gregarious/crowded reference",FALSE
"LOC126365919",0.170425987935321,0.170425987935321,"Higher in gregarious/crowded reference",FALSE
"LOC126365977",-0.157214930675233,0.157214930675233,"Higher in solitarious/isolated reference",FALSE
"LOC126365978",-0.0443826024131937,0.0443826024131937,"Higher in solitarious/isolated reference",FALSE
"LOC126267308",0.475980646493397,0.475980646493397,"Higher in gregarious/crowded reference",FALSE
"LOC126267043",0.0339014149660741,0.0339014149660741,"Higher in gregarious/crowded reference",FALSE
"LOC126267046",-0.183394277392234,0.183394277392234,"Higher in solitarious/isolated reference",FALSE
"LOC126267045",-0.111682343769705,0.111682343769705,"Higher in solitarious/isolated reference",FALSE
"LOC126365979",0.100081349140429,0.100081349140429,"Higher in gregarious/crowded reference",FALSE
"LOC126267881",0.154400749677085,0.154400749677085,"Higher in gregarious/crowded reference",FALSE
"LOC126267466",-0.060021090603879,0.060021090603879,"Higher in solitarious/isolated reference",FALSE
"LOC126267468",0.0510944035691585,0.0510944035691585,"Higher in gregarious/crowded reference",FALSE
"LOC126267882",0.147722565687731,0.147722565687731,"Higher in gregarious/crowded reference",FALSE
"LOC126267883",0.371818495229173,0.371818495229173,"Higher in gregarious/crowded reference",FALSE
"LOC126268114",0.0413503340352683,0.0413503340352683,"Higher in gregarious/crowded reference",FALSE
"LOC126365815",0.0702048432686118,0.0702048432686118,"Higher in gregarious/crowded reference",FALSE
