"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means"
"LOC126272944",3,0.148442156526715,"Head","Fat body","Fat body=5.67; Head=5.82; Thorax=5.79"
"LOC126272945",3,0.0895314652218548,"Head","Fat body","Fat body=5.37; Head=5.46; Thorax=5.39"
"LOC126272946",3,0.0760474110152938,"Head","Fat body","Fat body=5.37; Head=5.45; Thorax=5.4"
"LOC126272947",3,0.398244045263722,"Head","Thorax","Fat body=6.24; Head=6.61; Thorax=6.21"
"LOC126272948",3,0.675625338837795,"Fat body","Thorax","Fat body=6.64; Head=5.97; Thorax=5.96"
"LOC126272949",3,0.183135163990869,"Thorax","Fat body","Fat body=5.67; Head=5.83; Thorax=5.85"
"LOC126272950",3,0.097378988255584,"Thorax","Head","Fat body=6.9; Head=6.83; Thorax=6.93"
"LOC126272951",3,0.114168562438419,"Fat body","Head","Fat body=6.46; Head=6.35; Thorax=6.36"
"LOC126272952",3,0.21867073180779,"Fat body","Thorax","Fat body=6.56; Head=6.35; Thorax=6.34"
"LOC126272953",3,0.526534880523752,"Head","Fat body","Fat body=8.9; Head=9.42; Thorax=9.25"
"LOC126272954",3,1.03304841652314,"Thorax","Fat body","Fat body=8.96; Head=9.58; Thorax=9.99"
"LOC126272955",3,0.299350940512772,"Head","Fat body","Fat body=6.11; Head=6.41; Thorax=6.36"
"LOC126272956",3,2.65348588370452,"Head","Fat body","Fat body=6.12; Head=8.77; Thorax=8.61"
"LOC126272958",3,0.606527184021595,"Head","Fat body","Fat body=5.44; Head=6.05; Thorax=5.75"
"LOC126272959",3,0.177238563494822,"Fat body","Thorax","Fat body=7.48; Head=7.44; Thorax=7.3"
"LOC126272960",3,0.165945637970553,"Thorax","Fat body","Fat body=6.15; Head=6.27; Thorax=6.31"
"LOC126272961",3,0.356866508030022,"Thorax","Fat body","Fat body=8.62; Head=8.88; Thorax=8.98"
"LOC126272962",3,0.307837758269312,"Thorax","Fat body","Fat body=7.18; Head=7.21; Thorax=7.49"
"LOC126272963",3,0.210901811854382,"Fat body","Head","Fat body=7.48; Head=7.27; Thorax=7.33"
"LOC126272964",3,0.178211598389976,"Thorax","Fat body","Fat body=7.08; Head=7.14; Thorax=7.26"
"LOC126272965",3,0.106433151278906,"Head","Fat body","Fat body=5.69; Head=5.8; Thorax=5.79"
"LOC126272966",3,1.56712140422933,"Fat body","Thorax","Fat body=9.72; Head=8.54; Thorax=8.15"
"LOC126272967",3,0.0464052763429157,"Head","Fat body","Fat body=7.62; Head=7.67; Thorax=7.65"
"LOC126272968",3,0.268783638546498,"Thorax","Fat body","Fat body=8.42; Head=8.68; Thorax=8.69"
"LOC126272969",3,0.267154388510856,"Fat body","Thorax","Fat body=7.55; Head=7.3; Thorax=7.28"
"LOC126272970",3,0.0174057580290015,"Fat body","Thorax","Fat body=5.53; Head=5.52; Thorax=5.51"
"LOC126272972",3,0.0734474950564374,"Head","Fat body","Fat body=5.37; Head=5.44; Thorax=5.42"
"LOC126272974",3,0.0382017106216779,"Head","Thorax","Fat body=5.44; Head=5.47; Thorax=5.43"
"LOC126272975",3,0.359360920066581,"Thorax","Fat body","Fat body=6.17; Head=6.45; Thorax=6.53"
"LOC126272976",3,0.69516731593924,"Head","Fat body","Fat body=5.47; Head=6.17; Thorax=6.05"
"LOC126272977",3,0.0413915595006236,"Head","Fat body","Fat body=5.72; Head=5.76; Thorax=5.73"
"LOC126272978",3,1.62021177367606,"Head","Fat body","Fat body=6.35; Head=7.97; Thorax=7.11"
"LOC126272979",3,2.82415012670613,"Fat body","Thorax","Fat body=9.7; Head=7.09; Thorax=6.88"
"LOC126272980",3,1.37273876804769,"Fat body","Thorax","Fat body=8.26; Head=6.95; Thorax=6.89"
"LOC126272981",3,0.0919471127092129,"Thorax","Head","Fat body=7.11; Head=7.08; Thorax=7.17"
"LOC126272982",3,0.0469841880702475,"Thorax","Head","Fat body=5.91; Head=5.89; Thorax=5.94"
"LOC126272983",3,0.23371390785489,"Head","Fat body","Fat body=6.48; Head=6.72; Thorax=6.69"
"LOC126272984",3,0.492047685286357,"Head","Fat body","Fat body=5.67; Head=6.16; Thorax=5.99"
"LOC126272985",3,0.14496989377471,"Fat body","Head","Fat body=5.91; Head=5.77; Thorax=5.84"
"LOC126272986",3,0.0188970311364374,"Head","Fat body","Fat body=5.69; Head=5.71; Thorax=5.69"
"LOC126272987",3,0.104987163914037,"Head","Fat body","Fat body=5.65; Head=5.75; Thorax=5.73"
"LOC126272989",3,0.206562395358199,"Thorax","Fat body","Fat body=7.07; Head=7.16; Thorax=7.27"
"LOC126272990",3,0.222182509765576,"Thorax","Fat body","Fat body=9.46; Head=9.53; Thorax=9.68"
"LOC126272991",3,0.0499251390986011,"Fat body","Head","Fat body=5.44; Head=5.39; Thorax=5.41"
"LOC126272992",3,0.642701040999285,"Head","Fat body","Fat body=5.56; Head=6.2; Thorax=5.76"
"LOC126272993",3,0.0250868848958516,"Fat body","Head","Fat body=5.44; Head=5.42; Thorax=5.43"
"LOC126272994",3,0.133967756336776,"Thorax","Fat body","Fat body=5.37; Head=5.46; Thorax=5.5"
"LOC126272995",3,0.184021321170559,"Thorax","Fat body","Fat body=5.44; Head=5.52; Thorax=5.63"
"LOC126272996",3,0.437680100195553,"Fat body","Head","Fat body=6.35; Head=5.92; Thorax=6.11"
