"sample_id","PC1","PC2","PC3","PC4","sample_id.y","source","display_group","reference_role","phase","rearing_condition"
"1015",-6.91881127372551,35.9291208579697,-9.77388548431257,2.4169552818279,"1015","Diet-infection fat body","Infected_33","Infected diet 33",NA,NA
"1018",-20.7571990425927,7.57344434307381,-17.0880096860745,1.32052298540253,"1018","Diet-infection fat body","Infected_33","Infected diet 33",NA,NA
"1021",-20.5875540085825,0.0261143339431098,-20.9196430162848,5.64709406648248,"1021","Diet-infection fat body","Infected_33","Infected diet 33",NA,NA
"1027",-4.34848339006168,53.6582453262006,6.28551035815629,22.8041734172235,"1027","Diet-infection fat body","Infected_33","Infected diet 33",NA,NA
"1042",-26.7244672285601,12.1244138751318,23.1428380829298,-29.7996987262119,"1042","Diet-infection fat body","Infected_33","Infected diet 33",NA,NA
"1045",-12.494165341423,1.09415196288977,-2.02568277589076,-27.6734185873505,"1045","Diet-infection fat body","Infected_33","Infected diet 33",NA,NA
"1051",-17.0906343792315,-6.77682619114803,8.70744342204114,-29.0883050324791,"1051","Diet-infection fat body","Infected_33","Infected diet 33",NA,NA
"1054",-17.2796390913797,36.727275413174,-11.7894617873828,8.50479101896981,"1054","Diet-infection fat body","Infected_33","Infected diet 33",NA,NA
"1057",-20.2441211833841,38.6392502857184,-7.81186717776218,-10.2209491658398,"1057","Diet-infection fat body","Infected_33","Infected diet 33",NA,NA
"1016",72.5818439853121,43.7155137063032,29.2373042848747,13.5881050422241,"1016","Diet-infection fat body","Infected_50","Infected diet 50",NA,NA
"1025",23.335709923945,27.6918773461286,-11.3618882490388,3.81591754924373,"1025","Diet-infection fat body","Infected_50","Infected diet 50",NA,NA
"1028",-20.312321228969,14.5672683405313,-10.3690266176472,-3.86483198401475,"1028","Diet-infection fat body","Infected_50","Infected diet 50",NA,NA
"1043",6.06639915066366,-0.0586155397055892,7.5487080681754,-14.1338282256773,"1043","Diet-infection fat body","Infected_50","Infected diet 50",NA,NA
"1046",80.7681611788074,23.9028864180694,-1.22512120981821,-1.20441182455912,"1046","Diet-infection fat body","Infected_50","Infected diet 50",NA,NA
"1049",-18.5747830536529,41.0675578498969,-6.17452301164767,-12.4620186371051,"1049","Diet-infection fat body","Infected_50","Infected diet 50",NA,NA
"1052",-19.2266881550153,20.2557582407167,-18.9556402050319,-2.69920708410561,"1052","Diet-infection fat body","Infected_50","Infected diet 50",NA,NA
"1055",27.3985470975316,15.6230167972637,1.46567771350059,-3.6906473058243,"1055","Diet-infection fat body","Infected_50","Infected diet 50",NA,NA
"1058",2.70514156320964,40.3529211185045,-9.73105587951191,-10.1341837889519,"1058","Diet-infection fat body","Infected_50","Infected diet 50",NA,NA
"1014",31.8920606561267,12.8366700979974,18.9131862407701,-1.00209788440854,"1014","Diet-infection fat body","Infected_83","Infected diet 83",NA,NA
"1020",11.8998476841485,10.0739234073477,-31.3657233267917,37.4854834834509,"1020","Diet-infection fat body","Infected_83","Infected diet 83",NA,NA
"1023",-21.0581744222018,55.5569753132697,20.1845879448197,-12.6463250248572,"1023","Diet-infection fat body","Infected_83","Infected diet 83",NA,NA
"1024",53.2873376871716,11.5013251335149,-16.9433189093219,20.8499965113381,"1024","Diet-infection fat body","Infected_83","Infected diet 83",NA,NA
"1029",-19.5072907232068,45.5552214844249,-10.9597416914712,4.48604277003213,"1029","Diet-infection fat body","Infected_83","Infected diet 83",NA,NA
"1050",-24.2985242093731,7.79118712290889,25.1195752887615,-25.5321900985766,"1050","Diet-infection fat body","Infected_83","Infected diet 83",NA,NA
"1003",-22.0619286489821,-27.0564183771878,-24.6277716317928,5.33348554845762,"1003","Diet-infection fat body","Control_33","Control diet 33",NA,NA
"1006",-20.5724058433016,-35.3364564618007,-23.4302283858651,16.5469571498579,"1006","Diet-infection fat body","Control_33","Control diet 33",NA,NA
"1009",-26.6919514832961,-27.79631695818,1.18763149788744,-5.02357891071888,"1009","Diet-infection fat body","Control_33","Control diet 33",NA,NA
"1030",-24.5515678769239,-33.2192397464875,-6.44886268951486,-5.41694223651472,"1030","Diet-infection fat body","Control_33","Control diet 33",NA,NA
"1033",-19.9716632847338,-15.2881581663333,-16.2748267813043,0.429954707558832,"1033","Diet-infection fat body","Control_33","Control diet 33",NA,NA
"1036",28.6963845141255,-36.36985417273,-0.0800216510844935,1.21909177609631,"1036","Diet-infection fat body","Control_33","Control diet 33",NA,NA
"1039",50.7273706027049,-19.3872469076895,24.9363984787722,-32.5468822942638,"1039","Diet-infection fat body","Control_33","Control diet 33",NA,NA
"1004",-23.2314146955245,-26.0599717896674,-16.5684965389833,10.9342042307814,"1004","Diet-infection fat body","Control_50","Control diet 50",NA,NA
"1007",92.7213853818867,-35.1695827490588,6.48180585945343,0.227840083824095,"1007","Diet-infection fat body","Control_50","Control diet 50",NA,NA
"1031",-18.6533592598222,-22.8813953746632,-0.908050849559657,-7.79179851737087,"1031","Diet-infection fat body","Control_50","Control diet 50",NA,NA
"1034",-22.5443444708667,-29.9114280999292,-17.8706028722046,8.80037974941887,"1034","Diet-infection fat body","Control_50","Control diet 50",NA,NA
"1037",103.151456916137,-34.9421920856497,6.10023175115793,-10.0924654488815,"1037","Diet-infection fat body","Control_50","Control diet 50",NA,NA
"1040",-25.6508108029046,-23.9443047640333,7.27132602553898,-25.5633512133522,"1040","Diet-infection fat body","Control_50","Control diet 50",NA,NA
"1002",29.8395216775091,-18.3737197662686,-32.2090964578806,35.3114010778292,"1002","Diet-infection fat body","Control_83","Control diet 83",NA,NA
"1005",-24.4097736162516,-21.38472278315,-18.0236767604702,11.382585081353,"1005","Diet-infection fat body","Control_83","Control diet 83",NA,NA
"1011",-24.3626745752412,-18.2876955050264,6.43442405133408,-4.52291461545022,"1011","Diet-infection fat body","Control_83","Control diet 83",NA,NA
"1032",-9.47101911700451,-29.7601851611907,-3.0128738426464,-5.58690231317848,"1032","Diet-infection fat body","Control_83","Control diet 83",NA,NA
"1035",-4.83993985528427,-12.249959023199,-11.820825039567,8.90357493414466,"1035","Diet-infection fat body","Control_83","Control diet 83",NA,NA
"1038",21.1281834595674,-26.9258090296181,9.93996434506222,-15.7028046267618,"1038","Diet-infection fat body","Control_83","Control diet 83",NA,NA
"1041",-25.5446446870468,-26.3790165209698,7.00657393127411,-11.3769855035581,"1041","Diet-infection fat body","Control_83","Control diet 83",NA,NA
"GREG_G_CCT_11_FAT",-37.2097742603856,-14.7940029316645,75.7611299284346,45.9061521258642,"GREG_G_CCT_11_FAT","Time-course single-pair fat body","Gregarious reference","Gregarious crowded control","Gregarious","Crowded"
"GREG_S_ICT_9_FAT",-37.0092222699185,-13.9110006696271,72.0456052559196,41.8620304586305,"GREG_S_ICT_9_FAT","Time-course single-pair fat body","Solitarious reference","Solitarious isolated control","Solitarious","Isolated"
