"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","pathway_theme","pathway_scope"
"ko00330","Arginine and proline metabolism","13/477","44/3983",0.295454545454545,2.46707642462359,3.60902547418218,0.00136675620322559,0.0586183241623272,0.0586183241623272,"LOC126355053/LOC126339265/LOC126278485/LOC126282460/LOC126284971/LOC126276148/LOC126335036/LOC126337850/LOC126284548/LOC126350022/LOC126281446/LOC126267473/LOC126281672",13,"Diet 50","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00053","Ascorbate and aldarate metabolism","15/477","55/3983",0.272727272727273,2.27730131503716,3.51797562453047,0.0014840082066412,0.0586183241623272,0.0586183241623272,"LOC126277893/LOC126267788/LOC126277896/LOC126341237/LOC126272928/LOC126266657/LOC126354649/LOC126272831/LOC126350022/LOC126336625/LOC126272560/LOC126298400/LOC126281562/LOC126281446/LOC126272926",15,"Diet 50","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko04742","Taste transduction","7/477","17/3983",0.411764705882353,3.4382784560365,3.71565402319156,0.00223772890883916,0.0764535229260539,0.0764535229260539,"LOC126298404/LOC126281810/LOC126281447/LOC126278518/LOC126355973/LOC126355437/LOC126298918",7,"Diet 50","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko04970","Salivary secretion","14/477","52/3983",0.269230769230769,2.24810514433156,3.34122086372035,0.00241941528247006,0.0764535229260539,0.0764535229260539,"LOC126271975/LOC126339265/LOC126353956/LOC126335781/LOC126267876/LOC126353858/LOC126361668/LOC126322572/LOC126272361/LOC126355586/LOC126284350/LOC126281618/LOC126298918/LOC126281608",14,"Diet 50","KEGG_pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko01230","Biosynthesis of amino acids","16/477","64/3983",0.25,2.08752620545073,3.23478892410487,0.00280320783513405,0.0805285159911237,0.0805285159911237,"LOC126335505/LOC126282460/LOC126298221/LOC126325353/LOC126284898/LOC126334596/LOC126276148/LOC126282346/LOC126281532/LOC126268518/LOC126335242/LOC126274964/LOC126278447/LOC126293368/LOC126267473/LOC126354590",16,"Diet 50","KEGG_pathway","Amino acid and nitrogen metabolism","Broad KEGG reference map"
"ko05146","Amoebiasis","11/477","38/3983",0.289473684210526,2.41713560631138,3.23730461282372,0.00377435041886828,0.096694012805808,0.096694012805808,"LOC126335547/LOC126335546/LOC126282460/LOC126282030/LOC126267772/LOC126266752/LOC126335544/LOC126267773/LOC126335545/LOC126281608/LOC126299287",11,"Diet 50","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko00980","Metabolism of xenobiotics by cytochrome P450","20/477","90/3983",0.222222222222222,1.85557884928954,3.02790994376067,0.0039779182483402,0.096694012805808,0.096694012805808,"LOC126267788/LOC126281410/LOC126336730/LOC126336692/LOC126293679/LOC126341237/LOC126282396/LOC126272928/LOC126336695/LOC126354649/LOC126272724/LOC126272831/LOC126336625/LOC126272560/LOC126282422/LOC126293680/LOC126281404/LOC126281562/LOC126272926/LOC126281694",20,"Diet 50","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00981","Insect hormone biosynthesis","8/477","24/3983",0.333333333333333,2.78336827393431,3.23189890748441,0.00511706805237031,0.0995197638242219,0.0995197638242219,"LOC126282181/LOC126293679/LOC126270657/LOC126320178/LOC126299150/LOC126305900/LOC126293680/LOC126281446",8,"Diet 50","KEGG_pathway","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko00410","beta-Alanine metabolism","9/477","29/3983",0.310344827586207,2.59141184124919,3.17224786049968,0.00517793489084956,0.0995197638242219,0.0995197638242219,"LOC126335256/LOC126297821/LOC126354995/LOC126337850/LOC126284548/LOC126350022/LOC126268126/LOC126281446/LOC126298632",9,"Diet 50","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04713","Circadian entrainment","12/477","45/3983",0.266666666666667,2.22669461914745,3.05217002396665,0.00528568621161502,0.0995197638242219,0.0995197638242219,"LOC126355582/LOC126339265/LOC126335781/LOC126353858/LOC126334818/LOC126336038/LOC126355586/LOC126298972/LOC126284350/LOC126281618/LOC126281608/LOC126365874",12,"Diet 50","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko04341","Hedgehog signaling pathway - fly","16/477","68/3983",0.235294117647059,1.96473054630657,2.95936453193813,0.00535391134497396,0.0995197638242219,0.0995197638242219,"LOC126278128/LOC126291991/LOC126284645/LOC126295191/LOC126297907/LOC126281663/LOC126295382/LOC126294945/LOC126297745/LOC126294949/LOC126295040/LOC126295425/LOC126278442/LOC126294955/LOC126267315/LOC126292145",16,"Diet 50","KEGG_pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko00350","Tyrosine metabolism","8/273","29/3983",0.275862068965517,4.02475685234306,4.43420872614738,0.000530673389840385,0.0871339832230785,0.0871339832230785,"LOC126353933/LOC126365745/LOC126283954/LOC126271955/LOC126333363/LOC126272715/LOC126281954/LOC126336714",8,"Diet 83","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04978","Mineral absorption","6/273","17/3983",0.352941176470588,5.14932126696833,4.65018428655313,0.000637352386067988,0.0871339832230785,0.0871339832230785,"LOC126282259/LOC126283953/LOC126297555/LOC126322572/LOC126298067/LOC126354186",6,"Diet 83","KEGG_pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko01110","Biosynthesis of secondary metabolites","38/273","331/3983",0.114803625377644,1.6749554574328,3.47831349923211,0.000827221359712771,0.0871339832230785,0.0871339832230785,"LOC126285378/LOC126354995/LOC126335182/LOC126297581/LOC126298865/LOC126281958/LOC126339265/LOC126272831/LOC126334891/LOC126271955/LOC126352958/LOC126299546/LOC126324953/LOC126281562/LOC126365941/LOC126272560/LOC126293404/LOC126267473/LOC126283383/LOC126361126/LOC126268218/LOC126365957/LOC126356152/LOC126297494/LOC126281532/LOC126336244/LOC126335505/LOC126333363/LOC126284002/LOC126278485/LOC126281265/LOC126356050/LOC126281954/LOC126341660/LOC126336379/LOC126281446/LOC126312349/LOC126284812",38,"Diet 83","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
