"DEG_set","contrast_id","result_file","modified"
"Diet 33","infection_diet33","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv",2026-08-06 00:46:42.021748
"Diet 50","infection_diet50","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv",2026-08-06 00:46:42.021748
"Diet 83","infection_diet83","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv",2026-08-06 00:46:42.021748
