"term","gene"
"ko05418","LOC126276695"
"ko04142","LOC126276856"
"ko05202","LOC126276893"
"ko04340","LOC126277185"
"ko04341","LOC126277185"
"ko05200","LOC126277185"
"ko05217","LOC126277185"
"ko00510","LOC126277063"
"ko01100","LOC126277063"
"ko04141","LOC126277063"
"ko00350","LOC126277367"
"ko01100","LOC126277367"
"ko01120","LOC126277367"
"ko04114","LOC126277300"
"ko04120","LOC126277300"
"ko04218","LOC126277300"
"ko04310","LOC126277300"
"ko04340","LOC126277300"
"ko04341","LOC126277300"
"ko04390","LOC126277300"
"ko04624","LOC126277300"
"ko04710","LOC126277300"
"ko05131","LOC126277300"
"ko04080","LOC126277750"
"ko04961","LOC126277750"
"ko04080","LOC126311686"
"ko04961","LOC126311686"
"ko04080","LOC126277867"
"ko04961","LOC126277867"
"ko04010","LOC126277886"
"ko04062","LOC126277886"
"ko04144","LOC126277886"
"ko04340","LOC126277886"
"ko04740","LOC126277886"
"ko04926","LOC126277886"
"ko05032","LOC126277886"
"ko05164","LOC126277939"
"ko00270","LOC126284097"
"ko01100","LOC126284097"
"ko05206","LOC126284097"
"ko00190","LOC126278131"
"ko01100","LOC126278131"
"ko04714","LOC126278131"
"ko04723","LOC126278131"
"ko04932","LOC126278131"
"ko05010","LOC126278131"
"ko05012","LOC126278131"
"ko05016","LOC126278131"
"ko00330","LOC126278249"
"ko01100","LOC126278249"
"ko00270","LOC126278285"
"ko01100","LOC126278285"
"ko04150","LOC126278300"
"ko03015","LOC126278328"
"ko04919","LOC126278355"
"ko00280","LOC126278342"
"ko00410","LOC126278342"
"ko00640","LOC126278342"
"ko01100","LOC126278342"
"ko01200","LOC126278342"
"ko04141","LOC126278414"
"ko05134","LOC126278414"
"ko00270","LOC126278447"
"ko01100","LOC126278447"
"ko01110","LOC126278447"
"ko01230","LOC126278447"
"ko04080","LOC126311851"
"ko04270","LOC126311851"
"ko04934","LOC126311851"
"ko00564","LOC126312183"
"ko00565","LOC126312183"
"ko00590","LOC126312183"
"ko00591","LOC126312183"
"ko00592","LOC126312183"
"ko01100","LOC126312183"
"ko01110","LOC126312183"
"ko04977","LOC126312183"
"ko00564","LOC126312349"
"ko00565","LOC126312349"
"ko00590","LOC126312349"
"ko00591","LOC126312349"
"ko00592","LOC126312349"
"ko01100","LOC126312349"
"ko01110","LOC126312349"
"ko04977","LOC126312349"
"ko04080","LOC126284506"
"ko00900","LOC126278539"
"ko01100","LOC126278539"
"ko01110","LOC126278539"
"ko01130","LOC126278539"
"ko04120","LOC126278569"
"ko04530","LOC126278637"
"ko04810","LOC126278637"
"ko05205","LOC126278637"
"ko05206","LOC126278637"
"ko04010","LOC126278658"
"ko04013","LOC126278658"
"ko04624","LOC126278658"
"ko04912","LOC126278658"
"ko00230","LOC126278671"
"ko00240","LOC126278671"
"ko00983","LOC126278671"
"ko01100","LOC126278671"
"ko01110","LOC126278671"
"ko01130","LOC126278671"
"ko04016","LOC126278671"
"ko01524","LOC126278688"
"ko04010","LOC126278688"
"ko04013","LOC126278688"
"ko04071","LOC126278688"
"ko04141","LOC126278688"
"ko04210","LOC126278688"
"ko04214","LOC126278688"
"ko04530","LOC126278688"
"ko04668","LOC126278688"
"ko04714","LOC126278688"
"ko04722","LOC126278688"
"ko04932","LOC126278688"
"ko05014","LOC126278688"
"ko05418","LOC126278688"
"ko04391","LOC126278786"
"ko04392","LOC126278786"
"ko04013","LOC126278847"
"ko04120","LOC126278847"
"ko04141","LOC126278847"
"ko04624","LOC126278847"
"ko04142","LOC126278875"
"ko04013","LOC126278886"
"ko04391","LOC126278886"
"ko04024","LOC126278936"
"ko04080","LOC126278936"
"ko04971","LOC126278936"
"ko00230","LOC126278966"
"ko04022","LOC126278966"
"ko04024","LOC126278966"
"ko04270","LOC126278966"
"ko04714","LOC126278966"
"ko04921","LOC126278966"
"ko04923","LOC126278966"
"ko04924","LOC126278966"
"ko04925","LOC126278966"
"ko04371","LOC126278997"
"ko04933","LOC126278997"
"ko05020","LOC126278997"
"ko05166","LOC126278997"
"ko04360","LOC126285417"
"ko04745","LOC126285417"
"ko03030","LOC126279028"
"ko03420","LOC126279028"
"ko03430","LOC126279028"
"ko00920","LOC126279034"
"ko04137","LOC126279070"
"ko00230","LOC126279087"
"ko03018","LOC126279087"
"ko04142","LOC126279076"
"ko04068","LOC126279111"
"ko04110","LOC126279111"
"ko04120","LOC126279111"
"ko04150","LOC126279111"
"ko05168","LOC126279111"
"ko05169","LOC126279111"
"ko05200","LOC126279111"
"ko05203","LOC126279111"
"ko05222","LOC126279111"
"ko00910","LOC126279122"
"ko04728","LOC126279247"
"ko05012","LOC126279247"
"ko05030","LOC126279247"
"ko05031","LOC126279247"
"ko05034","LOC126279247"
"ko04020","LOC126279309"
"ko04024","LOC126279309"
"ko04611","LOC126279309"
"ko04924","LOC126279309"
"ko04925","LOC126279309"
"ko04927","LOC126279309"
"ko04934","LOC126279309"
"ko05340","LOC126279309"
"ko04212","LOC126279690"
"ko04919","LOC126279877"
"ko00230","LOC126280889"
"ko00240","LOC126280889"
"ko01100","LOC126280889"
"ko03030","LOC126280889"
"ko03320","LOC126313578"
"ko03013","LOC126281201"
"ko00061","LOC126314017"
"ko00780","LOC126314017"
"ko01100","LOC126314017"
"ko01212","LOC126314017"
"ko03040","LOC126281244"
"ko04010","LOC126281256"
"ko04015","LOC126281256"
"ko04530","LOC126281256"
"ko03010","LOC126281450"
"ko04962","LOC126281442"
"ko05016","LOC126281442"
"ko04139","LOC126281423"
"ko00563","LOC126314181"
"ko01100","LOC126314181"
"ko00510","LOC126281481"
"ko00513","LOC126281481"
"ko01100","LOC126281481"
"ko04141","LOC126281481"
"ko04144","LOC126281501"
"ko04145","LOC126281570"
"ko04210","LOC126281570"
"ko04530","LOC126281570"
"ko04540","LOC126281570"
"ko05130","LOC126281570"
"ko04145","LOC126281578"
"ko04210","LOC126281578"
"ko04530","LOC126281578"
"ko04540","LOC126281578"
"ko05130","LOC126281578"
"ko04962","LOC126281586"
"ko01521","LOC126281601"
"ko01522","LOC126281601"
"ko04010","LOC126281601"
"ko04012","LOC126281601"
"ko04013","LOC126281601"
"ko04015","LOC126281601"
"ko04024","LOC126281601"
"ko04062","LOC126281601"
"ko04068","LOC126281601"
"ko04150","LOC126281601"
"ko04214","LOC126281601"
"ko04270","LOC126281601"
"ko04320","LOC126281601"
"ko04510","LOC126281601"
"ko04650","LOC126281601"
"ko04720","LOC126281601"
"ko04722","LOC126281601"
"ko04726","LOC126281601"
"ko04730","LOC126281601"
"ko04810","LOC126281601"
"ko04910","LOC126281601"
"ko04914","LOC126281601"
"ko04934","LOC126281601"
"ko05034","LOC126281601"
"ko05160","LOC126281601"
"ko05200","LOC126281601"
"ko05205","LOC126281601"
"ko05210","LOC126281601"
"ko05211","LOC126281601"
"ko05212","LOC126281601"
"ko05213","LOC126281601"
"ko05214","LOC126281601"
"ko05215","LOC126281601"
"ko05216","LOC126281601"
"ko05218","LOC126281601"
"ko05219","LOC126281601"
"ko05220","LOC126281601"
"ko05221","LOC126281601"
"ko05223","LOC126281601"
"ko05224","LOC126281601"
"ko05225","LOC126281601"
"ko05226","LOC126281601"
"ko01521","LOC126281608"
"ko04010","LOC126281608"
"ko04011","LOC126281608"
"ko04012","LOC126281608"
"ko04014","LOC126281608"
"ko04015","LOC126281608"
"ko04020","LOC126281608"
"ko04066","LOC126281608"
"ko04070","LOC126281608"
"ko04071","LOC126281608"
"ko04072","LOC126281608"
"ko04139","LOC126281608"
"ko04150","LOC126281608"
"ko04151","LOC126281608"
"ko04261","LOC126281608"
"ko04270","LOC126281608"
"ko04310","LOC126281608"
"ko04360","LOC126281608"
"ko04370","LOC126281608"
"ko04510","LOC126281608"
"ko04540","LOC126281608"
"ko04650","LOC126281608"
"ko04664","LOC126281608"
"ko04666","LOC126281608"
"ko04670","LOC126281608"
"ko04713","LOC126281608"
"ko04720","LOC126281608"
"ko04723","LOC126281608"
"ko04724","LOC126281608"
"ko04725","LOC126281608"
"ko04726","LOC126281608"
"ko04727","LOC126281608"
"ko04728","LOC126281608"
"ko04730","LOC126281608"
"ko04745","LOC126281608"
"ko04750","LOC126281608"
"ko04911","LOC126281608"
"ko04912","LOC126281608"
"ko04916","LOC126281608"
"ko04918","LOC126281608"
"ko04919","LOC126281608"
"ko04921","LOC126281608"
"ko04925","LOC126281608"
"ko04926","LOC126281608"
"ko04933","LOC126281608"
"ko04960","LOC126281608"
"ko04961","LOC126281608"
"ko04970","LOC126281608"
"ko04971","LOC126281608"
"ko04972","LOC126281608"
"ko05031","LOC126281608"
"ko05032","LOC126281608"
"ko05110","LOC126281608"
"ko05130","LOC126281608"
"ko05143","LOC126281608"
"ko05146","LOC126281608"
"ko05161","LOC126281608"
"ko05164","LOC126281608"
"ko05200","LOC126281608"
"ko05205","LOC126281608"
"ko05206","LOC126281608"
"ko05214","LOC126281608"
"ko05223","LOC126281608"
"ko05225","LOC126281608"
"ko05231","LOC126281608"
"ko04214","LOC126281715"
"ko04215","LOC126281715"
"ko04210","LOC126281729"
"ko04214","LOC126281729"
"ko04215","LOC126281729"
"ko04668","LOC126281729"
"ko04932","LOC126281729"
"ko05010","LOC126281729"
"ko05133","LOC126281729"
"ko05134","LOC126281729"
"ko05200","LOC126281729"
"ko04210","LOC126281770"
"ko04214","LOC126281770"
"ko04215","LOC126281770"
"ko04668","LOC126281770"
"ko04932","LOC126281770"
"ko05010","LOC126281770"
"ko05133","LOC126281770"
"ko05134","LOC126281770"
"ko05200","LOC126281770"
"ko04210","LOC126281786"
"ko04214","LOC126281786"
"ko04215","LOC126281786"
"ko04668","LOC126281786"
"ko04932","LOC126281786"
"ko05010","LOC126281786"
"ko05133","LOC126281786"
"ko05134","LOC126281786"
"ko05200","LOC126281786"
"ko00511","LOC126281792"
"ko04142","LOC126281792"
"ko04146","LOC126281821"
"ko00600","LOC126281858"
"ko01100","LOC126281858"
"ko04071","LOC126281858"
"ko01521","LOC126281905"
"ko04062","LOC126281905"
"ko04068","LOC126281905"
"ko04137","LOC126281905"
"ko04151","LOC126281905"
"ko04152","LOC126281905"
"ko04211","LOC126281905"
"ko04212","LOC126281905"
"ko04213","LOC126281905"
"ko04218","LOC126281905"
"ko04722","LOC126281905"
"ko04917","LOC126281905"
"ko05213","LOC126281905"
"ko05223","LOC126281905"
"ko04214","LOC126281947"
"ko00010","LOC126281954"
"ko00071","LOC126281954"
"ko00350","LOC126281954"
"ko00625","LOC126281954"
"ko00626","LOC126281954"
"ko00680","LOC126281954"
"ko00830","LOC126281954"
"ko00980","LOC126281954"
"ko00982","LOC126281954"
"ko01100","LOC126281954"
"ko01110","LOC126281954"
"ko01120","LOC126281954"
"ko01130","LOC126281954"
"ko01200","LOC126281954"
"ko01220","LOC126281954"
"ko05204","LOC126281954"
"ko00190","LOC126281968"
"ko03010","LOC126282018"
"ko00040","LOC126282026"
"ko01100","LOC126282026"
"ko01523","LOC126282030"
"ko04010","LOC126282030"
"ko04014","LOC126282030"
"ko04024","LOC126282030"
"ko04062","LOC126282030"
"ko04064","LOC126282030"
"ko04066","LOC126282030"
"ko04071","LOC126282030"
"ko04151","LOC126282030"
"ko04210","LOC126282030"
"ko04211","LOC126282030"
"ko04218","LOC126282030"
"ko04380","LOC126282030"
"ko04620","LOC126282030"
"ko04621","LOC126282030"
"ko04622","LOC126282030"
"ko04623","LOC126282030"
"ko04624","LOC126282030"
"ko04657","LOC126282030"
"ko04658","LOC126282030"
"ko04659","LOC126282030"
"ko04660","LOC126282030"
"ko04662","LOC126282030"
"ko04668","LOC126282030"
"ko04722","LOC126282030"
"ko04917","LOC126282030"
"ko04920","LOC126282030"
"ko04926","LOC126282030"
"ko04931","LOC126282030"
"ko04932","LOC126282030"
"ko04933","LOC126282030"
"ko05030","LOC126282030"
"ko05120","LOC126282030"
"ko05131","LOC126282030"
"ko05132","LOC126282030"
"ko05133","LOC126282030"
"ko05134","LOC126282030"
"ko05140","LOC126282030"
"ko05142","LOC126282030"
"ko05145","LOC126282030"
"ko05146","LOC126282030"
"ko05152","LOC126282030"
"ko05160","LOC126282030"
"ko05161","LOC126282030"
"ko05162","LOC126282030"
"ko05164","LOC126282030"
"ko05165","LOC126282030"
"ko05166","LOC126282030"
"ko05167","LOC126282030"
"ko05168","LOC126282030"
"ko05169","LOC126282030"
"ko05200","LOC126282030"
"ko05202","LOC126282030"
"ko05203","LOC126282030"
"ko05206","LOC126282030"
"ko05212","LOC126282030"
"ko05215","LOC126282030"
"ko05220","LOC126282030"
"ko05221","LOC126282030"
"ko05222","LOC126282030"
"ko05224","LOC126282030"
"ko05321","LOC126282030"
"ko05418","LOC126282030"
"ko00190","LOC126282078"
"ko01100","LOC126282078"
"ko04714","LOC126282078"
"ko04723","LOC126282078"
"ko04932","LOC126282078"
"ko05010","LOC126282078"
"ko05012","LOC126282078"
"ko05016","LOC126282078"
"ko04145","LOC126282064"
"ko04210","LOC126282064"
"ko04530","LOC126282064"
"ko04540","LOC126282064"
"ko05130","LOC126282064"
"ko03040","LOC126282192"
"ko04217","LOC126282271"
"ko05034","LOC126282271"
"ko05322","LOC126282271"
"ko03010","LOC126282277"
"ko03013","LOC126282287"
"ko01521","LOC126282363"
"ko01522","LOC126282363"
"ko01524","LOC126282363"
"ko04010","LOC126282363"
"ko04011","LOC126282363"
"ko04012","LOC126282363"
"ko04013","LOC126282363"
"ko04014","LOC126282363"
"ko04015","LOC126282363"
"ko04022","LOC126282363"
"ko04024","LOC126282363"
"ko04062","LOC126282363"
"ko04066","LOC126282363"
"ko04068","LOC126282363"
"ko04071","LOC126282363"
"ko04072","LOC126282363"
"ko04114","LOC126282363"
"ko04140","LOC126282363"
"ko04150","LOC126282363"
"ko04151","LOC126282363"
"ko04210","LOC126282363"
"ko04214","LOC126282363"
"ko04218","LOC126282363"
"ko04261","LOC126282363"
"ko04270","LOC126282363"
"ko04320","LOC126282363"
"ko04350","LOC126282363"
"ko04360","LOC126282363"
"ko04370","LOC126282363"
"ko04371","LOC126282363"
"ko04380","LOC126282363"
"ko04510","LOC126282363"
"ko04520","LOC126282363"
"ko04540","LOC126282363"
"ko04550","LOC126282363"
"ko04611","LOC126282363"
"ko04620","LOC126282363"
"ko04621","LOC126282363"
"ko04650","LOC126282363"
"ko04657","LOC126282363"
"ko04658","LOC126282363"
"ko04659","LOC126282363"
"ko04660","LOC126282363"
"ko04662","LOC126282363"
"ko04664","LOC126282363"
"ko04666","LOC126282363"
"ko04668","LOC126282363"
"ko04713","LOC126282363"
"ko04720","LOC126282363"
"ko04722","LOC126282363"
"ko04723","LOC126282363"
"ko04724","LOC126282363"
"ko04725","LOC126282363"
"ko04726","LOC126282363"
"ko04730","LOC126282363"
"ko04810","LOC126282363"
"ko04910","LOC126282363"
"ko04912","LOC126282363"
"ko04914","LOC126282363"
"ko04915","LOC126282363"
"ko04916","LOC126282363"
"ko04917","LOC126282363"
"ko04919","LOC126282363"
"ko04921","LOC126282363"
"ko04926","LOC126282363"
"ko04930","LOC126282363"
"ko04933","LOC126282363"
"ko04934","LOC126282363"
"ko04960","LOC126282363"
"ko05010","LOC126282363"
"ko05020","LOC126282363"
"ko05034","LOC126282363"
"ko05131","LOC126282363"
"ko05132","LOC126282363"
"ko05133","LOC126282363"
"ko05140","LOC126282363"
"ko05142","LOC126282363"
"ko05145","LOC126282363"
"ko05152","LOC126282363"
"ko05160","LOC126282363"
"ko05161","LOC126282363"
"ko05164","LOC126282363"
"ko05165","LOC126282363"
"ko05167","LOC126282363"
"ko05200","LOC126282363"
"ko05203","LOC126282363"
"ko05205","LOC126282363"
"ko05210","LOC126282363"
"ko05211","LOC126282363"
"ko05212","LOC126282363"
"ko05213","LOC126282363"
"ko05214","LOC126282363"
"ko05215","LOC126282363"
"ko05216","LOC126282363"
"ko05218","LOC126282363"
"ko05219","LOC126282363"
"ko05220","LOC126282363"
"ko05221","LOC126282363"
"ko05223","LOC126282363"
"ko05224","LOC126282363"
"ko05225","LOC126282363"
"ko05226","LOC126282363"
"ko05230","LOC126282363"
"ko05231","LOC126282363"
"ko04110","LOC126282371"
"ko04114","LOC126282371"
"ko04115","LOC126282371"
"ko04218","LOC126282371"
"ko04540","LOC126282371"
"ko04914","LOC126282371"
"ko05168","LOC126282371"
"ko05169","LOC126282371"
"ko05203","LOC126282371"
"ko03040","LOC126282382"
"ko00480","LOC126282422"
"ko00590","LOC126282422"
"ko00980","LOC126282422"
"ko00982","LOC126282422"
"ko01100","LOC126282422"
"ko05204","LOC126282422"
"ko00220","LOC126282460"
"ko00330","LOC126282460"
"ko01100","LOC126282460"
"ko01110","LOC126282460"
"ko01130","LOC126282460"
"ko01230","LOC126282460"
"ko05146","LOC126282460"
"ko03440","LOC126282552"
"ko03460","LOC126282552"
"ko04217","LOC126282761"
"ko05034","LOC126282761"
"ko05322","LOC126282761"
"ko03018","LOC126282782"
"ko00563","LOC126282809"
"ko01100","LOC126282809"
"ko04080","LOC126282953"
"ko04972","LOC126282953"
"ko04974","LOC126282953"
"ko05164","LOC126282953"
"ko04142","LOC126283162"
"ko04080","LOC126283194"
"ko04972","LOC126283194"
"ko04974","LOC126283194"
"ko05164","LOC126283194"
"ko00860","LOC126283278"
"ko01100","LOC126283278"
"ko01110","LOC126283278"
"ko03022","LOC126283347"
"ko05168","LOC126283347"
"ko03008","LOC126283331"
"ko00190","LOC126283383"
"ko00860","LOC126283383"
"ko01100","LOC126283383"
"ko01110","LOC126283383"
"ko04714","LOC126283383"
"ko00140","LOC126283409"
"ko01100","LOC126283409"
"ko04913","LOC126283409"
"ko04925","LOC126283409"
"ko04927","LOC126283409"
"ko04934","LOC126283409"
"ko03015","LOC126283425"
"ko01524","LOC126283521"
"ko03420","LOC126283521"
"ko03460","LOC126283521"
"ko04144","LOC126283505"
"ko00430","LOC126283788"
"ko00460","LOC126283788"
"ko00480","LOC126283788"
"ko00590","LOC126283788"
"ko01100","LOC126283788"
"ko04144","LOC126283947"
"ko03008","LOC126283976"
"ko00430","LOC126283998"
"ko00460","LOC126283998"
"ko00480","LOC126283998"
"ko00590","LOC126283998"
"ko01100","LOC126283998"
"ko00430","LOC126283989"
"ko00460","LOC126283989"
"ko00480","LOC126283989"
"ko00590","LOC126283989"
"ko01100","LOC126283989"
"ko00130","LOC126284065"
"ko01110","LOC126284065"
"ko04530","LOC126284113"
"ko04141","LOC126284200"
"ko04151","LOC126284200"
"ko04217","LOC126284200"
"ko04612","LOC126284200"
"ko04621","LOC126284200"
"ko04626","LOC126284200"
"ko04657","LOC126284200"
"ko04659","LOC126284200"
"ko04914","LOC126284200"
"ko04915","LOC126284200"
"ko05200","LOC126284200"
"ko05215","LOC126284200"
"ko05418","LOC126284200"
"ko03013","LOC126284342"
"ko03040","LOC126284342"
"ko03010","LOC126317094"
"ko04210","LOC126284583"
"ko04214","LOC126284583"
"ko04215","LOC126284583"
"ko04668","LOC126284583"
"ko04932","LOC126284583"
"ko05010","LOC126284583"
"ko05133","LOC126284583"
"ko05134","LOC126284583"
"ko05200","LOC126284583"
"ko00531","LOC126284570"
"ko01100","LOC126284570"
"ko04142","LOC126284570"
"ko04212","LOC126284680"
"ko04010","LOC126284700"
"ko04064","LOC126284700"
"ko04620","LOC126284700"
"ko04621","LOC126284700"
"ko04624","LOC126284700"
"ko05132","LOC126284700"
"ko05133","LOC126284700"
"ko05134","LOC126284700"
"ko05140","LOC126284700"
"ko05142","LOC126284700"
"ko05143","LOC126284700"
"ko05144","LOC126284700"
"ko05145","LOC126284700"
"ko05152","LOC126284700"
"ko05161","LOC126284700"
"ko05162","LOC126284700"
"ko05164","LOC126284700"
"ko05168","LOC126284700"
"ko00564","LOC126284717"
"ko01100","LOC126284717"
"ko05166","LOC126284735"
"ko00532","LOC126317480"
"ko01100","LOC126317480"
"ko00511","LOC126284816"
"ko04142","LOC126284816"
"ko00511","LOC126284807"
"ko04142","LOC126284807"
"ko03440","LOC126284798"
"ko00190","LOC126336210"
"ko01100","LOC126336210"
"ko04714","LOC126336210"
"ko04723","LOC126336210"
"ko05012","LOC126336210"
"ko04310","LOC126332375"
"ko04391","LOC126332375"
"ko04310","LOC126336241"
"ko04391","LOC126336241"
"ko00071","LOC126336244"
"ko00072","LOC126336244"
"ko00280","LOC126336244"
"ko00310","LOC126336244"
"ko00362","LOC126336244"
"ko00380","LOC126336244"
"ko00620","LOC126336244"
"ko00630","LOC126336244"
"ko00640","LOC126336244"
"ko00650","LOC126336244"
"ko00720","LOC126336244"
"ko00900","LOC126336244"
"ko01100","LOC126336244"
"ko01110","LOC126336244"
"ko01120","LOC126336244"
"ko01130","LOC126336244"
"ko01200","LOC126336244"
"ko01212","LOC126336244"
"ko02020","LOC126336244"
"ko04340","LOC126336308"
"ko04341","LOC126336308"
"ko04080","LOC126334547"
"ko04934","LOC126334547"
"ko04080","LOC126335601"
"ko04934","LOC126335601"
"ko04612","LOC126335596"
"ko05016","LOC126336262"
"ko04120","LOC126336264"
"ko04141","LOC126336264"
"ko04150","LOC126336276"
"ko04010","LOC126336284"
"ko04510","LOC126336284"
"ko05132","LOC126336284"
"ko05205","LOC126336284"
"ko04977","LOC126336285"
"ko00073","LOC126336286"
"ko04146","LOC126336286"
"ko04212","LOC126336286"
"ko04013","LOC126336295"
"ko04310","LOC126336295"
"ko03022","LOC126336297"
"ko03022","LOC126336298"
"ko05168","LOC126336298"
"ko03050","LOC126336299"
"ko05169","LOC126336299"
"ko04020","LOC126336301"
"ko04080","LOC126336301"
"ko04540","LOC126336301"
"ko04726","LOC126336301"
"ko04750","LOC126336301"
"ko04120","LOC126336313"
"ko00730","LOC126336316"
"ko01100","LOC126336316"
"ko00072","LOC126336344"
"ko00280","LOC126336344"
"ko00281","LOC126336344"
"ko00650","LOC126336344"
"ko01100","LOC126336344"
"ko04146","LOC126336344"
"ko00563","LOC126336350"
"ko01100","LOC126336350"
"ko04120","LOC126336352"
"ko03050","LOC126336357"
"ko00190","LOC126336371"
"ko01100","LOC126336371"
"ko04714","LOC126336371"
"ko04723","LOC126336371"
"ko04932","LOC126336371"
"ko05010","LOC126336371"
"ko05012","LOC126336371"
"ko05016","LOC126336371"
"ko04142","LOC126336375"
"ko00565","LOC126336379"
"ko01100","LOC126336379"
"ko01110","LOC126336379"
"ko01130","LOC126336379"
"ko00564","LOC126336382"
"ko01100","LOC126336382"
"ko04110","LOC126336385"
"ko04111","LOC126336385"
"ko04113","LOC126336385"
"ko04114","LOC126336385"
"ko04120","LOC126336385"
"ko04914","LOC126336385"
"ko05166","LOC126336385"
"ko00562","LOC126335644"
"ko01100","LOC126335644"
"ko04070","LOC126335644"
"ko04010","LOC126336396"
"ko04013","LOC126336396"
"ko04064","LOC126336396"
"ko04140","LOC126336396"
"ko04152","LOC126336396"
"ko04214","LOC126336396"
"ko04310","LOC126336396"
"ko04380","LOC126336396"
"ko04520","LOC126336396"
"ko04620","LOC126336396"
"ko04621","LOC126336396"
"ko04622","LOC126336396"
"ko04624","LOC126336396"
"ko04657","LOC126336396"
"ko04660","LOC126336396"
"ko04668","LOC126336396"
"ko05140","LOC126336396"
"ko05145","LOC126336396"
"ko05162","LOC126336396"
"ko05168","LOC126336396"
"ko05169","LOC126336396"
"ko05418","LOC126336396"
"ko04340","LOC126336402"
"ko04341","LOC126336402"
"ko04360","LOC126336402"
"ko05200","LOC126336402"
"ko05205","LOC126336402"
"ko05217","LOC126336402"
"ko00190","LOC126336404"
"ko01100","LOC126336404"
"ko04142","LOC126336404"
"ko04145","LOC126336404"
"ko04150","LOC126336404"
"ko04721","LOC126336404"
"ko05110","LOC126336404"
"ko05120","LOC126336404"
"ko05152","LOC126336404"
"ko05323","LOC126336404"
"ko00564","LOC126336405"
"ko00565","LOC126336405"
"ko00590","LOC126336405"
"ko00591","LOC126336405"
"ko00592","LOC126336405"
"ko01100","LOC126336405"
"ko01110","LOC126336405"
"ko04014","LOC126336405"
"ko04270","LOC126336405"
"ko04972","LOC126336405"
"ko04975","LOC126336405"
"ko05010","LOC126336423"
"ko05030","LOC126336423"
"ko00230","LOC126336438"
"ko01100","LOC126336438"
"ko04141","LOC126336448"
"ko05016","LOC126336485"
"ko00910","LOC126336492"
"ko00910","LOC126335603"
"ko00330","LOC126336500"
"ko01100","LOC126336500"
"ko00600","LOC126336504"
"ko01100","LOC126336504"
"ko04071","LOC126336504"
"ko00600","LOC126336506"
"ko01100","LOC126336506"
"ko04071","LOC126336506"
"ko04080","LOC126335674"
"ko03040","LOC126336517"
"ko04310","LOC126336521"
"ko04391","LOC126336521"
"ko04013","LOC126336522"
"ko00562","LOC126336552"
"ko01521","LOC126336552"
"ko04068","LOC126336552"
"ko04070","LOC126336552"
"ko04071","LOC126336552"
"ko04115","LOC126336552"
"ko04140","LOC126336552"
"ko04150","LOC126336552"
"ko04151","LOC126336552"
"ko04212","LOC126336552"
"ko04218","LOC126336552"
"ko04510","LOC126336552"
"ko04931","LOC126336552"
"ko05161","LOC126336552"
"ko05165","LOC126336552"
"ko05200","LOC126336552"
"ko05206","LOC126336552"
"ko05213","LOC126336552"
"ko05214","LOC126336552"
"ko05215","LOC126336552"
"ko05218","LOC126336552"
"ko05222","LOC126336552"
"ko05224","LOC126336552"
"ko05225","LOC126336552"
"ko05230","LOC126336552"
"ko03008","LOC126336575"
"ko03013","LOC126336575"
"ko04810","LOC126335681"
"ko04810","LOC126335682"
"ko04390","LOC126336587"
"ko04391","LOC126336587"
"ko04530","LOC126336587"
"ko04660","LOC126336587"
"ko05165","LOC126336587"
"ko05166","LOC126336587"
"ko05203","LOC126336587"
"ko03440","LOC126336591"
"ko00561","LOC126336611"
"ko00564","LOC126336611"
"ko01100","LOC126336611"
"ko01110","LOC126336611"
"ko04070","LOC126336611"
"ko04072","LOC126336611"
"ko05231","LOC126336611"
"ko04136","LOC126336623"
"ko04138","LOC126336623"
"ko04140","LOC126336623"
"ko00040","LOC126336625"
"ko00053","LOC126336625"
"ko00140","LOC126336625"
"ko00830","LOC126336625"
"ko00860","LOC126336625"
"ko00980","LOC126336625"
"ko00982","LOC126336625"
"ko00983","LOC126336625"
"ko01100","LOC126336625"
"ko01110","LOC126336625"
"ko05204","LOC126336625"
"ko00040","LOC126336627"
"ko00053","LOC126336627"
"ko00140","LOC126336627"
"ko00830","LOC126336627"
"ko00860","LOC126336627"
"ko00980","LOC126336627"
"ko00982","LOC126336627"
"ko00983","LOC126336627"
"ko01100","LOC126336627"
"ko01110","LOC126336627"
"ko05204","LOC126336627"
"ko00040","LOC126336628"
"ko00053","LOC126336628"
"ko00140","LOC126336628"
"ko00830","LOC126336628"
"ko00860","LOC126336628"
"ko00980","LOC126336628"
"ko00982","LOC126336628"
"ko00983","LOC126336628"
"ko01100","LOC126336628"
"ko01110","LOC126336628"
"ko05204","LOC126336628"
"ko00040","LOC126336630"
"ko00053","LOC126336630"
"ko00140","LOC126336630"
"ko00830","LOC126336630"
"ko00860","LOC126336630"
"ko00980","LOC126336630"
"ko00982","LOC126336630"
"ko00983","LOC126336630"
"ko01100","LOC126336630"
"ko01110","LOC126336630"
"ko05204","LOC126336630"
"ko00040","LOC126336632"
"ko00053","LOC126336632"
"ko00140","LOC126336632"
"ko00830","LOC126336632"
"ko00860","LOC126336632"
"ko00980","LOC126336632"
"ko00982","LOC126336632"
"ko00983","LOC126336632"
"ko01100","LOC126336632"
"ko01110","LOC126336632"
"ko05204","LOC126336632"
"ko00040","LOC126336633"
"ko00053","LOC126336633"
"ko00140","LOC126336633"
"ko00830","LOC126336633"
"ko00860","LOC126336633"
"ko00980","LOC126336633"
"ko00982","LOC126336633"
"ko00983","LOC126336633"
"ko01100","LOC126336633"
"ko01110","LOC126336633"
"ko05204","LOC126336633"
"ko01522","LOC126336637"
