"term","gene"
"ko04621","LOC126339564"
"ko04657","LOC126339564"
"ko04668","LOC126339564"
"ko05168","LOC126339564"
"ko05169","LOC126339564"
"ko05200","LOC126339564"
"ko05203","LOC126339564"
"ko05222","LOC126339564"
"ko03013","LOC126339912"
"ko03015","LOC126339912"
"ko03040","LOC126339912"
"ko03060","LOC126340442"
"ko00510","LOC126340516"
"ko00513","LOC126340516"
"ko01100","LOC126340516"
"ko00030","LOC126340607"
"ko01100","LOC126340607"
"ko01110","LOC126340607"
"ko01120","LOC126340607"
"ko01130","LOC126340607"
"ko01200","LOC126340607"
"ko05231","LOC126340665"
"ko00040","LOC126341237"
"ko00053","LOC126341237"
"ko00140","LOC126341237"
"ko00830","LOC126341237"
"ko00860","LOC126341237"
"ko00980","LOC126341237"
"ko00982","LOC126341237"
"ko00983","LOC126341237"
"ko01100","LOC126341237"
"ko01110","LOC126341237"
"ko05204","LOC126341237"
"ko00514","LOC126341671"
"ko05231","LOC126341744"
"ko05200","LOC126341821"
"ko05216","LOC126341821"
"ko00510","LOC126341837"
"ko00513","LOC126341837"
"ko01100","LOC126341837"
"ko03010","LOC126342040"
"ko02010","LOC126342120"
"ko00750","LOC126342199"
"ko01100","LOC126342199"
"ko04210","LOC126342297"
"ko04215","LOC126342297"
"ko00565","LOC126342343"
"ko03018","LOC126342462"
"ko00190","LOC126342498"
"ko01100","LOC126342498"
"ko04714","LOC126342498"
"ko04723","LOC126342498"
"ko04932","LOC126342498"
"ko05010","LOC126342498"
"ko05012","LOC126342498"
"ko05016","LOC126342498"
"ko03040","LOC126342540"
"ko04723","LOC126342556"
"ko04745","LOC126342556"
"ko04925","LOC126342556"
"ko05164","LOC126342685"
"ko00970","LOC126342669"
"ko00511","LOC126342759"
"ko00600","LOC126342759"
"ko01100","LOC126342759"
"ko04142","LOC126342759"
"ko04624","LOC126342867"
"ko03440","LOC126342992"
"ko05205","LOC126343060"
"ko05206","LOC126343060"
"ko00020","LOC126344642"
"ko00310","LOC126344642"
"ko00380","LOC126344642"
"ko01100","LOC126344642"
"ko01110","LOC126344642"
"ko01120","LOC126344642"
"ko01130","LOC126344642"
"ko01200","LOC126344642"
"ko04020","LOC126345110"
"ko04022","LOC126345110"
