"Diet","Treatment","Condition","centroid_PC1","centroid_PC2"
"33","Control","33 Control",-33.8432443089532,-0.58508443770066
"50","Control","50 Control",-30.8161323891243,-23.5137687496062
"83","Control","83 Control",-26.2361539180144,-0.813508478663313
"33","Infected","33 Infected",16.4817288415205,21.2236682567614
"50","Infected","50 Infected",33.0680697839488,-6.73957877777886
"83","Infected","83 Infected",26.5840657157162,3.41932626688971
