"gene_id","Preferred_name","Description","Functional_theme","DEG_class","DEG_diets","DEG_direction_summary","min_padj","max_abs_lfc"
"LOC126285462","","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",3.42418986982216e-28,2.96339098300067
"LOC126335463","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",1.09670290496259e-27,6.86425298447286
"LOC126267652","PGRPLA","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",1.7447784231946e-20,3.08175010760066
"LOC126267163","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",2.04304784238051e-19,3.57012382481918
"LOC126268068","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",1.1218811819371e-18,2.75172490529786
"LOC126267215","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",8.99301197446662e-17,5.57004757410446
"LOC126266759","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",3.40980116450763e-15,3.03228792951218
"LOC126271975","","Alpha-lactalbumin / lysozyme C","Immune-related","DEG","33, 50","Higher in infected",8.00464242296359e-15,6.85671413366491
"LOC126336578","","Immunoglobulin V-set domain","Immune-related","DEG","33, 50, 83","Higher in infected",2.47012993200073e-13,5.24610593318376
"LOC126267038","","Signal transducer and activator of transcription","Immune-related","DEG","33, 50, 83","Higher in infected",5.58547000535706e-13,1.28574199081612
"LOC126335547","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",4.96036548141388e-12,2.95281015275841
"LOC126331066","","Immunoglobulin","Immune-related","DEG","33, 50","Higher in infected",1.02653908347876e-11,1.85127380279678
"LOC126365918","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50","Higher in infected",1.04204430671606e-11,1.69762440267044
"LOC126267162","PGRPLC","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",1.97897194666594e-11,2.16750957544095
"LOC126335468","","Belongs to the serpin family","Immune-related","DEG","33, 50","Higher in infected",1.03344884194171e-10,3.61284302740946
