"label","PC1","PC2","Diet","Treatment","Condition"
"1002",-4.62342026092685,-36.1655543245217,"83","Control","83 Control"
"1003",-33.449871028423,13.0127111162265,"33","Control","33 Control"
"1004",-33.179077823811,14.2446305535839,"50","Control","50 Control"
"1005",-25.2408298388374,16.4381414166474,"83","Control","83 Control"
"1006",-37.710822855814,9.75431007355099,"33","Control","33 Control"
"1007",-18.7223804304174,-94.363922682463,"50","Control","50 Control"
"1009",-40.6115634895276,18.6505146420802,"33","Control","33 Control"
"1011",-29.5169942850965,16.444340914657,"83","Control","83 Control"
"1014",10.4961517751895,-17.2941543779309,"83","Infected","83 Infected"
"1015",43.5045463053535,17.5553097016352,"33","Infected","33 Infected"
"1016",57.2581073715832,-61.9916588528251,"50","Infected","50 Infected"
"1018",7.6064656560657,21.390963834749,"33","Infected","33 Infected"
"1020",24.9192536475976,-11.67911368886,"83","Infected","83 Infected"
"1021",-1.84674992569096,18.4407164836305,"33","Infected","33 Infected"
"1023",54.9860591707485,35.1100677559695,"83","Infected","83 Infected"
"1024",25.5659936467537,-42.2694534731079,"83","Infected","83 Infected"
"1025",41.2090245129971,-10.7091134504428,"50","Infected","50 Infected"
"1027",56.0821369244075,14.4210718359095,"33","Infected","33 Infected"
"1028",15.5806848431468,23.798874578006,"50","Infected","50 Infected"
"1029",54.2327121317633,29.1024118887631,"83","Infected","83 Infected"
"1030",-43.8835856318047,15.1817594243886,"33","Control","33 Control"
"1031",-35.3148014280055,12.0242138883366,"50","Control","50 Control"
"1032",-38.091672877595,1.84174943113508,"83","Control","83 Control"
"1033",-23.7370644460687,14.6715093498012,"33","Control","33 Control"
"1034",-38.8226413387111,12.3340599119831,"50","Control","50 Control"
"1035",-11.3714891311824,2.00509505020956,"83","Control","83 Control"
"1036",-35.5006639886832,-31.9737374628792,"33","Control","33 Control"
"1037",-14.7842840832795,-104.585623606423,"50","Control","50 Control"
"1038",-33.1500338786398,-23.5270679399758,"83","Control","83 Control"
"1039",-22.0091387223509,-43.3926582070729,"33","Control","33 Control"
"1040",-44.0736092305213,19.2640294373445,"50","Control","50 Control"
"1041",-41.6586371538231,17.2687361012053,"83","Control","83 Control"
"1042",-10.6613628442061,29.8374508929655,"33","Infected","33 Infected"
"1043",-10.3216367670036,1.02935243004403,"50","Infected","50 Infected"
"1045",-7.57620753651025,16.0944843209132,"33","Infected","33 Infected"
"1046",49.3217157561752,-58.1575738453614,"50","Infected","50 Infected"
"1049",42.3092772740974,26.7352870004627,"50","Infected","50 Infected"
"1050",-10.6957760777555,27.5461994965045,"83","Infected","83 Infected"
"1051",-22.8761221562551,17.8826186049707,"33","Infected","33 Infected"
"1052",27.8905726894218,24.6904244308076,"50","Infected","50 Infected"
"1054",41.3184826566926,25.6138812388256,"33","Infected","33 Infected"
"1055",26.4206740402614,-13.3216953836752,"50","Infected","50 Infected"
"1057",42.7843704938272,29.7765173972531,"33","Infected","33 Infected"
"1058",47.9442083348602,7.26989409297438,"50","Infected","50 Infected"
