"diet","direction","n_significant_genes","signed_n"
"33","Higher in infected",566,566
"50","Higher in infected",991,991
"83","Higher in infected",462,462
"33","Higher in control",650,-650
"50","Higher in control",819,-819
"83","Higher in control",275,-275
