"diet","direction","signed_direction","Gene_class","n_significant_genes","signed_n","burden_class"
"33","Higher in infected",1,"Coding genes",528,528,"Higher in infected - Coding genes"
"33","Higher in infected",1,"Long non-coding RNA",38,38,"Higher in infected - Long non-coding RNA"
"33","Higher in control",-1,"Coding genes",626,-626,"Higher in control - Coding genes"
"33","Higher in control",-1,"Long non-coding RNA",24,-24,"Higher in control - Long non-coding RNA"
"50","Higher in infected",1,"Coding genes",895,895,"Higher in infected - Coding genes"
"50","Higher in infected",1,"Long non-coding RNA",96,96,"Higher in infected - Long non-coding RNA"
"50","Higher in control",-1,"Coding genes",780,-780,"Higher in control - Coding genes"
"50","Higher in control",-1,"Long non-coding RNA",39,-39,"Higher in control - Long non-coding RNA"
"83","Higher in infected",1,"Coding genes",419,419,"Higher in infected - Coding genes"
"83","Higher in infected",1,"Long non-coding RNA",43,43,"Higher in infected - Long non-coding RNA"
"83","Higher in control",-1,"Coding genes",267,-267,"Higher in control - Coding genes"
"83","Higher in control",-1,"Long non-coding RNA",8,-8,"Higher in control - Long non-coding RNA"
