"Annotation_source","Source_file","Gene_id_bridge","Interpretation"
"eggNOG GO","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/GO_Annotations/GCF_023897955.1_iqSchGreg1.2_Arthopoda_one2one.emapper.annotations","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/reference/GCF_023897955.1_iqSchGreg1.2_genomic.gff","GO terms parsed from eggNOG protein annotations and lifted to LOC gene IDs."
"eggNOG KEGG pathway","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/GO_Annotations/GCF_023897955.1_iqSchGreg1.2_Arthopoda_one2one.emapper.annotations","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/reference/GCF_023897955.1_iqSchGreg1.2_genomic.gff","KEGG pathway IDs parsed from eggNOG protein annotations and lifted to LOC gene IDs."
