"Diet","Treatment","Condition","centroid_PC1","centroid_PC2"
"33","Control","33 Control",5.85104800972787,-28.9363290218364
"50","Control","50 Control",-17.1542470651772,-29.0462842960497
"83","Control","83 Control",6.2898446760647,-22.9021809148022
"33","Infected","33 Infected",18.9725044895439,18.6227181237086
"50","Infected","50 Infected",-14.69405050245,25.1534089869493
"83","Infected","83 Infected",-3.42780871555431,23.8603552228078
