"intersection","n_genes"
"Diet 50",436
"Diet 33 + Diet 50 + Diet 83",378
"Diet 83",251
"Diet 33",185
"Diet 33 + Diet 50",181
"Diet 50 + Diet 83",101
"Diet 33 + Diet 83",53
