"label","PC1","PC2","Diet","Treatment"
"1003",-22.5000127096374,5.77901462467812,"33","Control"
"1006",-31.9743255944256,14.8194024258954,"33","Control"
"1009",-24.1623466635466,-5.20623692867761,"33","Control"
"1015",26.9260908533824,6.00036209867828,"33","Infected"
"1018",9.08009009758816,7.4370966203702,"33","Infected"
"1021",4.13683957198854,7.91151254105556,"33","Infected"
"1027",37.7218391240479,5.11022206591485,"33","Infected"
"1030",-26.9420077304359,-0.200326414888795,"33","Control"
"1033",-10.5263433962337,5.31579818529678,"33","Control"
"1036",-28.9885043952127,-1.35393939133383,"33","Control"
"1039",-8.22150057350681,-19.7758922645608,"33","Control"
"1042",16.283219979329,-20.1150742505975,"33","Infected"
"1045",4.00163180181916,-3.52165986589676,"33","Infected"
"1051",-0.507676103974943,-9.15227904757884,"33","Infected"
"1054",29.2478056824278,9.02736428027642,"33","Infected"
"1057",26.4252000563907,-2.07536467863153,"33","Infected"
