source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_name,sequence_role,sequence_class,original_significant_contrasts,current_significant_contrasts,newly_significant_contrasts,no_longer_significant_contrasts,figure_scope
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126284043,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,2,3,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126298961,toll-like receptor Tollo,toll-like receptor Tollo,protein_coding,NC_064931.1,ChromosomeX,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126325205,toll-like receptor 4,toll-like receptor 4,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126325232,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,4,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126331691,toll-like receptor 2 type-2,toll-like receptor 2 type-2,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126334635,toll-like receptor 4,toll-like receptor 4,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126335828,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126356285,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126359055,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126359091,toll-like receptor 2 type-2,toll-like receptor 2 type-2,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126266760,peptidoglycan recognition protein-like,peptidoglycan recognition protein-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126267061,peptidoglycan recognition protein 1-like,peptidoglycan recognition protein 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126267215,peptidoglycan recognition protein 1-like,peptidoglycan recognition protein 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126267216,peptidoglycan recognition protein 1-like,peptidoglycan recognition protein 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,3,4,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126267217,peptidoglycan recognition protein 1-like,peptidoglycan recognition protein 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126268068,peptidoglycan recognition protein 1-like,peptidoglycan recognition protein 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126284941,lithostathine-1-like,lithostathine-1-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126298069,protein eva-1,protein eva-1,protein_coding,NC_064931.1,ChromosomeX,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126329244,sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain-containing protein 1,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Post-Translational Regulation & Feedback Control,LOC126272748,SPRY domain-containing SOCS box protein 3,SPRY domain-containing SOCS box protein 3,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Post-Translational Regulation & Feedback Control,LOC126292297,trypsin I-P38-like,trypsin I-P38-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Post-Translational Regulation & Feedback Control,LOC126295382,ankyrin repeat and SOCS box protein 2-like,ankyrin repeat and SOCS box protein 2-like,protein_coding,NC_064930.1,Chromosome11,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126266641,serine protease snake-like,serine protease snake-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126266899,serine protease snake-like,serine protease snake-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126267442,CLIP domain-containing serine protease 14D-like,CLIP domain-containing serine protease 14D-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126267545,serine protease Hayan-like,serine protease Hayan-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126281581,modular serine protease-like,modular serine protease-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,2,1,0,1,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126282207,modular serine protease-like,modular serine protease-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126335013,serine protease snake-like,serine protease snake-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126336990,serine protease HTR4,serine protease HTR4,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126352796,CLIP domain-containing serine protease HP8-like,CLIP domain-containing serine protease HP8-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126353952,serine protease snake-like,serine protease snake-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126354211,CLIP domain-containing serine protease HP8-like,CLIP domain-containing serine protease HP8-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126269044,serine-rich adhesin for platelets-like,serine-rich adhesin for platelets-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,2,3,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126284334,serine protease inhibitor I/II-like,serine protease inhibitor I/II-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,1,2,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126284336,serine protease inhibitor I/II-like,serine protease inhibitor I/II-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126284367,protease inhibitors-like,protease inhibitors-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126284524,protease inhibitors-like,protease inhibitors-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,1,0,0,1,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126284604,serine protease inhibitor I/II-like,serine protease inhibitor I/II-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126284765,serine protease inhibitor I/II-like,serine protease inhibitor I/II-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126284840,serine protease inhibitor I/II-like,serine protease inhibitor I/II-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126299287,leukocyte elastase inhibitor-like,leukocyte elastase inhibitor-like,protein_coding,NC_064931.1,ChromosomeX,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335167,serine protease inhibitor 88Ea-like,serine protease inhibitor 88Ea-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335404,serpin B6-like,serpin B6-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335463,serpin B8-like,serpin B8-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335465,serpin B6-like,serpin B6-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335467,leukocyte elastase inhibitor-like,leukocyte elastase inhibitor-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,2,0,1,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335468,serpin B6-like,serpin B6-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335470,leukocyte elastase inhibitor-like,leukocyte elastase inhibitor-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335471,serpin B6-like,serpin B6-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335472,serpin B4-like,serpin B4-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335544,leukocyte elastase inhibitor-like,leukocyte elastase inhibitor-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335545,leukocyte elastase inhibitor-like,leukocyte elastase inhibitor-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335546,leukocyte elastase inhibitor-like,leukocyte elastase inhibitor-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335547,serpin B6-like,serpin B6-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126336076,serpin B8-like,serpin B8-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Amino Acid Biosynthesis & Interconversion,LOC126268518,glutamine synthetase 2 cytoplasmic-like,glutamine synthetase 2 cytoplasmic-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,1,2,1,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Anionic & Excitatory Amino Acid Transporters,LOC126297535,excitatory amino acid transporter 1,excitatory amino acid transporter 1,protein_coding,NC_064931.1,ChromosomeX,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Cationic & Neutral Amino Acid Transporters,LOC126295311,probable cationic amino acid transporter,probable cationic amino acid transporter,protein_coding,NC_064930.1,Chromosome11,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Cationic & Neutral Amino Acid Transporters,LOC126298679,"b(0,+)-type amino acid transporter 1","b(0,+)-type amino acid transporter 1",protein_coding,NC_064931.1,ChromosomeX,assembled-molecule,Nuclear chromosome,2,3,1,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Cationic & Neutral Amino Acid Transporters,LOC126353927,cationic amino acid transporter 3,cationic amino acid transporter 3,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Cationic & Neutral Amino Acid Transporters,LOC126353931,high affinity cationic amino acid transporter 1-like,high affinity cationic amino acid transporter 1-like,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Cationic & Neutral Amino Acid Transporters,LOC126354582,cationic amino acid transporter 4,cationic amino acid transporter 4,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Proton-Coupled & Auxiliary Amino Acid Transporters,LOC126266685,proton-coupled amino acid transporter 1-like,proton-coupled amino acid transporter 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,1,2,1,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Proton-Coupled & Auxiliary Amino Acid Transporters,LOC126354750,proton-coupled amino acid transporter-like protein CG1139,proton-coupled amino acid transporter-like protein CG1139,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,1,0,0,1,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Proton-Coupled & Auxiliary Amino Acid Transporters,LOC126354751,proton-coupled amino acid transporter-like protein CG1139,proton-coupled amino acid transporter-like protein CG1139,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Proton-Coupled & Auxiliary Amino Acid Transporters,LOC126354753,proton-coupled amino acid transporter-like protein pathetic,proton-coupled amino acid transporter-like protein pathetic,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Proton-Coupled & Auxiliary Amino Acid Transporters,LOC126354788,proton-coupled amino acid transporter-like protein pathetic,proton-coupled amino acid transporter-like protein pathetic,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Proton-Coupled & Auxiliary Amino Acid Transporters,LOC126355939,proton-coupled amino acid transporter-like protein pathetic,proton-coupled amino acid transporter-like protein pathetic,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Proton-Coupled & Auxiliary Amino Acid Transporters,LOC126355940,proton-coupled amino acid transporter-like protein CG1139,proton-coupled amino acid transporter-like protein CG1139,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Proton-Coupled & Auxiliary Amino Acid Transporters,LOC126365925,proton-coupled amino acid transporter-like protein CG1139,proton-coupled amino acid transporter-like protein CG1139,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,2,1,0,1,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Sodium-Dependent Nutrient Transporters,LOC126299466,sodium-coupled neutral amino acid transporter 9-like,sodium-coupled neutral amino acid transporter 9-like,protein_coding,NC_064931.1,ChromosomeX,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Sodium-Dependent Nutrient Transporters,LOC126334706,sodium-dependent nutrient amino acid transporter 1-like,sodium-dependent nutrient amino acid transporter 1-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Sodium-Dependent Nutrient Transporters,LOC126334708,sodium-dependent nutrient amino acid transporter 1-like,sodium-dependent nutrient amino acid transporter 1-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Protein-Anabolism,"Nitrogen, Amino Acid Transport & Metabolism",Sodium-Dependent Nutrient Transporters,LOC126354816,sodium-dependent neutral amino acid transporter B(0)AT3,sodium-dependent neutral amino acid transporter B(0)AT3,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,TOR Pathway Regulators & Effectors,LOC126334818,ribosomal protein S6 kinase alpha-5-like,ribosomal protein S6 kinase alpha-5-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,TOR Pathway Regulators & Effectors,LOC126334929,eukaryotic translation initiation factor 4E-binding protein,eukaryotic translation initiation factor 4E-binding protein,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Protein-Anabolism,Protein Synthesis & Translation,Aminoacyl-tRNA Synthetases,LOC126281245,"cysteine--tRNA ligase, cytoplasmic","cysteine--tRNA ligase, cytoplasmic",protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins & Biogenesis,LOC126272094,ribosome-binding protein 1,ribosome-binding protein 1,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins & Biogenesis,LOC126354587,nucleolar protein dao-5-like,nucleolar protein dao-5-like,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,2,1,0,1,Main chromosome
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126272860,translation initiation factor IF-2-like,translation initiation factor IF-2-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,Nuclear chromosome,3,4,1,0,Main chromosome
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126277947,translation initiation factor IF-2-like,translation initiation factor IF-2-like,protein_coding,NC_064925.1,Chromosome6,assembled-molecule,Nuclear chromosome,2,0,0,2,Main chromosome
