source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_name,sequence_role,sequence_class,original_significant_contrasts,current_significant_contrasts,newly_significant_contrasts,no_longer_significant_contrasts,figure_scope
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126268069,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,2,1,0,1,Main chromosome
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126291948,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126291966,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126292150,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126335596,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Humoral Immunity,Antimicrobial Peptides (AMPs),LOC126334779,defensin-1-like,defensin-1-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Humoral Immunity,Antimicrobial Peptides (AMPs),LOC126334780,defensin-1-like,defensin-1-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Humoral Immunity,Antimicrobial Peptides (AMPs),LOC126336322,defensin-like,defensin-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Humoral Immunity,Antimicrobial Peptides (AMPs),LOC126336325,defensin-like,defensin-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Humoral Immunity,Prophenoloxidase (proPO) System,LOC126284216,phenoloxidase 2-like,phenoloxidase 2-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,3,2,0,1,Main chromosome
Immune,Humoral Immunity,Prophenoloxidase (proPO) System,LOC126284218,phenoloxidase 1-like,phenoloxidase 1-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,1,0,0,1,Main chromosome
Immune,Humoral Immunity,Prophenoloxidase (proPO) System,LOC126334632,phenoloxidase 2-like,phenoloxidase 2-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126266799,follistatin-related protein 5-like,follistatin-related protein 5-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,1,1,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126270956,follistatin-related protein 5-like,follistatin-related protein 5-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,2,1,0,1,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126281690,TNF receptor-associated factor 3,TNF receptor-associated factor 3,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,2,2,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126282030,nuclear factor NF-kappa-B p110 subunit,nuclear factor NF-kappa-B p110 subunit,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing (Toll/JAK-STAT/NF-κB),LOC126284033,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,3,3,0,0,Main chromosome
