"GeneID","Description"
"LOC126267054","hematopoietically-expressed homeobox protein HHEX"
"LOC126267060","cadherin-23-like"
"LOC126267061","peptidoglycan recognition protein 1-like"
"LOC126267078","uncharacterized LOC126267078"
"LOC126267080","probable cytochrome P450 301a1%2C mitochondrial"
"LOC126267082","uncharacterized LOC126267082"
"LOC126267084","peptide transporter family 1-like"
"LOC126267095","uncharacterized LOC126267095"
"LOC126267098","DNA-directed primase/polymerase protein-like"
"LOC126267101","sialic acid synthase"
"LOC126267104","zwei Ig domain protein zig-8-like"
"LOC126267107","facilitated trehalose transporter Tret1-like"
"LOC126267114","juvenile hormone acid O-methyltransferase-like"
"LOC126267118","ADP%2CATP carrier protein 2-like"
"LOC126267129","tyrosine-protein phosphatase non-receptor type 23-like"
"LOC126267131","hemicentin-2-like"
"LOC126267133","G-protein coupled receptor 52-like"
"LOC126267136","uncharacterized LOC126267136"
"LOC126267139","B-cell receptor CD22-like"
"LOC126267140","cytochrome P450 3A56-like"
"LOC126267142","uncharacterized LOC126267142"
"LOC126267144","uncharacterized LOC126267144"
"LOC126267148","uncharacterized LOC126267148"
"LOC126267152","alpha-tocopherol transfer protein-like"
"LOC126267153","follicle-stimulating hormone receptor-like"
"LOC126267154","uncharacterized LOC126267154"
"LOC126267158","uncharacterized LOC126267158"
"LOC126267159","glutamate receptor 1-like"
"LOC126267162","uncharacterized LOC126267162"
"LOC126267163","peptidoglycan-recognition protein SA-like"
"LOC126267165","protein 60A-like"
"LOC126267166","peptidyl-prolyl cis-trans isomerase B-like"
"LOC126267171","LETM1 domain-containing protein 1-like"
"LOC126267174","uncharacterized LOC126267174"
"LOC126267177","uncharacterized LOC126267177"
"LOC126267179","tubulin alpha-1 chain"
"LOC126267180","cholinesterase 1-like"
"LOC126267187","uncharacterized LOC126267187"
"LOC126267190","uncharacterized LOC126267190"
"LOC126267195","Kv channel-interacting protein 4-like"
"LOC126267207","uncharacterized LOC126267207"
"LOC126267210","zinc finger protein SNAI2-like"
"LOC126267215","peptidoglycan recognition protein 1-like"
"LOC126267216","peptidoglycan recognition protein 1-like"
"LOC126267217","peptidoglycan recognition protein 1-like"
"LOC126267219","acyl-coenzyme A thioesterase 13-like"
"LOC126267220","acyl-coenzyme A thioesterase 13-like"
"LOC126267222","C-1-tetrahydrofolate synthase%2C cytoplasmic"
"LOC126267225","diacylglycerol kinase theta"
"LOC126267226","ovarian-specific serine/threonine-protein kinase Lok-like"
"LOC126267230","atrial natriuretic peptide receptor 1-like"
"LOC126267232","uncharacterized LOC126267232"
"LOC126267234","uncharacterized LOC126267234"
"LOC126267239","uncharacterized LOC126267239"
"LOC126267242","chromosome-associated kinesin KIF4"
"LOC126267243","uncharacterized LOC126267243"
