Description,GeneID_Control,GeneID_Infected,GeneID_Within
ras GTPase-activating-like protein rgaA,LOC126305012;LOC126322531,LOC126305012;LOC126322531,LOC126305012;LOC126322531
ras guanine nucleotide exchange factor A-like,LOC126325907;LOC126330805,LOC126314441;LOC126318676;LOC126322549;LOC126325907;LOC126329922;LOC126330805,LOC126314441;LOC126318676;LOC126322549;LOC126325907;LOC126330805
ras-like protein rasG,LOC126320565;LOC126324070,LOC126320565;LOC126324070,LOC126320565;LOC126324070
ras-related C3 botulinum toxin substrate 1-like,LOC126317085,LOC126315223;LOC126326530,LOC126317085
ras-related protein Rab-1B-like,LOC126319868,LOC126319868,LOC126319868
ras-related protein Rab-5A-like,LOC126329583,LOC126329583,LOC126329583
ras-related protein Rap-1-like,LOC126325535,LOC126325535,LOC126325535
ras-specific guanine nucleotide-releasing factor 1-like,LOC126315304,LOC126315304,LOC126315304
rasGAP-activating-like protein 1,LOC126304974,LOC126304974,LOC126304974
receptor of activated protein C kinase 1-like,LOC126304984,LOC126304984,LOC126304984
repetitive organellar protein-like,LOC126322709,LOC126322709,LOC126322709
replication stress response regulator SDE2-like,LOC126319941,LOC126319941,LOC126319941
retinal-specific phospholipid-transporting ATPase ABCA4-like,LOC126326196,LOC126326196,LOC126326196
rho GTPase-activating protein 39-like,LOC126326199,LOC126326199,LOC126326199
rho-related protein racB-like,LOC126304652,LOC126304652,LOC126304652
rho-related protein racC-like,LOC126315217,LOC126315217,LOC126315217
ribonuclease H2 subunit B-like,LOC126325813,LOC126325813,LOC126325813
RING finger protein 10-like,LOC126325912,LOC126325912,LOC126325912
RNA polymerase-associated protein RTF1 homolog,LOC126326048,LOC126326048,LOC126326048
RNA-binding protein 5-like,LOC126305010,LOC126305010,LOC126305010
saccharopine dehydrogenase-like oxidoreductase,LOC126320563,LOC126320563,LOC126266681;LOC126320563
sarcoplasmic reticulum histidine-rich calcium-binding protein-like,LOC126318444,LOC126318444,LOC126318444
serine hydroxymethyltransferase 2-like,LOC126316752,LOC126316752,LOC126316752
serine/arginine repetitive matrix protein 2-like,LOC126325909,LOC126322622;LOC126325909,LOC126322622;LOC126325909
serine/threonine-protein kinase 3-like,LOC126316441,LOC126316441;LOC126320602,LOC126316441
serine/threonine-protein kinase 4 homolog B-like,LOC126316982,LOC126316982,LOC126316982
serine/threonine-protein kinase MARK2-like,LOC126326587,LOC126326587,LOC126326587
serine/threonine-protein kinase pakC-like,LOC126316806,LOC126316806;LOC126322548,LOC126316806;LOC126322548
serine/threonine-protein kinase RIO1-like,LOC126325844,LOC126325844,LOC126325844
serine/threonine-protein kinase svkA-like,LOC126317123,LOC126317123,LOC126317123
serine/threonine-protein kinase tor-like,LOC126325490,LOC126325490,LOC126325490
serine/threonine-protein kinase WNK4-like,LOC126324054,LOC126324054,LOC126324054
serine/threonine-protein kinase/endoribonuclease IRE1-like,LOC126320386,LOC126320386,LOC126320386
serine/threonine-protein phosphatase 4 catalytic subunit-like,LOC126317118,LOC126317118,LOC126317118
serine/threonine-protein phosphatase 4 regulatory subunit 3-B-like,LOC126316967,LOC126316967,LOC126316967
serine/threonine-protein phosphatase 6 catalytic subunit-like,LOC126317445,LOC126317445,LOC126317445
serine/threonine-protein phosphatase 6 regulatory subunit 3-like,LOC126320455,LOC126320455,LOC126320455
serine/threonine-protein phosphatase alpha-2 isoform-like,LOC126318687,LOC126318687,LOC126318687
SH3 and F-BAR domain-containing protein DDB_G0274695-like,LOC126324541,LOC126324541,LOC126324541
signal recognition particle subunit SRP72-like,LOC126314412,LOC126314412,LOC126314412
single-stranded DNA-binding protein-like,LOC126317111,LOC126317111,LOC126317111
SNW domain-containing protein 1-like,LOC126305013,LOC126305013,LOC126305013
sodium-coupled monocarboxylate transporter 1-like,LOC126268174;LOC126278407,LOC126268174;LOC126268173;LOC126278407;LOC126278211;LOC126284566,LOC126268173;LOC126284566;LOC126299138;LOC126335106;LOC126268174;LOC126278407
sphingolipid delta(4)-desaturase DES1-like,LOC126325953,LOC126325953,LOC126325953
splicing factor 3B subunit 1-like,LOC126323255,LOC126323255,LOC126323255
splicing factor 3B subunit 2-like,LOC126322384,LOC126322384,LOC126322384
splicing factor 3B subunit 4-like,LOC126323246,LOC126323246,LOC126323246
squamous cell carcinoma antigen recognized by T-cells 3-like,LOC126316990,LOC126316990,LOC126316990
src kinase-associated phosphoprotein 2-like,LOC126318213,LOC126318213,LOC126318213
stress-activated protein kinase alpha-like,LOC126315288;LOC126332399,LOC126315288;LOC126316981;LOC126322691;LOC126332399,LOC126315288;LOC126316981;LOC126332399
succinate dehydrogenase flavoprotein subunit-like,LOC126325852,LOC126325852,LOC126325852
sulfur carrier protein adenylyltransferase-like,LOC126320373,LOC126320373,LOC126320373
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1,LOC126314432,LOC126314432,LOC126314432
