"label","PC1","PC2","Diet","Treatment"
"1003",-29.1899881247341,7.21460579995217,"33","Control"
"1006",-41.3948798628235,19.6749762420448,"33","Control"
"1009",-32.9153802654692,-5.81260170563296,"33","Control"
"1015",35.4440386284463,7.7875062238631,"33","Infected"
"1018",12.5288966500527,8.98410432602487,"33","Infected"
"1021",5.33670757679691,10.1106292839635,"33","Infected"
"1027",50.1418417007246,6.62827107323099,"33","Infected"
"1030",-36.8006128771691,-0.139031135961262,"33","Control"
"1033",-15.0107734423921,5.32575432173917,"33","Control"
"1036",-38.6052013507895,0.0963562591296168,"33","Control"
"1039",-13.3115107483467,-24.1247435780046,"33","Control"
"1042",20.3131119460543,-29.5831931479651,"33","Infected"
"1045",7.58067587616338,-3.5276238818938,"33","Infected"
"1051",-1.67645318590229,-13.005807318415,"33","Infected"
"1054",40.297296017474,11.7483188736714,"33","Infected"
"1057",37.2622314619142,-1.37752163574694,"33","Infected"
