"label","total_counts","files","Sex","Treatment","Diet","Hour_Group_Post_Innoculation","Var.8"
"1002",3170632,"mehreen_1002_MERGE_counts.txt","Female","Control","83",96,NA
"1003",3240818,"mehreen_1003_MERGE_counts.txt","Female","Control","33",96,NA
"1004",4093301,"mehreen_1004_MERGE_counts.txt","Female","Control","50",96,NA
"1005",3171323,"mehreen_1005_MERGE_counts.txt","Female","Control","83",96,NA
"1006",3040917,"mehreen_1006_MERGE_counts.txt","Female","Control","33",96,NA
"1007",3874823,"mehreen_1007_MERGE_counts.txt","Female","Control","50",96,NA
"1009",3188873,"mehreen_1009_MERGE_counts.txt","Female","Control","33",96,NA
"1011",2049612,"mehreen_1011_MERGE_counts.txt","Female","Control","83",96,NA
"1014",928938,"mehreen_1014_MERGE_counts.txt","Female","Infected","83",96,NA
"1015",1865505,"mehreen_1015_MERGE_counts.txt","Female","Infected","33",96,NA
"1016",777155,"mehreen_1016_MERGE_counts.txt","Female","Infected","50",96,NA
"1018",6901057,"mehreen_1018_MERGE_counts.txt","Female","Infected","33",96,NA
"1020",3515641,"mehreen_1020_MERGE_counts.txt","Female","Infected","83",96,NA
"1021",4548817,"mehreen_1021_MERGE_counts.txt","Female","Infected","33",96,NA
"1023",854842,"mehreen_1023_MERGE_counts.txt","Female","Infected","83",96,NA
"1024",1798251,"mehreen_1024_MERGE_counts.txt","Female","Infected","83",96,NA
"1025",4485592,"mehreen_1025_MERGE_counts.txt","Female","Infected","50",96,NA
"1027",1823168,"mehreen_1027_MERGE_counts.txt","Female","Infected","33",96,NA
"1028",3964142,"mehreen_1028_MERGE_counts.txt","Female","Infected","50",96,NA
"1029",4031680,"mehreen_1029_MERGE_counts.txt","Female","Infected","83",96,NA
"1030",8748179,"mehreen_1030_MERGE_counts.txt","Female","Control","33",96,NA
"1031",4857739,"mehreen_1031_MERGE_counts.txt","Female","Control","50",96,NA
"1032",4487113,"mehreen_1032_MERGE_counts.txt","Female","Control","83",96,NA
"1033",7500913,"mehreen_1033_MERGE_counts.txt","Female","Control","33",96,NA
"1034",5301948,"mehreen_1034_MERGE_counts.txt","Female","Control","50",96,NA
"1035",5308313,"mehreen_1035_MERGE_counts.txt","Female","Control","83",96,NA
"1036",5141025,"mehreen_1036_MERGE_counts.txt","Female","Control","33",96,NA
"1037",6696443,"mehreen_1037_MERGE_counts.txt","Female","Control","50",96,NA
"1038",3922210,"mehreen_1038_MERGE_counts.txt","Female","Control","83",96,NA
"1039",5246785,"mehreen_1039_MERGE_counts.txt","Female","Control","33",96,NA
"1040",3125591,"mehreen_1040_MERGE_counts.txt","Female","Control","50",96,NA
"1041",2395254,"mehreen_1041_MERGE_counts.txt","Female","Control","83",96,NA
"1042",2833256,"mehreen_1042_MERGE_counts.txt","Female","Infected","33",96,NA
"1043",3275489,"mehreen_1043_MERGE_counts.txt","Female","Infected","50",96,NA
"1045",3252626,"mehreen_1045_MERGE_counts.txt","Female","Infected","33",96,NA
"1046",2957188,"mehreen_1046_MERGE_counts.txt","Female","Infected","50",96,NA
"1049",3081256,"mehreen_1049_MERGE_counts.txt","Female","Infected","50",96,NA
"1050",2924565,"mehreen_1050_MERGE_counts.txt","Female","Infected","83",96,NA
"1051",3131558,"mehreen_1051_MERGE_counts.txt","Female","Infected","33",96,NA
"1052",2550237,"mehreen_1052_MERGE_counts.txt","Female","Infected","50",96,NA
"1054",2960833,"mehreen_1054_MERGE_counts.txt","Female","Infected","33",96,NA
"1055",3082400,"mehreen_1055_MERGE_counts.txt","Female","Infected","50",96,NA
"1057",3875303,"mehreen_1057_MERGE_counts.txt","Female","Infected","33",96,NA
"1058",1486544,"mehreen_1058_MERGE_counts.txt","Female","Infected","50",96,NA
