"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
2224,"LOC126323268","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.80333735188311,0.0239196963168852,3.48420188757053,"1037","Higher than gene average"
2225,"LOC126319936","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.26166343060945,0.013813485455247,3.62368143943488,"1037","Higher than gene average"
2226,"LOC126316813","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.14414046079248,0.0395956293778136,3.34679238499852,"1037","Higher than gene average"
2227,"LOC126330806","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.30909828780912,0.0159069435586957,3.53435262422917,"1037","Higher than gene average"
2228,"LOC126320408","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",4.74556587411889,0.0485148899231147,3.73864175783394,"1037","Higher than gene average"
2229,"LOC126317001","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.79958151928726,0.012387615596254,3.44203391587834,"1037","Higher than gene average"
2230,"LOC126313386","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.89176421964634,0.0148656050568539,3.06760781862713,"1037","Higher than gene average"
2231,"LOC126328072","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.70376308798698,0.0159587445543801,3.16511652467444,"1007","Higher than gene average"
2232,"LOC126318621","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.10774741802987,0.0128782887324668,3.32937381216546,"1037","Higher than gene average"
2233,"LOC126330805","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.34487195594405,0.00482380747497649,3.52056800189144,"1037","Higher than gene average"
2234,"LOC126322562","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.75313503714316,0.00777931583967515,3.27030703545304,"1037","Higher than gene average"
2235,"LOC126323906","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.11328204249856,0.0339350612728973,3.15226069006097,"1007","Higher than gene average"
2236,"LOC126314426","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.48166029828167,0.0110317982315976,2.97998804100652,"1007","Higher than gene average"
2237,"LOC126313323","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.57766153066517,0.0143152263153038,3.65031709780086,"1037","Higher than gene average"
2238,"LOC126320552","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.32806275195951,0.0272456921799461,3.51278405933315,"1037","Higher than gene average"
2239,"LOC126324064","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.57910245477412,0.0109098867910037,3.79419555858256,"1037","Higher than gene average"
2240,"LOC126320556","RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.55139634926181,0.0333316591169312,3.58316700618283,"1037","Higher than gene average"
2241,"LOC126320571","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.36294349709253,0.01363837525234,3.4025030303668,"1037","Higher than gene average"
2242,"LOC126331444","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.79145152684158,0.00252399499641754,3.17561192663341,"1037","Higher than gene average"
2243,"LOC126327182","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.04806581902674,0.00854531525727244,3.66825323452343,"1037","Higher than gene average"
2244,"LOC126323772","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.11511141750906,0.0145536245693732,3.62187984642506,"1037","Higher than gene average"
2245,"LOC126322593","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.33984176562532,0.00164060341187674,3.09565155091152,"1037","Higher than gene average"
2246,"LOC126323742","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.18952079950413,0.00216303985285883,2.84802036274054,"1037","Higher than gene average"
2247,"LOC126315280","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.02553934796056,0.00225477822637426,2.85160043647377,"1007","Higher than gene average"
2248,"LOC126323927","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.18174594359459,0.00230787088854219,2.82687522067553,"1037","Higher than gene average"
2249,"LOC126317491","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.26526566711386,0.00364270609661438,3.26388209159944,"1037","Higher than gene average"
2250,"LOC126316818","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.79039714442442,0.00823973893571996,3.2942656741633,"1037","Higher than gene average"
2251,"LOC126318280","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.95319658897993,0.00206741863148897,3.19997559983012,"1037","Higher than gene average"
2252,"LOC126304742","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.67206197512421,0.0106289659571039,3.03979911127953,"1037","Higher than gene average"
2253,"LOC126332406","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.66810455098707,0.00725683959831073,2.93296656463996,"1037","Higher than gene average"
2254,"LOC126326034","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.19850047231,0.0158190915552641,2.90978265893676,"1037","Higher than gene average"
2255,"LOC126326206","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.29174391331123,0.0300210769443204,3.62746883157628,"1037","Higher than gene average"
2256,"LOC126332393","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.55226546624866,0.00456912030230826,3.28781090846991,"1037","Higher than gene average"
2257,"LOC126322601","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.20060018451922,0.0121533298260135,3.41329706514606,"1037","Higher than gene average"
2258,"LOC126304751","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.04798117900993,0.00242110699887746,3.51672792953477,"1037","Higher than gene average"
2259,"LOC126324058","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.51479155876434,0.00820081937965201,3.47033053867382,"1037","Higher than gene average"
2260,"LOC126304746","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.79541087685972,0.00251446555237093,3.40915039576066,"1037","Higher than gene average"
2261,"LOC126326591","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.6976647742658,0.00311458975444762,3.21696977514291,"1037","Higher than gene average"
2262,"LOC126322522","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.49246659081516,0.0044865230468597,2.99128966830042,"1037","Higher than gene average"
2263,"LOC126322386","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.53000934334141,0.0111334238653668,2.98633695653171,"1037","Higher than gene average"
2264,"LOC126320558","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.34677002238258,0.0166457297478517,3.29664039549032,"1037","Higher than gene average"
2265,"LOC126315281","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.48475774931551,0.00429733744113749,3.35963471842889,"1037","Higher than gene average"
2266,"LOC126324067","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.66933506814322,0.00906194931780456,3.15166930106421,"1037","Higher than gene average"
2267,"LOC126326224","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.62963910153982,0.0190816434761833,3.44733088774262,"1037","Higher than gene average"
2268,"LOC126320480","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.71725294646202,0.0217354539091232,3.10675485216695,"1007","Higher than gene average"
2269,"LOC126325839","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.77536532318044,0.021849481363715,3.40224794292493,"1037","Higher than gene average"
2270,"LOC126304743","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.41097581003083,0.0121743283575738,3.25138170589114,"1037","Higher than gene average"
2271,"LOC126329585","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.00487717981764,0.0152186592193899,3.47162190895978,"1037","Higher than gene average"
