"label","PC1","PC2","Diet","Treatment"
"1004",-39.9647041600245,-19.9815710681067,"50","Control"
"1016",74.4059173032178,-16.6225736589462,"50","Infected"
"1025",21.0429835725997,9.63471178446314,"50","Infected"
"1028",-17.19134079443,22.4637902583195,"50","Infected"
"1031",-31.5610029492135,-14.915038762967,"50","Control"
"1034",-40.6934785479706,-20.9317731247196,"50","Control"
"1040",-40.0246603827848,-20.1821096416516,"50","Control"
"1043",0.227533042683101,-7.98952872343683,"50","Infected"
"1046",70.5782658853377,-13.0666106639362,"50","Infected"
"1049",-11.9999768506978,33.8511569052901,"50","Infected"
"1052",-18.3851548282567,21.8616118797727,"50","Infected"
"1055",25.6538094886163,1.06160905074618,"50","Infected"
"1058",7.91180922092287,24.8163257651731,"50","Infected"
