"gene_id","Preferred_name","Description","Functional_theme","DEG_class","DEG_diets","DEG_direction_summary","min_padj","max_abs_lfc"
"LOC126267163","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",2.3713293079658e-21,5.33337632532354
"LOC126285462","","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",9.2037512824396e-21,3.80579754512816
"LOC126266759","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",1.40669685247819e-17,4.11317603230888
"LOC126335463","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",1.00766936934231e-15,6.74093441180729
"LOC126266760","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",1.03432990533766e-11,3.19823580204247
"LOC126335468","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",1.4157816487322e-10,4.60032491980348
"LOC126267038","","Signal transducer and activator of transcription","Immune-related","DEG","33, 50, 83","Higher in infected",1.42028186694558e-10,1.19863917351442
"LOC126271975","","Alpha-lactalbumin / lysozyme C","Immune-related","DEG","33, 50","Higher in infected",1.72371513119787e-09,7.28776000946932
"LOC126336578","","Immunoglobulin V-set domain","Immune-related","DEG","33, 50, 83","Higher in infected",4.53905085619105e-09,4.99498824008944
"LOC126268068","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","50","Higher in infected",1.62266926758607e-08,2.42944740109156
"LOC126267162","PGRPLC","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",3.22199826852272e-08,2.12337612593157
"LOC126335547","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",3.50943744724327e-08,2.97769414431241
"LOC126267215","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",7.02938599862505e-08,5.23608725977779
"LOC126335467","","Belongs to the serpin family","Immune-related","DEG","50","Higher in infected",7.20136253026819e-08,2.73561979553284
"LOC126336325","","Knottins","Immune-related","DEG","33, 50, 83","Higher in infected",6.65366732712145e-07,6.49218561836661
"LOC126271991","","It is involved in the biological process described with","Immune-related","DEG","50, 83","Higher in infected",8.65026423473478e-07,1.12350763968764
"LOC126272350","","carbohydrate binding","Immune-related","DEG","50","Higher in control",8.90086880102552e-07,3.43861911207472
"LOC126353952","CLIPC1","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Immune-related","DEG","50, 83","Higher in infected",2.43106956768394e-06,2.37551003529927
"LOC126267190","","Immunoglobulin","Immune-related","DEG","33, 83","Higher in control",9.90165681122419e-06,3.18353911041518
